Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NUC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NUC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NUC_M_R
29,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
30,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
31,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
32,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
33,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
34,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
35,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
36,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
37,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
38,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
39,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
40,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
41,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Water
42,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
43,Cropland,Water,Water,NULL,Water,NULL,NULL,Water
44,Cropland,Water,Water,NULL,Water,NULL,NULL,Forest
45,Cropland,Water,Water,Non_Water,Water,NULL,NULL,Water
46,Cropland,Water,Water,Water,Water,NULL,NULL,Water
47,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
48,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
49,Cropland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
50,Cropland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
51,Cropland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
52,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
53,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
54,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
55,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
56,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
57,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
58,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
59,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
60,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
61,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
62,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
63,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
64,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
65,Wetland,NULL,Water,NULL,Water,NULL,NULL,Water
66,Wetland,NULL,Water,NULL,Water,NULL,NULL,Forest
67,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
68,Wetland,NULL,Water,Water,Water,NULL,NULL,Wetland
69,Wetland,NULL,Water,Water,Water,NULL,NULL,Bareland
70,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
71,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
72,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
73,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
74,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
75,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
76,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
77,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
78,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
79,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
80,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
81,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
82,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Wetland
83,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
84,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
85,Wetland,Wetland,Water,Water,Water,NULL,NULL,Grassland
86,Wetland,Wetland,Water,Water,Water,NULL,NULL,Wetland
87,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
88,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
89,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
90,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
91,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
92,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
93,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
94,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
95,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
96,Wetland,Water,Water,NULL,Water,NULL,NULL,Grassland
97,Wetland,Water,Water,NULL,Water,NULL,NULL,Water
98,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Water
99,Wetland,Water,Water,Water,Water,NULL,NULL,Grassland
100,Wetland,Water,Water,Water,Water,NULL,NULL,Bareland
101,Wetland,Water,Water,Water,Water,NULL,NULL,Water
102,Wetland,Water,Water,Water,Water,NULL,NULL,Forest
103,Wetland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
104,Wetland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
105,Wetland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
106,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
107,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
108,Wetland,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
109,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
110,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
111,Bareland,Water,Water,NULL,Water,NULL,NULL,Water
112,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
113,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
114,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
115,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
116,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
117,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
118,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
119,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Water
120,Water,NULL,Water,Water,Water,NULL,NULL,Water
121,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
122,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
123,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
124,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
125,Water,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
126,Water,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
127,Water,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
128,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
129,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
130,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
131,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
132,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
133,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
134,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
135,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
136,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
137,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
138,Water,Wetland,Water,NULL,Water,NULL,NULL,Grassland
139,Water,Wetland,Water,NULL,Water,NULL,NULL,Bareland
140,Water,Wetland,Water,NULL,Water,NULL,NULL,Water
141,Water,Wetland,Water,NULL,Water,NULL,NULL,Forest
142,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
143,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Water
144,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
145,Water,Wetland,Water,Water,Water,NULL,NULL,Grassland
146,Water,Wetland,Water,Water,Water,NULL,NULL,Wetland
147,Water,Wetland,Water,Water,Water,NULL,NULL,Water
148,Water,Wetland,Water,Water,Water,NULL,NULL,Forest
149,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
150,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
151,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
152,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
153,Water,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
154,Water,Bareland,Water,Water,Water,NULL,NULL,Water
155,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
156,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
157,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
158,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
159,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
160,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
161,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
162,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
163,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
164,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
165,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
166,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
167,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
168,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
169,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
170,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
171,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
172,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
173,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
174,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
175,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
176,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
177,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
178,Water,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
179,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
180,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
181,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
182,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
183,Water,Water,Water,NULL,Water,NULL,NULL,Bareland
184,Water,Water,Water,NULL,Water,NULL,NULL,Water
185,Water,Water,Water,NULL,Water,NULL,NULL,Forest
186,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
187,Water,Water,Water,Non_Water,Water,NULL,NULL,Bareland
188,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
189,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
190,Water,Water,Water,Water,Water,NULL,NULL,Grassland
191,Water,Water,Water,Water,Water,NULL,NULL,Wetland
192,Water,Water,Water,Water,Water,NULL,NULL,Bareland
193,Water,Water,Water,Water,Water,NULL,NULL,Water
194,Water,Water,Water,Water,Water,NULL,NULL,Forest
195,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
196,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
197,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
198,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
199,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
200,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
201,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
202,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
203,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
204,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
205,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
206,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
207,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
208,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
209,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
210,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
211,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
212,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
213,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
214,Water,Forest,Water,NULL,Water,NULL,NULL,Water
215,Water,Forest,Water,NULL,Water,NULL,NULL,Forest
216,Water,Forest,Water,Non_Water,Water,NULL,NULL,Forest
217,Water,Forest,Water,Water,Water,NULL,NULL,Water
218,Water,Forest,Water,Water,Water,NULL,NULL,Forest
219,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
220,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
221,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
222,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
223,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
224,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
225,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
226,Permanent_ice_and_snow,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
227,Permanent_ice_and_snow,Forest,Water,NULL,Water,NULL,NULL,Forest
228,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
229,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
230,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
231,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
232,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
233,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
234,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
235,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
236,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
237,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
238,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Water
239,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
240,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Forest
241,Forest,NULL,Water,Water,Water,NULL,NULL,Water
242,Forest,NULL,Water,Water,Water,NULL,NULL,Forest
243,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
244,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
245,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
246,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
247,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
248,Forest,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
249,Forest,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
250,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
251,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
252,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
253,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
254,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
255,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
256,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
257,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
258,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
259,Forest,Wetland,Water,NULL,Water,NULL,NULL,Forest
260,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
261,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Water
262,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
263,Forest,Wetland,Water,Water,Water,NULL,NULL,Grassland
264,Forest,Wetland,Water,Water,Water,NULL,NULL,Water
265,Forest,Wetland,Water,Water,Water,NULL,NULL,Forest
266,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
267,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
268,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
269,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
270,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
271,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
272,Forest,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
273,Forest,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
274,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
275,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
276,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
277,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
278,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
279,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
280,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
281,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
282,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Water
283,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
284,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
285,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
286,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
287,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
288,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
289,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
290,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
291,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Water
292,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Forest
293,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
294,Forest,Water,Water,NULL,Water,NULL,NULL,Grassland
295,Forest,Water,Water,NULL,Water,NULL,NULL,Bareland
296,Forest,Water,Water,NULL,Water,NULL,NULL,Water
297,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
298,Forest,Water,Water,Non_Water,Water,NULL,NULL,Grassland
299,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
300,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
301,Forest,Water,Water,Water,Water,NULL,NULL,Grassland
302,Forest,Water,Water,Water,Water,NULL,NULL,Wetland
303,Forest,Water,Water,Water,Water,NULL,NULL,Bareland
304,Forest,Water,Water,Water,Water,NULL,NULL,Water
305,Forest,Water,Water,Water,Water,NULL,NULL,Forest
306,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
307,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
308,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
309,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
310,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
311,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
312,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
313,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
314,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
315,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
316,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
317,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
318,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
319,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
320,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
321,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
322,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
323,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
324,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
325,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
326,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
327,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
328,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
329,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Bareland
330,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
331,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
332,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
333,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
334,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Water
335,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
336,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
337,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
338,Forest,Forest,Water,NULL,Water,NULL,NULL,Grassland
339,Forest,Forest,Water,NULL,Water,NULL,NULL,Water
340,Forest,Forest,Water,NULL,Water,NULL,NULL,Forest
341,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Forest
342,Forest,Forest,Water,Water,Water,NULL,NULL,Grassland
343,Forest,Forest,Water,Water,Water,NULL,NULL,Water
344,Forest,Forest,Water,Water,Water,NULL,NULL,Forest
345,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
346,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
347,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
348,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
349,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
350,Forest,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
351,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
352,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
353,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
354,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
355,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
