Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KQC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KQC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KQC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KQC_M_R
335,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
336,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
337,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
338,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
339,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
340,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
341,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
342,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
343,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
344,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
345,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
346,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
347,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
348,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
349,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
350,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
351,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
352,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
353,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
354,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
355,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
356,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
357,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
358,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
359,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
360,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
361,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
362,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
363,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
364,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
365,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
366,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
367,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
368,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
369,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
370,Cropland,NULL,Water,NULL,Water,NULL,NULL,NULL
371,Cropland,NULL,Water,NULL,Water,NULL,NULL,Grassland
372,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
373,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
374,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
375,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
376,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
377,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
378,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
379,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
380,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
381,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
382,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
383,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
384,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
385,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
386,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
387,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
388,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
389,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
390,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
391,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
392,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
393,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
394,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
395,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
396,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
397,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
398,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
399,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
400,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
401,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
402,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
403,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,NULL
404,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
405,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
406,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
407,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
408,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
409,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
410,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
411,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
412,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
413,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
414,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
415,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
416,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
417,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Water
418,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
419,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
420,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
421,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Bareland
422,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
423,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
424,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
425,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
426,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
427,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
428,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
429,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
430,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
431,Cropland,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
432,Cropland,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
433,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
434,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
435,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
436,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
437,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
438,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
439,Cropland,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
440,Cropland,Cropland,Water,NULL,Water,NULL,NULL,NULL
441,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Grassland
442,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Cropland
443,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Forest
444,Cropland,Cropland,Water,Water,Water,NULL,NULL,Bareland
445,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
446,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
447,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
448,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
449,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
450,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
451,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
452,Cropland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,NULL
453,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
454,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
455,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
456,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
457,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
458,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
459,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
460,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
461,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
462,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
463,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
464,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
465,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
466,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
467,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
468,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
469,Cropland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
470,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
471,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
472,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
473,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
474,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
475,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
476,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
477,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
478,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
479,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
480,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
481,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
482,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
483,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
484,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
485,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
486,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
487,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
488,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
489,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
490,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
491,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
492,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
493,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
494,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
495,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
496,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
497,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
498,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
499,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
500,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
501,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
502,Wetland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
503,Wetland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
504,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
505,Wetland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
506,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
507,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
508,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
509,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
510,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
511,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
512,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
513,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
514,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
515,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
516,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
517,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
518,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
519,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
520,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
521,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
522,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
523,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
524,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
525,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
526,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
527,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
528,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
529,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
530,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
531,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
532,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
533,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
534,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
535,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
536,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
537,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
538,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
539,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
540,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
541,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
542,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
543,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
544,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
545,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
546,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
547,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
548,Bareland,NULL,Water,NULL,Water,NULL,NULL,Grassland
549,Bareland,NULL,Water,Water,Water,NULL,NULL,Bareland
550,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
551,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
552,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
553,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
554,Bareland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
555,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
556,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
557,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
558,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
559,Bareland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
560,Bareland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Built-up
561,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
562,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
563,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
564,Bareland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
565,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
566,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
567,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
568,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
569,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
570,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
571,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
572,Bareland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
573,Bareland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
574,Bareland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
575,Bareland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
576,Bareland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
577,Bareland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
578,Bareland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
579,Bareland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
580,Bareland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
581,Bareland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
582,Bareland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
583,Bareland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
584,Bareland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
585,Bareland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
586,Bareland,Cropland,Wetland,Water,Wetland,NULL,NULL,Bareland
587,Bareland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
588,Bareland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
589,Bareland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
590,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
591,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
592,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
593,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
594,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
595,Bareland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
596,Bareland,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
597,Bareland,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
598,Bareland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
599,Bareland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
600,Bareland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
601,Bareland,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
602,Bareland,Cropland,Water,NULL,Water,NULL,NULL,Grassland
603,Bareland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
604,Bareland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
605,Bareland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
606,Bareland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
607,Bareland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
608,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
609,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
610,Bareland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
611,Bareland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
612,Bareland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
613,Bareland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
614,Bareland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
615,Bareland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
616,Bareland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
617,Bareland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
618,Bareland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
619,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
620,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
621,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
622,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
623,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
624,Bareland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
625,Bareland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
626,Bareland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
627,Bareland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
628,Bareland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
629,Bareland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
630,Bareland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
631,Bareland,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
632,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
633,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
634,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
635,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
636,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
637,Bareland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
638,Bareland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
639,Bareland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
640,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
641,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
642,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
643,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
644,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
645,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
646,Bareland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
647,Bareland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
648,Bareland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
649,Bareland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
650,Bareland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
651,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
652,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
653,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
654,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
655,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
656,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
657,Water,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
658,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
659,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
660,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
661,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
662,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
663,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
664,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
665,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
666,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
667,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
668,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
669,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
670,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
