Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MGD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MGD_M_R
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
66,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
73,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
74,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Built-up
77,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
79,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
84,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
85,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
86,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
87,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
88,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
89,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
90,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
91,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
92,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
93,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
94,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
95,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
96,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
97,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
98,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Forest
99,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
100,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
101,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
102,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
103,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
107,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Bareland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Water
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Water
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Wetland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Wetland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Bareland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Bareland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Bareland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Wetland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
202,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
203,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
204,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
205,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
206,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
207,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Forest
208,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
209,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
210,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
211,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
212,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
213,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Built-up,Grassland
214,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
215,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Bareland
216,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
217,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
218,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
219,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
220,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
221,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
222,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
223,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
224,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
225,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Bareland,Grassland
226,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
227,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
228,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
229,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
230,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
231,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
232,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Bareland
233,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
234,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
235,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Wetland
236,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Bareland
237,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Water
238,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
239,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Wetland
240,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
241,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Built-up
242,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
243,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
244,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
245,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Wetland
246,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up,Bareland,Grassland
247,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up,Bareland,Bareland
248,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
249,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
250,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
251,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Wetland
252,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
253,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up,Grassland
254,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
255,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
256,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
257,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
258,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
259,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
260,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
261,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
262,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
263,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
264,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
265,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
266,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
267,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
268,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
269,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Built-up
270,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
271,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
272,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Bareland
273,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
274,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
275,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
276,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
277,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
278,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
279,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
280,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
281,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
282,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
283,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
284,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
285,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
286,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
287,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Forest
288,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
289,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Cropland
290,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
291,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Built-up
292,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
293,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
294,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Cropland
295,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
296,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Built-up
297,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Water
298,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
299,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
300,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Wetland
301,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Bareland
302,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
303,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Built-up,Grassland
304,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
305,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Wetland
306,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Water
307,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
308,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Wetland
309,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
310,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
311,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
312,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
313,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
314,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Forest
315,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
316,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Cropland
317,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Wetland
318,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
319,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
320,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
321,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
