Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LLK_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
43,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
44,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
45,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
46,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
47,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
52,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
53,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
54,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
60,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
61,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
62,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
63,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
64,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
65,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
66,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
67,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
68,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
69,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
70,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
71,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
72,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
73,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
74,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
75,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
76,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
77,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
78,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
79,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
80,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
81,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
82,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
83,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
84,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
85,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
86,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
87,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
88,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
89,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
90,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
91,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
92,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
93,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
94,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
95,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
96,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
97,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
98,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
99,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
100,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
101,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
102,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
103,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
104,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
105,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
106,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
107,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
108,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
109,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
110,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
111,NULL,NULL,Water,Water,Water,NULL,NULL,Cropland
112,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
113,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
114,NULL,NULL,Water,Water,Water,NULL,NULL,Water
115,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
116,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
117,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
118,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
119,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
120,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
121,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
122,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
123,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
124,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
125,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
126,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
127,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
128,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
129,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
130,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
131,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
132,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
133,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
134,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
135,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
136,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
137,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
138,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
139,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
140,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
141,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
142,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
143,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
144,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
145,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
146,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
147,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
148,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
149,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
150,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
151,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
152,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
153,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
154,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
155,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
156,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
157,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
158,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
159,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
160,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
161,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
162,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
163,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
164,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
165,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
166,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
167,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
168,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
169,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
170,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
171,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
172,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
173,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
174,NULL,Cropland,Water,NULL,Water,NULL,NULL,Wetland
175,NULL,Cropland,Water,NULL,Water,NULL,NULL,Water
176,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
177,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
178,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
179,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
180,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
181,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
182,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
183,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
184,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
185,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
186,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
187,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
188,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
189,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
190,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
191,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
192,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
193,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
194,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
195,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
196,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
197,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
198,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
199,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
200,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
201,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
202,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
203,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
204,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
205,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
206,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
207,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
208,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
209,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
210,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
211,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
212,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
213,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
214,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
215,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
216,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
217,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
218,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
219,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
220,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
221,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Forest
222,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
223,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
224,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
225,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
226,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
227,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
228,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
229,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
230,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
231,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
232,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
233,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
234,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
235,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
236,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
237,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
238,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
239,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
240,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
241,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
242,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
243,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
244,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
245,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
246,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
247,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
248,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
249,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
250,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
251,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
252,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
253,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
254,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
255,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
256,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
257,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
258,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
259,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Bareland
260,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
261,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
262,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
263,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
264,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
265,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
266,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
267,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
268,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
269,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
270,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
271,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
272,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
273,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
274,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
275,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
276,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
277,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
278,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
279,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
280,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
281,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
282,NULL,Water,Water,Water,Water,NULL,NULL,Forest
283,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
284,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
285,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
286,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
287,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
288,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
289,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
290,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
291,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
292,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
293,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
294,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
295,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
296,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
297,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
298,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
299,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
300,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
301,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
302,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
303,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
304,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
305,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
306,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
307,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
308,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
309,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
310,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
311,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
312,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
313,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
314,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
315,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
316,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
317,NULL,Forest,Cropland,Water,Non_Wetland,NULL,NULL,Forest
318,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
319,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
320,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
321,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
322,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,NULL
323,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
324,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
325,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
326,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,NULL
327,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
328,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
329,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
330,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
331,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
332,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
333,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
334,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
335,NULL,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
336,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
337,NULL,Forest,Water,NULL,Water,NULL,NULL,NULL
338,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Forest
339,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
340,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
341,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
342,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
343,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
