Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MUV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MUV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MUV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MUV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MUV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MUV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MUV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MUV_M_R
3517,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
3518,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
3519,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,NULL
3520,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
3521,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Cropland
3522,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
3523,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
3524,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
3525,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Water,Bareland
3526,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,NULL
3527,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,Grassland
3528,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,Cropland
3529,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,Built-up
3530,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,Forest
3531,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Shrubland,NULL
3532,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Grassland
3533,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Cropland
3534,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Bareland
3535,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Built-up
3536,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Forest
3537,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,NULL
3538,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
3539,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Cropland
3540,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Bareland
3541,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
3542,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Forest
3543,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
3544,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
3545,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Cropland
3546,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
3547,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
3548,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
3549,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Forest,Built-up
3550,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Built-up,Built-up
3551,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Built-up,Forest
3552,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Grassland,NULL
3553,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Grassland,Grassland
3554,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Grassland,Cropland
3555,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Shrubland,Built-up,Grassland
3556,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
3557,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
3558,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
3559,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,NULL
3560,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,Built-up
3561,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Built-up,Built-up
3562,NULL,Built-up,Water,NULL,Water,Grassland,NULL,Grassland
3563,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
3564,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
3565,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
3566,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
3567,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
3568,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
3569,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Shrubland,Cropland
3570,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Shrubland,Bareland
3571,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Shrubland,Built-up
3572,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
3573,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
3574,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
3575,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland,Cropland
3576,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland,Built-up
3577,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
3578,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland,Grassland
3579,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up,NULL
3580,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up,Grassland
3581,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up,Cropland
3582,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up,Built-up
3583,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up,Forest
3584,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Water,Grassland
3585,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
3586,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
3587,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
3588,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3589,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3590,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
3591,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
3592,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3593,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
3594,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3595,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Grassland,Cropland
3596,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
3597,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Built-up,NULL
3598,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Built-up,Grassland
3599,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Built-up,Forest
3600,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Water,Grassland
3601,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
3602,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
3603,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
3604,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
3605,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
3606,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
3607,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3608,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Shrubland,Cropland
3609,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Shrubland,Built-up
3610,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
3611,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
3612,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
3613,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
3614,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
3615,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
3616,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
3617,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,NULL
3618,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
3619,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Cropland
3620,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Built-up
3621,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
3622,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland,Shrubland,Forest
3623,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland,Built-up,Forest
3624,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
3625,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
3626,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Cropland
3627,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Built-up
3628,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
3629,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Shrubland,NULL
3630,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
3631,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Shrubland,Cropland
3632,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Shrubland,Built-up
3633,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
3634,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
3635,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
3636,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Cropland
3637,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
3638,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
3639,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
3640,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
3641,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,NULL
3642,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Grassland
3643,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Cropland
3644,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Bareland
3645,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Built-up
3646,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Forest
3647,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
3648,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,NULL,NULL
3649,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,NULL,Grassland
3650,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,NULL,Bareland
3651,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,NULL,Built-up
3652,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Shrubland,NULL
3653,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Shrubland,Grassland
3654,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Shrubland,Cropland
3655,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Shrubland,Bareland
3656,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Shrubland,Built-up
3657,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Shrubland,Forest
3658,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,NULL
3659,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
3660,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Cropland
3661,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Built-up
3662,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
3663,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,NULL
3664,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
3665,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Cropland
3666,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Bareland
3667,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Built-up
3668,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
3669,NULL,Built-up,Forest,NULL,Non_Wetland,Water,NULL,Grassland
3670,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Built-up,Grassland
3671,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Water,Grassland
3672,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Built-up,Forest
3673,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,Grassland,Grassland
3674,NULL,Built-up,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
3675,NULL,Built-up,Forest,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
3676,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Grassland
3677,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,NULL
3678,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
3679,NULL,Water,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
3680,NULL,Water,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
3681,NULL,Water,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
3682,NULL,Water,NULL,NULL,Non_Wetland,NULL,Grassland,Water
3683,NULL,Water,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
3684,NULL,Water,NULL,NULL,Non_Wetland,NULL,Water,NULL
3685,NULL,Water,NULL,NULL,Non_Wetland,NULL,Water,Grassland
3686,NULL,Water,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
3687,NULL,Water,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
3688,NULL,Water,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3689,NULL,Water,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3690,NULL,Water,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3691,NULL,Water,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
3692,NULL,Water,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3693,NULL,Water,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
3694,NULL,Water,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
3695,NULL,Water,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
3696,NULL,Water,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
3697,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3698,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3699,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
3700,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
3701,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
3702,NULL,Water,NULL,NULL,Non_Wetland,Water,NULL,Grassland
3703,NULL,Water,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
3704,NULL,Water,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
3705,NULL,Water,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
3706,NULL,Water,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
3707,NULL,Water,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
3708,NULL,Water,NULL,NULL,Non_Wetland,Water,Built-up,Grassland
3709,NULL,Water,NULL,NULL,Non_Wetland,Water,Water,Grassland
3710,NULL,Water,NULL,NULL,Non_Wetland,Water,Water,Water
3711,NULL,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
3712,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
3713,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
3714,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
3715,NULL,Water,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
3716,NULL,Water,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
3717,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
3718,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
3719,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
3720,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
3721,NULL,Water,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
3722,NULL,Water,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
3723,NULL,Water,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
3724,NULL,Water,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
3725,NULL,Water,NULL,Water,Non_Wetland,NULL,Water,Grassland
3726,NULL,Water,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
3727,NULL,Water,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
3728,NULL,Water,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
3729,NULL,Water,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
3730,NULL,Water,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
3731,NULL,Water,NULL,Water,Non_Wetland,Water,Shrubland,Grassland
3732,NULL,Water,NULL,Water,Non_Wetland,Water,Water,Grassland
3733,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
3734,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3735,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
3736,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
3737,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
3738,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
3739,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
3740,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
3741,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
3742,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Water
3743,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
3744,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
3745,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3746,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3747,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3748,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
3749,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
3750,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
3751,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
3752,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
3753,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
3754,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3755,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
3756,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3757,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
3758,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
3759,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
3760,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
3761,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
3762,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,Cropland
3763,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
3764,NULL,Water,Shrubland,NULL,Non_Wetland,Water,NULL,NULL
3765,NULL,Water,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
3766,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Shrubland,NULL
3767,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
3768,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
3769,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
3770,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
3771,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Built-up,Grassland
3772,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
3773,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
3774,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,NULL
3775,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
3776,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Built-up,Grassland
3777,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
3778,NULL,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
3779,NULL,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
3780,NULL,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
3781,NULL,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
3782,NULL,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
3783,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
3784,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
3785,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water,NULL,Water
3786,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water,Shrubland,Grassland
3787,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
3788,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,NULL
3789,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
3790,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
3791,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Shrubland,NULL
3792,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Shrubland,Grassland
3793,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Grassland,Grassland
3794,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Water,NULL
3795,NULL,Water,Shrubland,Water,Non_Wetland,Shrubland,NULL,NULL
3796,NULL,Water,Shrubland,Water,Non_Wetland,Shrubland,Shrubland,NULL
3797,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
3798,NULL,Water,Shrubland,Water,Non_Wetland,Water,NULL,Grassland
3799,NULL,Water,Shrubland,Water,Non_Wetland,Water,Shrubland,Grassland
3800,NULL,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
3801,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
3802,NULL,Water,Grassland,NULL,Non_Wetland,NULL,Water,Grassland
3803,NULL,Water,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
3804,NULL,Water,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3805,NULL,Water,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3806,NULL,Water,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3807,NULL,Water,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3808,NULL,Water,Grassland,NULL,Non_Wetland,Shrubland,Water,Grassland
3809,NULL,Water,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
3810,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
3811,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3812,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3813,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
3814,NULL,Water,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
3815,NULL,Water,Grassland,NULL,Non_Wetland,Water,Shrubland,Grassland
3816,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
3817,NULL,Water,Grassland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
3818,NULL,Water,Grassland,Non_Water,Non_Wetland,Water,NULL,Grassland
3819,NULL,Water,Grassland,Non_Water,Non_Wetland,Water,Water,NULL
3820,NULL,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Grassland
3821,NULL,Water,Grassland,Water,Non_Wetland,Shrubland,Grassland,Grassland
3822,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
3823,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
3824,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
3825,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
3826,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
3827,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
3828,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
3829,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Water,NULL
3830,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
3831,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
3832,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
3833,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,NULL,Water
3834,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3835,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3836,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
3837,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3838,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
3839,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Water,NULL
3840,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Water,Grassland
3841,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Water,Built-up
3842,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
