Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MRB_M_R
102,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
103,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Forest
104,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
105,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
106,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
107,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
108,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
109,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
110,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
111,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
112,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
113,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
114,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
115,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
116,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
117,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
118,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
119,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Wetland
120,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
121,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
122,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Forest
123,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
124,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
125,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
126,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Bareland,Grassland
127,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Bareland,Forest
128,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
129,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Forest
130,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Forest
131,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
132,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
133,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Water
134,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Forest
135,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
136,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
137,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
138,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
139,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Grassland
140,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
141,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
142,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
143,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
144,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Wetland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Built-up
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Built-up
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Wetland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Bareland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Built-up
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Forest
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
249,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
250,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
251,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
252,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
253,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
254,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
255,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
256,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
257,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Built-up,Forest
258,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
259,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
260,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
261,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
262,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
263,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
264,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
265,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
266,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Forest
267,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Built-up,Grassland
268,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
269,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
270,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
271,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
272,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
273,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Built-up
274,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
275,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
276,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
277,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Built-up,Forest
278,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
279,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Forest
280,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
281,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Forest
282,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Wetland,Grassland
283,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
284,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Forest
285,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
286,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
287,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
288,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
289,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Water
290,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
291,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
292,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
293,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
294,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
295,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Wetland
296,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Forest
297,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
298,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
299,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Grassland
300,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Bareland
301,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
302,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Forest
303,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
304,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
305,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
306,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
307,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
308,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
309,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Grassland
310,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Forest
311,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Built-up,Grassland
312,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
313,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
314,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Forest
315,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Grassland
316,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Grassland
317,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
318,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Wetland
319,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Bareland
320,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Water
321,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Forest
322,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
323,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Wetland
