Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KQS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KQS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KQS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KQS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KQS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KQS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KQS_M_R
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
98,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
101,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
102,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
103,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
106,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
107,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Water
109,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
112,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
115,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
118,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
121,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
129,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Water
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
137,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
138,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
139,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
140,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
141,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
142,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
143,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
144,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Water
145,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,NULL,Cropland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Water,Built-up
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
166,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
167,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
168,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
169,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
170,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Forest
171,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
172,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Bareland
173,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
174,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
175,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Forest
176,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
177,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
178,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
179,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Bareland
180,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
181,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
182,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
183,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Water
184,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
185,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Bareland
186,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Cropland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Water,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Bareland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Water
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Bareland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Water
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
328,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
329,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Cropland
