Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NLM_M_R
52,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
53,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
54,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
55,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
56,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
57,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
58,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
59,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
60,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
61,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
62,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
63,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
64,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
65,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
66,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
67,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
68,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
69,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
70,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
71,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
72,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
73,NULL,Wetland,Water,NULL,Water,NULL,NULL,Water
74,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
75,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
76,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
77,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
78,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
79,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
80,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
81,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
82,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
83,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
84,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
85,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
86,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
87,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
88,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
89,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
90,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
91,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
92,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
93,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
94,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
95,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
96,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
97,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
98,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
99,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
100,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
101,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
102,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
103,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
104,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
105,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
106,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
107,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
108,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
109,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
110,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
111,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
112,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
113,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
114,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
115,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
116,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
117,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
118,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
119,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
120,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
121,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
122,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
123,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
124,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
125,NULL,Water,Water,NULL,Water,NULL,NULL,Water
126,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
127,NULL,Water,Water,Non_Water,Water,NULL,NULL,Wetland
128,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
129,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
130,NULL,Water,Water,Water,Water,NULL,NULL,Wetland
131,NULL,Water,Water,Water,Water,NULL,NULL,Bareland
132,NULL,Water,Water,Water,Water,NULL,NULL,Water
133,NULL,Water,Water,Water,Water,NULL,NULL,Forest
134,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
135,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
136,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
137,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
138,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
139,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
140,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
141,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
142,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
143,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
144,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
145,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
146,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
147,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
148,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
149,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
150,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
151,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
152,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
153,NULL,Forest,Water,Water,Water,NULL,NULL,Forest
154,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
155,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
156,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
157,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
158,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
159,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
160,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
161,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
162,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
163,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
164,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
165,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
166,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
167,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
168,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
169,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
170,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
171,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
172,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
173,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
174,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
175,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
176,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
177,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
178,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
179,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Water
180,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
181,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
182,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
183,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
184,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
185,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
186,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
187,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
188,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
189,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
190,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
191,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
192,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
193,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
194,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
195,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
196,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
197,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
198,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
199,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
200,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
201,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
202,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
203,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
204,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
205,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
206,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
207,Cropland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
208,Cropland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
209,Cropland,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
210,Cropland,Wetland,Water,Water,Water,NULL,NULL,Water
211,Cropland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
212,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
213,Cropland,Bareland,Water,Water,Water,NULL,NULL,Water
214,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
215,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
216,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
217,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
218,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
219,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
220,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
221,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
222,Cropland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
223,Cropland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
224,Cropland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
225,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
226,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
227,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
228,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
229,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
230,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
231,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Water
232,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
233,Cropland,Water,Water,NULL,Water,NULL,NULL,Water
234,Cropland,Water,Water,NULL,Water,NULL,NULL,Forest
235,Cropland,Water,Water,Non_Water,Water,NULL,NULL,Water
236,Cropland,Water,Water,Non_Water,Water,NULL,NULL,Forest
237,Cropland,Water,Water,Water,Water,NULL,NULL,Bareland
238,Cropland,Water,Water,Water,Water,NULL,NULL,Water
239,Cropland,Water,Water,Water,Water,NULL,NULL,Forest
240,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
241,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
242,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
243,Cropland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
244,Cropland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
245,Cropland,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
246,Cropland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
247,Cropland,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
248,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
249,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
250,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
251,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
252,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
253,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
254,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
255,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
256,Cropland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
257,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
258,Cropland,Forest,Water,Water,Water,NULL,NULL,Forest
259,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
260,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
261,Cropland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
262,Cropland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
263,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
264,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
265,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
266,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
267,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
268,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
269,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
270,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
271,Wetland,NULL,Water,NULL,Water,NULL,NULL,Grassland
272,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
273,Wetland,NULL,Water,Water,Water,NULL,NULL,Forest
274,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
275,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
276,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
277,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
278,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
279,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
280,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
281,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
282,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
283,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
284,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
285,Wetland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
286,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
287,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
288,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
289,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
290,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
291,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Water
292,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
293,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
294,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
295,Wetland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
296,Wetland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
297,Wetland,Bareland,Water,Water,Water,NULL,NULL,Water
298,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
299,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
300,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
301,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
302,Wetland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
303,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
304,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
305,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
306,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
307,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
308,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
309,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
310,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
311,Wetland,Water,Water,NULL,Water,NULL,NULL,Wetland
312,Wetland,Water,Water,NULL,Water,NULL,NULL,Forest
313,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Water
314,Wetland,Water,Water,Water,Water,NULL,NULL,Grassland
315,Wetland,Water,Water,Water,Water,NULL,NULL,Wetland
316,Wetland,Water,Water,Water,Water,NULL,NULL,Bareland
317,Wetland,Water,Water,Water,Water,NULL,NULL,Water
318,Wetland,Water,Water,Water,Water,NULL,NULL,Forest
319,Wetland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
320,Wetland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
321,Wetland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
322,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
323,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
324,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
325,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
326,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
327,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
328,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
329,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
330,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
331,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
332,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
333,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
334,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
335,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
336,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
337,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
338,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
339,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
340,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
341,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
342,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
343,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
344,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
345,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
346,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
347,Bareland,NULL,Water,NULL,Water,NULL,NULL,Water
348,Bareland,NULL,Water,NULL,Water,NULL,NULL,Forest
349,Bareland,NULL,Water,Water,Water,NULL,NULL,Grassland
350,Bareland,NULL,Water,Water,Water,NULL,NULL,Bareland
351,Bareland,NULL,Water,Water,Water,NULL,NULL,Water
