Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MWA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MWA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MWA_M_R
31,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
33,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
34,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
35,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
36,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
39,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
40,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
41,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
42,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
43,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
44,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
45,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
46,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
47,NULL,NULL,Water,Water,Water,NULL,NULL,Water
48,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
49,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
50,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
51,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
52,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
53,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
54,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
55,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
56,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
57,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
58,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
59,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
60,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
61,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
62,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
63,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
64,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
65,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
66,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
67,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
68,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
69,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
70,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
71,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
72,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
73,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
74,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
75,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
76,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
77,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
78,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
79,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
80,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
81,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
82,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
83,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
84,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
85,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
86,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
87,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
88,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
89,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
90,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
91,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
92,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
93,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
94,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
95,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
96,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
97,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
98,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
99,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
100,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
101,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
102,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
103,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
104,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
105,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
106,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Grassland
107,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Water
108,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
109,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
110,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
111,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
112,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
113,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
114,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
115,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
116,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
117,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
118,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
119,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
120,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
121,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
122,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
123,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
124,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
125,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
126,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
127,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Water
128,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
129,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
130,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
131,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
132,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
133,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
134,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
135,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
136,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Water
137,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
138,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
139,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
140,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
141,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
142,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
143,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
144,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
145,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
146,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
147,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
148,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
149,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
150,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
151,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
152,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
153,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
154,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
155,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
156,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
157,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
158,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
159,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
160,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
161,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
162,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Water
163,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Forest
164,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
165,NULL,Built-up,Water,NULL,Water,NULL,NULL,Bareland
166,NULL,Built-up,Water,NULL,Water,NULL,NULL,Built-up
167,NULL,Built-up,Water,NULL,Water,NULL,NULL,Water
168,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
169,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Grassland
170,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Water
171,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Forest
172,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
173,NULL,Built-up,Water,Water,Water,NULL,NULL,Water
174,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
175,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
176,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
177,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
178,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
179,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
180,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
181,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Grassland
182,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Water
183,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
184,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
185,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
186,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
187,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
188,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
189,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
190,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
191,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
192,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
193,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
194,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
195,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
196,NULL,Water,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
197,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
198,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
199,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
200,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
201,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
202,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
203,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
204,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
205,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
206,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
207,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
208,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
209,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
210,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
211,NULL,Water,Water,NULL,Water,NULL,NULL,Water
212,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
213,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
214,NULL,Water,Water,Water,Water,NULL,NULL,Water
215,NULL,Water,Water,Water,Water,NULL,NULL,Forest
216,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
217,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
218,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
219,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
220,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
221,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
222,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
223,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
224,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
225,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
226,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
227,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
228,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
229,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
230,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
231,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
232,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
233,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
234,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
235,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
236,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
237,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
238,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
239,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
240,NULL,Forest,Water,Water,Water,NULL,NULL,Forest
241,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
242,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
243,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
244,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
245,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
246,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
247,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
248,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
249,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
250,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
251,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
252,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
253,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
254,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
255,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
256,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
257,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
258,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
259,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
260,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
261,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
262,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
263,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
264,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
265,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
266,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
267,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
268,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
269,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
270,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
271,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
272,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
273,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
274,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
275,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
276,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
277,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
278,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
279,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
280,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
281,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
282,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
283,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
284,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
285,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
286,Grassland,NULL,Water,NULL,Water,NULL,NULL,Water
287,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
288,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
289,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
290,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Water
291,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
292,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
293,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
294,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
295,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
296,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
297,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
298,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
299,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
300,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
301,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
302,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
303,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
304,Grassland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
305,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
306,Grassland,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
307,Grassland,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
308,Grassland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
309,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
310,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
311,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
312,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
313,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
314,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
315,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
316,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
317,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
318,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
319,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
320,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
321,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
322,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
323,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
324,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
325,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
326,Grassland,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Water
327,Grassland,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
328,Grassland,Wetland,Water,Water,Water,NULL,NULL,Grassland
329,Grassland,Wetland,Water,Water,Water,NULL,NULL,Water
330,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
331,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
332,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
333,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
334,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
335,Grassland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
336,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
337,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
338,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
339,Grassland,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
340,Grassland,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
341,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
342,Grassland,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
343,Grassland,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
344,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
