Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NQK_M_R
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,NULL
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Cropland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Wetland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Bareland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,NULL
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Built-up
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Built-up
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Water,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,NULL
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Bareland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Wetland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,NULL
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Built-up
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Bareland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,NULL
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Water
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,NULL
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Wetland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Wetland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Wetland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,NULL
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,NULL
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
234,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
235,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Forest
236,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
237,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
238,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
239,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,NULL
240,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
241,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Forest
242,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
243,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
244,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
245,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
246,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Built-up
247,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
248,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,NULL
249,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
250,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
251,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Bareland
252,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Built-up
253,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Water
254,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
255,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
256,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,NULL
257,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
258,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Wetland
259,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Forest
260,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,NULL
261,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
262,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,NULL
263,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
264,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Wetland
265,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Bareland
266,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Forest
267,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,NULL
268,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
269,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Wetland
270,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Forest
271,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Water,Grassland
272,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,NULL
273,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
274,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Forest
275,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,NULL
276,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
277,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
278,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Bareland
279,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Built-up
280,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Water
281,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
282,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
283,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
284,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
285,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Built-up
286,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
287,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
288,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
289,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Water
290,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
291,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
292,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
293,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
294,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
295,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
296,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,NULL
297,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
298,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Wetland
299,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Bareland
300,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Water
301,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Forest
302,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,NULL
303,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
304,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
305,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Bareland
306,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
307,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
308,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
309,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Wetland
310,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Bareland
311,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
312,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
313,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,Forest
314,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Wetland,Forest
315,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
316,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,NULL
