Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KMT_M_R
5188,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Water,Forest
5189,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
5190,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
5191,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
5192,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
5193,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
5194,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
5195,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
5196,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
5197,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
5198,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
5199,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
5200,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Water,Cropland
5201,NULL,Water,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
5202,NULL,Water,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
5203,NULL,Water,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
5204,NULL,Water,Cropland,NULL,Non_Wetland,Wetland,Water,Grassland
5205,NULL,Water,Cropland,NULL,Non_Wetland,Wetland,Water,Forest
5206,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
5207,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
5208,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
5209,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
5210,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Bareland,Water
5211,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
5212,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Water,Bareland
5213,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
5214,NULL,Water,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
5215,NULL,Water,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
5216,NULL,Water,Cropland,NULL,Non_Wetland,Water,NULL,Grassland
5217,NULL,Water,Cropland,NULL,Non_Wetland,Water,NULL,Wetland
5218,NULL,Water,Cropland,NULL,Non_Wetland,Water,NULL,Bareland
5219,NULL,Water,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
5220,NULL,Water,Cropland,NULL,Non_Wetland,Water,Built-up,Grassland
5221,NULL,Water,Cropland,NULL,Non_Wetland,Water,Water,Grassland
5222,NULL,Water,Cropland,NULL,Non_Wetland,Water,Water,Cropland
5223,NULL,Water,Cropland,NULL,Non_Wetland,Water,Water,Bareland
5224,NULL,Water,Cropland,NULL,Non_Wetland,Forest,Bareland,Grassland
5225,NULL,Water,Cropland,NULL,Non_Wetland,Forest,Forest,Cropland
5226,NULL,Water,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
5227,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
5228,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
5229,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
5230,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
5231,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Bareland
5232,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,Wetland,Forest
5233,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,Built-up,Grassland
5234,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,Water,Grassland
5235,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,Water,Cropland
5236,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,Water,Bareland
5237,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,Water,Forest
5238,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,Forest,Grassland
5239,NULL,Water,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
5240,NULL,Water,Cropland,Non_Water,Non_Wetland,Shrubland,Water,Grassland
5241,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
5242,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Forest
5243,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
5244,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
5245,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
5246,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Forest
5247,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
5248,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland,Water,Grassland
5249,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland,Water,Forest
5250,NULL,Water,Cropland,Non_Water,Non_Wetland,Water,NULL,Grassland
5251,NULL,Water,Cropland,Non_Water,Non_Wetland,Water,NULL,Cropland
5252,NULL,Water,Cropland,Non_Water,Non_Wetland,Water,Grassland,NULL
5253,NULL,Water,Cropland,Non_Water,Non_Wetland,Water,Grassland,Grassland
5254,NULL,Water,Cropland,Non_Water,Non_Wetland,Water,Built-up,Grassland
5255,NULL,Water,Cropland,Non_Water,Non_Wetland,Water,Built-up,Bareland
5256,NULL,Water,Cropland,Non_Water,Non_Wetland,Water,Water,Grassland
5257,NULL,Water,Cropland,Non_Water,Non_Wetland,Water,Water,Cropland
5258,NULL,Water,Cropland,Non_Water,Non_Wetland,Water,Water,Bareland
5259,NULL,Water,Cropland,Non_Water,Non_Wetland,Water,Forest,Forest
5260,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest,Water,Grassland
5261,NULL,Water,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
5262,NULL,Water,Cropland,Water,Non_Wetland,NULL,Grassland,Cropland
5263,NULL,Water,Cropland,Water,Non_Wetland,NULL,Grassland,Forest
5264,NULL,Water,Cropland,Water,Non_Wetland,Grassland,NULL,Grassland
5265,NULL,Water,Cropland,Water,Non_Wetland,Grassland,Grassland,Cropland
5266,NULL,Water,Cropland,Water,Non_Wetland,Water,Built-up,Water
5267,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
5268,NULL,Water,Wetland,NULL,Wetland,NULL,Water,Grassland
5269,NULL,Water,Wetland,NULL,Wetland,Bareland,Wetland,Wetland
5270,NULL,Water,Wetland,NULL,Wetland,Water,Water,Grassland
5271,NULL,Water,Wetland,NULL,Wetland,Forest,NULL,Forest
5272,NULL,Water,Wetland,NULL,Wetland,Forest,Water,Forest
5273,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
5274,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
5275,NULL,Water,Wetland,Non_Water,Wetland,NULL,Grassland,Grassland
5276,NULL,Water,Wetland,Non_Water,Wetland,NULL,Water,Grassland
5277,NULL,Water,Wetland,Non_Water,Wetland,NULL,Water,Bareland
5278,NULL,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
5279,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
5280,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Water,Forest
5281,NULL,Water,Wetland,Non_Water,Wetland,Water,NULL,Grassland
5282,NULL,Water,Wetland,Non_Water,Wetland,Water,NULL,Cropland
5283,NULL,Water,Wetland,Non_Water,Wetland,Water,NULL,Bareland
5284,NULL,Water,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
5285,NULL,Water,Wetland,Non_Water,Wetland,Water,Built-up,Grassland
5286,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
5287,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Cropland
5288,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Wetland
5289,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Bareland
5290,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Water
5291,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
5292,NULL,Water,Wetland,Non_Water,Wetland,Forest,Water,Grassland
5293,NULL,Water,Wetland,Non_Water,Wetland,Forest,Water,Forest
5294,NULL,Water,Wetland,Water,Wetland,NULL,Water,Grassland
5295,NULL,Water,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
5296,NULL,Water,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
5297,NULL,Water,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
5298,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
5299,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,Water,Grassland
5300,NULL,Water,Bareland,Water,Non_Wetland,NULL,Water,Grassland
5301,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
5302,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
5303,NULL,Water,Built-up,NULL,Non_Wetland,NULL,Grassland,Bareland
5304,NULL,Water,Built-up,NULL,Non_Wetland,NULL,Water,Forest
5305,NULL,Water,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
5306,NULL,Water,Built-up,NULL,Non_Wetland,Grassland,Water,Cropland
5307,NULL,Water,Built-up,NULL,Non_Wetland,Grassland,Water,Forest
5308,NULL,Water,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
5309,NULL,Water,Built-up,NULL,Non_Wetland,Wetland,Water,Forest
5310,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
5311,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
5312,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Bareland,Water
5313,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
5314,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Water,Built-up
5315,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Forest,Bareland
5316,NULL,Water,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
5317,NULL,Water,Built-up,NULL,Non_Wetland,Water,Water,Bareland
5318,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL,Water,Grassland
5319,NULL,Water,Built-up,Non_Water,Non_Wetland,Grassland,Built-up,Built-up
5320,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
5321,NULL,Water,Built-up,Non_Water,Non_Wetland,Water,Shrubland,Grassland
5322,NULL,Water,Built-up,Non_Water,Non_Wetland,Water,Built-up,Grassland
5323,NULL,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Grassland
5324,NULL,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Bareland
5325,NULL,Water,Built-up,Water,Non_Wetland,Grassland,Grassland,Cropland
5326,NULL,Water,Built-up,Water,Non_Wetland,Bareland,Bareland,Built-up
5327,NULL,Water,Water,NULL,Water,Wetland,Grassland,Cropland
5328,NULL,Water,Water,NULL,Water,Bareland,Bareland,Bareland
5329,NULL,Water,Water,NULL,Water,Bareland,Bareland,Built-up
5330,NULL,Water,Water,NULL,Water,Bareland,Bareland,Water
5331,NULL,Water,Water,NULL,Water,Forest,Bareland,Water
5332,NULL,Water,Water,NULL,Water,Forest,Water,Forest
5333,NULL,Water,Water,Water,Water,NULL,Water,Grassland
5334,NULL,Water,Water,Water,Water,Wetland,Water,Grassland
5335,NULL,Water,Water,Water,Water,Forest,Water,Forest
5336,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
5337,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
5338,NULL,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
5339,NULL,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
5340,NULL,Water,Forest,NULL,Non_Wetland,Shrubland,Grassland,Wetland
5341,NULL,Water,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
5342,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
5343,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
5344,NULL,Water,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
5345,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Wetland
5346,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Wetland
5347,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
5348,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Water,Grassland
5349,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
5350,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,Grassland
5351,NULL,Water,Forest,NULL,Non_Wetland,Forest,NULL,Forest
5352,NULL,Water,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
5353,NULL,Water,Forest,NULL,Non_Wetland,Forest,Forest,Cropland
5354,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
5355,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Grassland
5356,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
5357,NULL,Water,Forest,Non_Water,Non_Wetland,Water,NULL,Grassland
5358,NULL,Water,Forest,Non_Water,Non_Wetland,Water,Water,NULL
5359,NULL,Water,Forest,Non_Water,Non_Wetland,Water,Water,Grassland
5360,NULL,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
5361,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
5362,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
5363,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
5364,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
5365,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
5366,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
5367,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
5368,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
5369,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,Cropland
5370,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
5371,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
5372,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
5373,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
5374,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
5375,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
5376,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
5377,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Water,Grassland
5378,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Water,Forest
5379,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Forest,NULL
5380,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
5381,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Forest
5382,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
5383,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
5384,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
5385,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
5386,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
5387,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
5388,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
5389,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
5390,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
5391,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
5392,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
5393,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
5394,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
5395,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
5396,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
5397,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
5398,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
5399,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
5400,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
5401,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
5402,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
5403,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
5404,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
5405,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
5406,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
5407,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
5408,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
5409,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
5410,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
5411,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
5412,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
5413,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
5414,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
5415,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
5416,NULL,Forest,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
5417,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
5418,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
5419,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
5420,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
5421,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
5422,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
5423,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
5424,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
5425,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
5426,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
5427,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
5428,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
5429,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
5430,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
5431,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
5432,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
5433,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
5434,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
5435,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
5436,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
5437,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
5438,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
5439,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
5440,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
5441,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
5442,NULL,Forest,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
5443,NULL,Forest,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
5444,NULL,Forest,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
5445,NULL,Forest,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
5446,NULL,Forest,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
5447,NULL,Forest,NULL,NULL,Non_Wetland,Water,Forest,Forest
5448,NULL,Forest,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
5449,NULL,Forest,NULL,NULL,Non_Wetland,Forest,NULL,Forest
5450,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
5451,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
5452,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
5453,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
5454,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
5455,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
5456,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
5457,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
5458,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
5459,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
5460,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
5461,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
5462,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
5463,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
5464,NULL,Forest,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
5465,NULL,Forest,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
5466,NULL,Forest,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
5467,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
5468,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
5469,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
5470,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
5471,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
5472,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
5473,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
5474,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
5475,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
5476,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
5477,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
5478,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
5479,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
5480,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
5481,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
5482,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
5483,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
5484,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
5485,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
5486,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
5487,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
5488,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
5489,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
5490,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
5491,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
5492,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
5493,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
5494,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
5495,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
5496,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
5497,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
5498,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
5499,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
5500,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
5501,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
5502,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
5503,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
5504,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
5505,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
5506,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
5507,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
5508,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
5509,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
5510,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
5511,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
5512,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
5513,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
5514,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
5515,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
5516,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
5517,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
5518,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
5519,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
5520,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
5521,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
5522,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
5523,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
