Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LFG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LFG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LFG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LFG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LFG_M_R
29,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
30,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
31,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
32,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
33,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
34,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
35,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
36,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
39,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
40,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
41,NULL,NULL,Water,Water,Water,NULL,NULL,Water
42,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
43,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
45,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
46,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
47,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
48,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
49,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
50,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
51,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
52,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
53,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
54,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
55,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
56,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
57,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
58,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
59,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
60,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
61,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
62,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
63,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
64,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
65,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
66,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
67,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
68,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
69,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
70,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
71,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
72,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
73,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
74,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
75,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
76,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
77,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
78,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
79,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
80,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
81,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
82,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
83,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
84,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
85,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
86,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
87,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
88,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
89,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
90,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
91,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
92,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
93,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
94,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
95,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
96,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
97,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
98,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
99,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
100,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
101,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
102,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
103,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
104,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
105,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
106,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
107,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
108,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
109,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
110,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
111,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
112,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
113,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
114,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
115,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
116,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
117,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
118,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
119,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
120,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
121,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
122,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
123,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
124,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
125,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
126,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
127,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
128,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
129,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
130,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
131,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
132,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
133,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
134,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
135,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
136,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
137,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
138,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
139,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
140,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
141,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
142,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
143,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
144,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
145,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
146,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
147,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
148,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
149,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
150,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
151,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
152,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
153,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
154,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
155,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
156,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
157,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
158,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
159,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
160,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
161,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
162,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
163,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
164,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
165,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
166,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
167,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
168,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
169,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
170,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
171,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
172,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
173,Cropland,NULL,Water,Water,Water,NULL,NULL,Water
174,Cropland,NULL,Water,Water,Water,NULL,NULL,Forest
175,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
176,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
177,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Water
178,Cropland,Water,Water,Water,Water,NULL,NULL,Water
179,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
180,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
181,Cropland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
182,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
183,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
184,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
185,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
186,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
187,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
188,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
189,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
190,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
191,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
192,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
193,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Water
194,Bareland,Bareland,Water,Water,Water,NULL,NULL,Water
195,Bareland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
196,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
197,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
198,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
199,Bareland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
200,Bareland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
201,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
202,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
203,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
204,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
205,Bareland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
206,Bareland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
207,Bareland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
208,Bareland,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
209,Bareland,Water,Water,NULL,Water,NULL,NULL,Water
210,Bareland,Water,Water,NULL,Water,NULL,NULL,Forest
211,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Water
212,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Forest
213,Bareland,Water,Water,Water,Water,NULL,NULL,Water
214,Bareland,Water,Water,Water,Water,NULL,NULL,Forest
215,Bareland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
216,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
217,Bareland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
218,Bareland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
219,Bareland,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Water
220,Bareland,Forest,Water,Water,Water,NULL,NULL,Water
221,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
222,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
223,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
224,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
225,Water,NULL,Water,Water,Water,NULL,NULL,Water
226,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
227,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
228,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
229,Water,Wetland,Water,Water,Water,NULL,NULL,Water
230,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
231,Water,Bareland,Water,Water,Water,NULL,NULL,Water
232,Water,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
233,Water,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
234,Water,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
235,Water,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
236,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
237,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
238,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
239,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
240,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
241,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
242,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
243,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
244,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
245,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
246,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
247,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
248,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
249,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
250,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
251,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
252,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
253,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
254,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
255,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
256,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
257,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
258,Water,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
259,Water,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Water
260,Water,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
261,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
262,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
263,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
264,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
265,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
266,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
267,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
268,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
269,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
270,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
271,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
272,Water,Water,Wetland,Water,Wetland,NULL,NULL,Cropland
273,Water,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
274,Water,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
275,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
276,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
277,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
278,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
279,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
280,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
281,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
282,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
283,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
284,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Forest
285,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
286,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
287,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Forest
288,Water,Water,Water,NULL,Water,NULL,NULL,Wetland
289,Water,Water,Water,NULL,Water,NULL,NULL,Bareland
290,Water,Water,Water,NULL,Water,NULL,NULL,Water
291,Water,Water,Water,NULL,Water,NULL,NULL,Forest
292,Water,Water,Water,Non_Water,Water,NULL,NULL,Cropland
293,Water,Water,Water,Non_Water,Water,NULL,NULL,Wetland
294,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
295,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
296,Water,Water,Water,Water,Water,NULL,NULL,Cropland
297,Water,Water,Water,Water,Water,NULL,NULL,Wetland
298,Water,Water,Water,Water,Water,NULL,NULL,Bareland
299,Water,Water,Water,Water,Water,NULL,NULL,Water
300,Water,Water,Water,Water,Water,NULL,NULL,Forest
301,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
302,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
303,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
304,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
305,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
306,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
307,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
308,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
309,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
310,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
311,Water,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
312,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
313,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
314,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
315,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
316,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Water
317,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
318,Water,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
319,Water,Forest,Water,NULL,Water,NULL,NULL,Forest
320,Water,Forest,Water,Non_Water,Water,NULL,NULL,Forest
321,Water,Forest,Water,Water,Water,NULL,NULL,Water
322,Water,Forest,Water,Water,Water,NULL,NULL,Forest
323,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
324,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
325,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
326,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
327,Permanent_ice_and_snow,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
328,Permanent_ice_and_snow,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
329,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
330,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
331,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
332,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
333,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
334,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
335,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
336,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
337,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
338,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
339,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
340,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
341,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
342,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
343,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
344,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
345,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
346,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
347,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
348,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
349,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
350,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
351,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
352,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
353,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
354,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
