Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KMG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KMG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KMG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KMG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KMG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KMG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KMG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KMG_M_R
1399,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
1400,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
1401,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
1402,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
1403,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1404,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
1405,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
1406,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1407,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
1408,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
1409,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,NULL
1410,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
1411,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
1412,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
1413,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
1414,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Water
1415,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
1416,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
1417,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
1418,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
1419,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
1420,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
1421,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
1422,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
1423,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
1424,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
1425,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1426,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
1427,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
1428,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1429,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Built-up
1430,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
1431,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
1432,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,NULL
1433,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
1434,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
1435,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
1436,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
1437,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Water
1438,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
1439,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
1440,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
1441,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
1442,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
1443,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
1444,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
1445,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
1446,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
1447,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
1448,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
1449,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
1450,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
1451,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Water
1452,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
1453,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,NULL
1454,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
1455,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Cropland
1456,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
1457,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Bareland
1458,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
1459,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
1460,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
1461,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
1462,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
1463,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Wetland
1464,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
1465,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
1466,Cropland,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
1467,Cropland,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Cropland
1468,Cropland,Cropland,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Cropland
1469,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
1470,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
1471,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
1472,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
1473,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
1474,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
1475,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
1476,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
1477,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1478,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
1479,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
1480,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1481,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
1482,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
1483,Cropland,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
1484,Cropland,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
1485,Cropland,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
1486,Cropland,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
1487,Cropland,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Water
1488,Cropland,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Forest
1489,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
1490,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1491,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
1492,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
1493,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
1494,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
1495,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
1496,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
1497,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
1498,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
1499,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
1500,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
1501,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
1502,Cropland,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Cropland
1503,Cropland,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
1504,Cropland,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Water
1505,Cropland,Cropland,Water,NULL,Water,NULL,NULL,NULL
1506,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Grassland
1507,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Cropland
1508,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Wetland
1509,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Bareland
1510,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Built-up
1511,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Water
1512,Cropland,Cropland,Water,NULL,Water,NULL,NULL,Forest
1513,Cropland,Cropland,Water,Non_Water,Water,NULL,NULL,NULL
1514,Cropland,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
1515,Cropland,Cropland,Water,Non_Water,Water,NULL,NULL,Cropland
1516,Cropland,Cropland,Water,Non_Water,Water,NULL,NULL,Wetland
1517,Cropland,Cropland,Water,Non_Water,Water,NULL,NULL,Water
1518,Cropland,Cropland,Water,Non_Water,Water,NULL,NULL,Forest
1519,Cropland,Cropland,Water,Water,Water,NULL,NULL,NULL
1520,Cropland,Cropland,Water,Water,Water,NULL,NULL,Grassland
1521,Cropland,Cropland,Water,Water,Water,NULL,NULL,Cropland
1522,Cropland,Cropland,Water,Water,Water,NULL,NULL,Wetland
1523,Cropland,Cropland,Water,Water,Water,NULL,NULL,Bareland
1524,Cropland,Cropland,Water,Water,Water,NULL,NULL,Water
1525,Cropland,Cropland,Water,Water,Water,NULL,NULL,Forest
1526,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
1527,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1528,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
1529,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
1530,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
1531,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
1532,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
1533,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1534,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
1535,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
1536,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
1537,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
1538,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
1539,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
1540,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
1541,Cropland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,NULL
1542,Cropland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
1543,Cropland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Cropland
1544,Cropland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
1545,Cropland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
1546,Cropland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Water
1547,Cropland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Forest
1548,Cropland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1549,Cropland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1550,Cropland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1551,Cropland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
1552,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1553,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1554,Cropland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
1555,Cropland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
1556,Cropland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
1557,Cropland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
1558,Cropland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
1559,Cropland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
1560,Cropland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
1561,Cropland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
1562,Cropland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1563,Cropland,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
1564,Cropland,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
1565,Cropland,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
1566,Cropland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
1567,Cropland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Cropland
1568,Cropland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
1569,Cropland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
1570,Cropland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
1571,Cropland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
1572,Cropland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
1573,Cropland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
1574,Cropland,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
1575,Cropland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
1576,Cropland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
1577,Cropland,Wetland,Water,NULL,Water,NULL,NULL,NULL
1578,Cropland,Wetland,Water,NULL,Water,NULL,NULL,Grassland
1579,Cropland,Wetland,Water,NULL,Water,NULL,NULL,Forest
1580,Cropland,Wetland,Water,Water,Water,NULL,NULL,Forest
1581,Cropland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
1582,Cropland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1583,Cropland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
1584,Cropland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1585,Cropland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
1586,Cropland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
1587,Cropland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
1588,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1589,Cropland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
1590,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1591,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1592,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
1593,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
1594,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
1595,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1596,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
1597,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
1598,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
1599,Cropland,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Water
1600,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
1601,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
1602,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
1603,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
1604,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Cropland
1605,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
1606,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
1607,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
1608,Cropland,Bareland,Water,NULL,Water,NULL,NULL,NULL
1609,Cropland,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
1610,Cropland,Bareland,Water,Water,Water,NULL,NULL,Water
1611,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1612,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
1613,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1614,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1615,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
1616,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
1617,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
1618,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1619,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1620,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1621,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
1622,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
1623,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
1624,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1625,Cropland,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1626,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
1627,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
1628,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
1629,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
1630,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
1631,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
1632,Cropland,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1633,Cropland,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
1634,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
1635,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
1636,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
1637,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
1638,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
1639,Cropland,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1640,Cropland,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
1641,Cropland,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
1642,Cropland,Built-up,Wetland,NULL,Wetland,NULL,NULL,Cropland
1643,Cropland,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
1644,Cropland,Built-up,Wetland,Water,Wetland,NULL,NULL,Cropland
1645,Cropland,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
1646,Cropland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
1647,Cropland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
1648,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
1649,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
1650,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1651,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
1652,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
1653,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
1654,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
1655,Cropland,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
1656,Cropland,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Forest
1657,Cropland,Built-up,Water,NULL,Water,NULL,NULL,Grassland
1658,Cropland,Built-up,Water,NULL,Water,NULL,NULL,Cropland
1659,Cropland,Built-up,Water,NULL,Water,NULL,NULL,Built-up
1660,Cropland,Built-up,Water,NULL,Water,NULL,NULL,Water
1661,Cropland,Built-up,Water,NULL,Water,NULL,NULL,Forest
1662,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
1663,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1664,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
1665,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
1666,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1667,Cropland,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
1668,Cropland,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
1669,Cropland,Water,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1670,Cropland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1671,Cropland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
1672,Cropland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
1673,Cropland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
1674,Cropland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1675,Cropland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
1676,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1677,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1678,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
1679,Cropland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
1680,Cropland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1681,Cropland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
1682,Cropland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
1683,Cropland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
1684,Cropland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
1685,Cropland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
1686,Cropland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
1687,Cropland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
1688,Cropland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
1689,Cropland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Water
1690,Cropland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
1691,Cropland,Water,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
1692,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
1693,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
1694,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
1695,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
1696,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
1697,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
1698,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Water
1699,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
1700,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
1701,Cropland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
1702,Cropland,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
1703,Cropland,Water,Water,NULL,Water,NULL,NULL,Grassland
1704,Cropland,Water,Water,NULL,Water,NULL,NULL,Cropland
1705,Cropland,Water,Water,NULL,Water,NULL,NULL,Water
1706,Cropland,Water,Water,NULL,Water,NULL,NULL,Forest
1707,Cropland,Water,Water,Non_Water,Water,NULL,NULL,Grassland
1708,Cropland,Water,Water,Non_Water,Water,NULL,NULL,Water
1709,Cropland,Water,Water,Non_Water,Water,NULL,NULL,Forest
1710,Cropland,Water,Water,Water,Water,NULL,NULL,Water
1711,Cropland,Water,Water,Water,Water,NULL,NULL,Forest
1712,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
1713,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1714,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
1715,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
1716,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1717,Cropland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
1718,Cropland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
1719,Cropland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
1720,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1721,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1722,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
1723,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
1724,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
1725,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Water
1726,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1727,Cropland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
1728,Cropland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
1729,Cropland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
1730,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1731,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
