Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MUU_M_R
292,NULL,Water,Cropland,Non_Water,Non_Wetland,Water
293,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
294,NULL,Water,Cropland,Water,Non_Wetland,Water
295,NULL,Water,Cropland,Water,Non_Wetland,Forest
296,NULL,Water,Wetland,NULL,Wetland,Forest
297,NULL,Water,Wetland,Non_Water,Wetland,Grassland
298,NULL,Water,Wetland,Non_Water,Wetland,Water
299,NULL,Water,Wetland,Non_Water,Wetland,Forest
300,NULL,Water,Wetland,Water,Wetland,Grassland
301,NULL,Water,Wetland,Water,Wetland,Water
302,NULL,Water,Wetland,Water,Wetland,Forest
303,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
304,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
305,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
306,NULL,Water,Bareland,Water,Non_Wetland,Grassland
307,NULL,Water,Bareland,Water,Non_Wetland,Bareland
308,NULL,Water,Bareland,Water,Non_Wetland,Water
309,NULL,Water,Built-up,NULL,Non_Wetland,Forest
310,NULL,Water,Water,NULL,Water,Water
311,NULL,Water,Water,Non_Water,Water,Water
312,NULL,Water,Water,Water,Water,Grassland
313,NULL,Water,Water,Water,Water,Bareland
314,NULL,Water,Water,Water,Water,Water
315,NULL,Water,Water,Water,Water,Forest
316,NULL,Water,Forest,NULL,Non_Wetland,Grassland
317,NULL,Water,Forest,NULL,Non_Wetland,Bareland
318,NULL,Water,Forest,NULL,Non_Wetland,Water
319,NULL,Water,Forest,NULL,Non_Wetland,Forest
320,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
321,NULL,Water,Forest,Non_Water,Non_Wetland,Bareland
322,NULL,Water,Forest,Non_Water,Non_Wetland,Water
323,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
324,NULL,Water,Forest,Water,Non_Wetland,Grassland
325,NULL,Water,Forest,Water,Non_Wetland,Bareland
326,NULL,Water,Forest,Water,Non_Wetland,Water
327,NULL,Water,Forest,Water,Non_Wetland,Forest
328,NULL,Forest,NULL,NULL,Non_Wetland,Forest
329,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
330,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
331,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
332,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
333,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
334,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
335,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
336,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
337,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
338,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
339,NULL,Forest,Grassland,Non_Water,Non_Wetland,Forest
340,NULL,Forest,Grassland,Water,Non_Wetland,Water
341,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
342,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
343,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
344,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
345,NULL,Forest,Cropland,Non_Water,Non_Wetland,Bareland
346,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
347,NULL,Forest,Cropland,Water,Non_Wetland,Grassland
348,NULL,Forest,Wetland,NULL,Wetland,Grassland
349,NULL,Forest,Wetland,NULL,Wetland,Forest
350,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
351,NULL,Forest,Wetland,Non_Water,Wetland,Forest
352,NULL,Forest,Wetland,Water,Wetland,Water
353,NULL,Forest,Wetland,Water,Wetland,Forest
354,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
355,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
356,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
357,NULL,Forest,Bareland,Non_Water,Non_Wetland,Grassland
358,NULL,Forest,Bareland,Non_Water,Non_Wetland,Bareland
359,NULL,Forest,Bareland,Water,Non_Wetland,Bareland
360,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
361,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
362,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
363,NULL,Forest,Built-up,Water,Non_Wetland,Grassland
364,NULL,Forest,Water,NULL,Water,Grassland
365,NULL,Forest,Water,Water,Water,Water
366,NULL,Forest,Water,Water,Water,Forest
367,NULL,Forest,Forest,NULL,Non_Wetland,NULL
368,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
369,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
370,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
371,NULL,Forest,Forest,NULL,Non_Wetland,Water
372,NULL,Forest,Forest,NULL,Non_Wetland,Forest
373,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
374,NULL,Forest,Forest,Non_Water,Non_Wetland,Bareland
375,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
376,NULL,Forest,Forest,Water,Non_Wetland,Grassland
377,NULL,Forest,Forest,Water,Non_Wetland,Forest
378,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
379,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
380,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
381,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
382,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
383,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
384,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
385,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
386,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
387,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
388,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
389,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
390,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
391,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
392,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
393,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
394,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
395,Grassland,NULL,Grassland,NULL,Non_Wetland,Water
396,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
397,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
398,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Forest
399,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
400,Grassland,NULL,Grassland,Water,Non_Wetland,Cropland
401,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
402,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
403,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
404,Grassland,NULL,Cropland,NULL,Non_Wetland,Water
405,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
406,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
407,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
408,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
409,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water
410,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest
411,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
412,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland
413,Grassland,NULL,Cropland,Water,Non_Wetland,Water
414,Grassland,NULL,Wetland,NULL,Wetland,Grassland
415,Grassland,NULL,Wetland,NULL,Wetland,Wetland
416,Grassland,NULL,Wetland,NULL,Wetland,Water
417,Grassland,NULL,Wetland,NULL,Wetland,Forest
418,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
419,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
420,Grassland,NULL,Wetland,Non_Water,Wetland,Water
421,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
422,Grassland,NULL,Wetland,Water,Wetland,Grassland
423,Grassland,NULL,Wetland,Water,Wetland,Cropland
424,Grassland,NULL,Wetland,Water,Wetland,Wetland
425,Grassland,NULL,Wetland,Water,Wetland,Water
426,Grassland,NULL,Wetland,Water,Wetland,Forest
427,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
428,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
429,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
430,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
431,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Water
432,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
433,Grassland,NULL,Bareland,Water,Non_Wetland,Bareland
434,Grassland,NULL,Bareland,Water,Non_Wetland,Forest
