Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NPP_M_R
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Water
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Bareland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Forest
37,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Grassland
38,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Bareland
39,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Water
40,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL
41,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland
47,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Forest
48,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland
49,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland
50,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland
51,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest
52,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Grassland
53,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland
54,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Bareland
55,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Forest
56,NULL,NULL,Wetland,Water,Wetland,NULL,Grassland
57,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland
58,NULL,NULL,Wetland,Water,Wetland,NULL,Bareland
59,NULL,NULL,Wetland,Water,Wetland,NULL,Water
60,NULL,NULL,Wetland,Water,Wetland,NULL,Forest
61,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland
62,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Bareland
63,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Built-up
64,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Forest
65,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Bareland
66,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Bareland
67,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Water
68,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL
69,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland
70,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland
71,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up
72,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Forest
73,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Grassland
74,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Built-up
75,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Water
76,NULL,NULL,Water,NULL,Water,NULL,Grassland
77,NULL,NULL,Water,NULL,Water,NULL,Bareland
78,NULL,NULL,Water,NULL,Water,NULL,Water
79,NULL,NULL,Water,NULL,Water,NULL,Forest
80,NULL,NULL,Water,Non_Water,Water,NULL,Grassland
81,NULL,NULL,Water,Non_Water,Water,NULL,Wetland
82,NULL,NULL,Water,Non_Water,Water,NULL,Water
83,NULL,NULL,Water,Non_Water,Water,NULL,Forest
84,NULL,NULL,Water,Water,Water,NULL,Grassland
85,NULL,NULL,Water,Water,Water,NULL,Bareland
86,NULL,NULL,Water,Water,Water,NULL,Water
87,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL
88,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
89,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland
90,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland
91,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Built-up
92,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water
93,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest
94,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland
95,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Water
96,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest
97,NULL,NULL,Forest,Water,Non_Wetland,NULL,Grassland
98,NULL,NULL,Forest,Water,Non_Wetland,NULL,Wetland
99,NULL,NULL,Forest,Water,Non_Wetland,NULL,Water
100,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland
101,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland
102,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest
103,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
104,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland
105,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Bareland
106,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Forest
107,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland
108,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest
109,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,Grassland
110,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,Bareland
111,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland
112,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Bareland
113,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Forest
114,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland
115,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Built-up
116,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Forest
117,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Bareland
118,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Bareland
119,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,Grassland
120,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,Bareland
121,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,Water
122,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,Bareland
123,NULL,Bareland,NULL,Water,Non_Wetland,NULL,Bareland
124,NULL,Bareland,NULL,Water,Non_Wetland,NULL,Water
125,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Grassland
126,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Bareland
127,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Forest
128,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
129,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Grassland
130,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Wetland
131,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Water
132,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Forest
133,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,Grassland
134,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,Bareland
135,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,Forest
136,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,Bareland
137,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,Grassland
138,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,Bareland
139,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,Water
140,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Grassland
141,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Bareland
142,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Forest
143,NULL,Bareland,Wetland,NULL,Wetland,NULL,Forest
144,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,Grassland
145,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,Bareland
146,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,Forest
147,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,Bareland
148,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,Bareland
149,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,Water
150,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,Grassland
151,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,Bareland
152,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,Water
153,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,Forest
154,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,Bareland
155,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,Bareland
156,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,Water
157,NULL,Bareland,Water,NULL,Water,NULL,Bareland
158,NULL,Bareland,Water,Non_Water,Water,NULL,Grassland
159,NULL,Bareland,Water,Water,Water,NULL,Water
160,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,Grassland
161,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,Forest
162,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland
163,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Bareland
164,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up
165,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Forest
166,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL
167,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland
168,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland
169,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up
170,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Water
171,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest
172,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
173,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
174,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Forest
175,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Grassland
176,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Bareland
177,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Forest
178,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland
179,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Cropland
180,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Bareland
181,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up
182,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest
183,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,Grassland
184,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,Forest
185,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,Forest
186,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland
187,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland
188,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up
189,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Forest
190,NULL,Built-up,Wetland,NULL,Wetland,NULL,Grassland
191,NULL,Built-up,Wetland,NULL,Wetland,NULL,Forest
192,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL
193,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Grassland
194,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Bareland
195,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Built-up
196,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Forest
197,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL
198,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland
199,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Bareland
200,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up
201,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Water
202,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Forest
203,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Built-up
204,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Water
205,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Forest
206,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,Grassland
207,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,Bareland
208,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,Forest
209,NULL,Built-up,Water,NULL,Water,NULL,Forest
210,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland
211,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland
212,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up
213,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest
214,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,Grassland
215,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,Forest
216,NULL,Built-up,Forest,Water,Non_Wetland,NULL,Grassland
217,NULL,Built-up,Forest,Water,Non_Wetland,NULL,Forest
218,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland
219,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Forest
220,NULL,Water,Grassland,NULL,Non_Wetland,NULL,Grassland
221,NULL,Water,Grassland,NULL,Non_Wetland,NULL,Forest
222,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Forest
223,NULL,Water,Cropland,Water,Non_Wetland,NULL,Grassland
224,NULL,Water,Built-up,NULL,Non_Wetland,NULL,Grassland
225,NULL,Water,Built-up,NULL,Non_Wetland,NULL,Forest
226,NULL,Water,Forest,NULL,Non_Wetland,NULL,Grassland
227,NULL,Water,Forest,NULL,Non_Wetland,NULL,Forest
228,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Forest
229,NULL,Forest,NULL,Water,Non_Wetland,NULL,Water
230,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland
231,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Bareland
232,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest
233,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland
234,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Bareland
235,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Forest
236,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland
237,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest
238,NULL,Forest,Wetland,NULL,Wetland,NULL,Grassland
239,NULL,Forest,Wetland,NULL,Wetland,NULL,Forest
240,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,Grassland
241,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,Forest
242,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Grassland
243,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Built-up
244,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Forest
245,NULL,Forest,Built-up,Non_Water,Non_Wetland,NULL,Grassland
246,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland
247,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland
248,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest
249,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,Forest
250,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL
251,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland
252,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Forest
253,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland
254,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL
255,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
256,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland
257,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland
258,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up
259,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Water
260,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
261,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
262,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Cropland
263,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
264,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
265,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest
266,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland
267,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland
268,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland
269,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Water
270,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL
271,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
272,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland
273,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland
274,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up
275,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
276,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
277,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland
278,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Forest
279,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,Grassland
280,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,Water
281,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,Forest
282,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
283,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland
284,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland
285,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up
286,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
287,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland
288,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Wetland
289,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Bareland
290,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Forest
291,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,Water
292,Grassland,NULL,Wetland,NULL,Wetland,NULL,Grassland
293,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland
294,Grassland,NULL,Wetland,NULL,Wetland,NULL,Water
295,Grassland,NULL,Wetland,NULL,Wetland,NULL,Forest
296,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Grassland
297,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Wetland
298,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Water
299,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Forest
300,Grassland,NULL,Wetland,Water,Wetland,NULL,Grassland
301,Grassland,NULL,Wetland,Water,Wetland,NULL,Wetland
302,Grassland,NULL,Wetland,Water,Wetland,NULL,Bareland
303,Grassland,NULL,Wetland,Water,Wetland,NULL,Water
304,Grassland,NULL,Wetland,Water,Wetland,NULL,Forest
305,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland
306,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,Forest
307,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,Grassland
308,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,Bareland
309,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL
310,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland
311,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland
312,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up
313,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,Forest
314,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL,Grassland
315,Grassland,NULL,Water,NULL,Water,NULL,Grassland
316,Grassland,NULL,Water,NULL,Water,NULL,Water
317,Grassland,NULL,Water,NULL,Water,NULL,Forest
318,Grassland,NULL,Water,Non_Water,Water,NULL,Grassland
319,Grassland,NULL,Water,Non_Water,Water,NULL,Wetland
320,Grassland,NULL,Water,Non_Water,Water,NULL,Forest
321,Grassland,NULL,Water,Water,Water,NULL,Grassland
322,Grassland,NULL,Water,Water,Water,NULL,Wetland
323,Grassland,NULL,Water,Water,Water,NULL,Water
324,Grassland,NULL,Water,Water,Water,NULL,Forest
325,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL
326,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
327,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland
328,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Bareland
329,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Built-up
330,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Water
331,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest
332,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland
333,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland
334,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Water
335,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest
336,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Grassland
337,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Wetland
338,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Water
339,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Forest
340,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland
341,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland
342,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest
343,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland
344,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Forest
345,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland
346,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Built-up
347,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest
348,Grassland,Cropland,Wetland,NULL,Wetland,NULL,Grassland
349,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL,Grassland
350,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland
351,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,Forest
352,Grassland,Cropland,Water,NULL,Water,NULL,Grassland
353,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland
354,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest
355,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL,Forest
356,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland
357,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,Grassland
358,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,Forest
359,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Forest
360,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,Grassland
361,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Grassland
362,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Grassland
363,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Forest
364,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,Grassland
365,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,Wetland
366,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,Water
367,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,Forest
368,Grassland,Wetland,Water,NULL,Water,NULL,Forest
369,Grassland,Wetland,Water,Non_Water,Water,NULL,Grassland
370,Grassland,Wetland,Water,Non_Water,Water,NULL,Wetland
371,Grassland,Wetland,Water,Water,Water,NULL,Grassland
372,Grassland,Wetland,Water,Water,Water,NULL,Wetland
373,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland
374,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland
375,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Forest
376,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,Grassland
377,Grassland,Bareland,Shrubland,NULL,Non_Wetland,NULL,Grassland
