Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MWQ_M_R
54,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
59,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
60,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
61,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
62,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
63,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
64,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
65,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
66,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
67,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
68,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
69,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
70,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
71,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Water
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Wetland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Forest
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Bareland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Water
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
133,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
134,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
135,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
136,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Wetland
137,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
138,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
139,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
140,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
141,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
142,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Water
143,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
144,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
145,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
146,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
147,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
148,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Wetland
149,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Water
150,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Forest
151,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
152,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
153,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
154,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
155,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
156,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
157,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Wetland
158,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Water
159,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
160,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
161,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
162,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Wetland
163,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Bareland
164,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Water
165,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Forest
166,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
167,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Water
168,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
169,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Wetland
170,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
171,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
172,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
173,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
174,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
175,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
176,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
177,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
178,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
179,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
180,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
181,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
182,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
183,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
184,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
185,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
186,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
187,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
188,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
189,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
190,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
191,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
192,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
193,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
194,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
195,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
196,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
197,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
198,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
199,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
200,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
201,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
202,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
203,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
204,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
205,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
206,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
207,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
208,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
209,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
210,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
211,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
212,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
213,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
214,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
215,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
216,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
217,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
218,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
219,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
220,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
221,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Bareland
222,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Water
223,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
224,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
225,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
226,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
227,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
228,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
229,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
230,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
231,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
232,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
233,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
234,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
235,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
236,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
237,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
238,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
239,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
240,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
241,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
242,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
243,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
244,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
245,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
246,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
247,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Built-up
248,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
249,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
250,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
251,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
252,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
253,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
254,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Grassland
255,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
256,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
257,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
258,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
259,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
260,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Bareland
261,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Water
262,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
263,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
264,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
265,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
266,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
267,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
268,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
269,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
270,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
271,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
272,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
273,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
274,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
275,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
276,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
277,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
278,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
279,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
280,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
281,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
282,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Water
283,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
284,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
285,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Water
286,NULL,NULL,Wetland,NULL,Wetland,Built-up,Wetland,Grassland
287,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
288,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
289,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Bareland
290,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
291,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
292,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Grassland
293,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
294,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
295,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
296,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
297,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
298,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
299,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Wetland
300,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Grassland
301,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Bareland
302,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Water
303,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Forest
304,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
305,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Water
306,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
307,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
308,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
309,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
310,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
311,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
312,NULL,NULL,Wetland,Water,Wetland,Bareland,Grassland,Grassland
313,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
314,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Wetland
315,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Bareland
316,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Grassland
317,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Bareland
318,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Water
319,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Forest
320,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
321,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Wetland
322,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Bareland
323,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
324,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Forest
325,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
326,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
327,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
328,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
329,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
