Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NNJ_M_R
155,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
156,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
157,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
158,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
159,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
160,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
161,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
162,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
163,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
164,NULL,Forest,Forest,Water,Non_Wetland,Grassland,Bareland,Water
165,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
166,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
167,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
168,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
169,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
170,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
171,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
172,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
173,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
174,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Bareland,Bareland
175,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
176,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
177,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
178,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
179,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
180,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
181,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
182,Cropland,Water,Shrubland,Water,Non_Wetland,Grassland,Water,Water
183,Cropland,Water,Forest,NULL,Non_Wetland,Grassland,Water,Water
184,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
185,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
186,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
187,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
188,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
189,Wetland,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,Forest
190,Wetland,Wetland,NULL,NULL,Non_Wetland,Water,Water,Forest
191,Wetland,Wetland,NULL,Water,Non_Wetland,Water,Water,Water
192,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
193,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Water,Water
194,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Water,Forest
195,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Water
196,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
197,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Water
198,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
199,Wetland,Wetland,Wetland,NULL,Wetland,Forest,Wetland,Water
200,Wetland,Wetland,Wetland,NULL,Wetland,Forest,Water,Water
201,Wetland,Wetland,Wetland,NULL,Wetland,Forest,Water,Forest
202,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
203,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
204,Wetland,Wetland,Wetland,Water,Wetland,NULL,Water,Water
205,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Water
206,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Forest
207,Wetland,Wetland,Wetland,Water,Wetland,Forest,Water,Water
208,Wetland,Wetland,Water,NULL,Water,Water,Wetland,Water
209,Wetland,Wetland,Water,NULL,Water,Water,Wetland,Forest
210,Wetland,Wetland,Water,NULL,Water,Water,Water,Water
211,Wetland,Wetland,Water,NULL,Water,Water,Water,Forest
212,Wetland,Wetland,Water,Non_Water,Water,NULL,Water,Forest
213,Wetland,Wetland,Water,Non_Water,Water,Water,Water,Water
214,Wetland,Wetland,Water,Water,Water,Wetland,Water,Water
215,Wetland,Wetland,Water,Water,Water,Wetland,Water,Forest
216,Wetland,Wetland,Water,Water,Water,Water,Wetland,Water
217,Wetland,Wetland,Water,Water,Water,Water,Water,Wetland
218,Wetland,Wetland,Water,Water,Water,Water,Water,Water
219,Wetland,Wetland,Water,Water,Water,Water,Water,Forest
220,Wetland,Wetland,Water,Water,Water,Forest,Water,Water
221,Wetland,Wetland,Water,Water,Water,Forest,Water,Forest
222,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
223,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,Water,Forest
224,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland,Water,Forest
225,Wetland,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Forest
226,Wetland,Wetland,Forest,NULL,Non_Wetland,Water,Water,Water
227,Wetland,Wetland,Forest,NULL,Non_Wetland,Water,Water,Forest
228,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
229,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest,Water,Forest
230,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,Water,Forest
231,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Water,Water,Forest
232,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,Water,Forest
233,Wetland,Wetland,Forest,Water,Non_Wetland,Water,Water,Water
234,Wetland,Wetland,Forest,Water,Non_Wetland,Water,Water,Forest
235,Wetland,Water,NULL,NULL,Non_Wetland,NULL,Water,Water
236,Wetland,Water,Wetland,NULL,Wetland,NULL,Water,Forest
237,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Water
238,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Forest
239,Wetland,Water,Wetland,NULL,Wetland,Forest,Water,Forest
240,Wetland,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
241,Wetland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
242,Wetland,Water,Wetland,Water,Wetland,Water,Water,Water
243,Wetland,Water,Wetland,Water,Wetland,Water,Water,Forest
244,Wetland,Water,Water,NULL,Water,NULL,Water,Forest
245,Wetland,Water,Water,NULL,Water,Water,Water,Forest
246,Wetland,Water,Water,Non_Water,Water,Water,Water,Water
247,Wetland,Water,Water,Water,Water,Wetland,Water,Water
248,Wetland,Water,Water,Water,Water,Water,Water,Water
249,Wetland,Water,Water,Water,Water,Water,Water,Forest
250,Wetland,Water,Water,Water,Water,Forest,Water,Water
251,Wetland,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
252,Wetland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
253,Wetland,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
254,Wetland,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
255,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
256,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
257,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
258,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
259,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
260,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
261,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
262,Bareland,NULL,Water,Water,Water,Water,Forest,Water
263,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
264,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
265,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
266,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
267,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
268,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
269,Bareland,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Forest
270,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
271,Bareland,Bareland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
272,Bareland,Bareland,Wetland,Water,Wetland,Grassland,Water,Water
273,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
274,Bareland,Bareland,Water,Water,Water,Grassland,Bareland,Water
275,Bareland,Bareland,Water,Water,Water,Grassland,Water,Water
276,Bareland,Bareland,Water,Water,Water,Bareland,Water,Water
277,Bareland,Bareland,Water,Water,Water,Water,Water,Water
278,Bareland,Bareland,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
279,Bareland,Bareland,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
280,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
281,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
282,Bareland,Bareland,Forest,NULL,Non_Wetland,Water,Bareland,Forest
283,Bareland,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
284,Bareland,Water,NULL,Water,Non_Wetland,Grassland,Bareland,Water
285,Bareland,Water,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
286,Bareland,Water,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Water
287,Bareland,Water,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
288,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
289,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
290,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
291,Bareland,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
292,Bareland,Water,Wetland,Water,Wetland,Grassland,Water,Water
293,Bareland,Water,Wetland,Water,Wetland,Grassland,Water,Forest
294,Bareland,Water,Wetland,Water,Wetland,Water,Bareland,Water
295,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
296,Bareland,Water,Water,NULL,Water,Grassland,Bareland,Water
297,Bareland,Water,Water,NULL,Water,Grassland,Water,Water
298,Bareland,Water,Water,NULL,Water,Grassland,Water,Forest
299,Bareland,Water,Water,NULL,Water,Water,Bareland,Water
300,Bareland,Water,Water,Water,Water,Grassland,Bareland,Water
301,Bareland,Water,Water,Water,Water,Grassland,Bareland,Forest
302,Bareland,Water,Water,Water,Water,Grassland,Water,Water
303,Bareland,Water,Water,Water,Water,Grassland,Water,Forest
304,Bareland,Water,Water,Water,Water,Water,Bareland,Water
305,Bareland,Water,Water,Water,Water,Water,Water,Water
306,Bareland,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
307,Bareland,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
308,Bareland,Water,Forest,NULL,Non_Wetland,Grassland,Bareland,Bareland
309,Bareland,Water,Forest,NULL,Non_Wetland,Grassland,Bareland,Water
310,Bareland,Water,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
311,Bareland,Water,Forest,NULL,Non_Wetland,Grassland,Water,Water
312,Bareland,Water,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
313,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
314,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
315,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
316,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
317,Bareland,Water,Forest,NULL,Non_Wetland,Water,Bareland,Water
318,Bareland,Water,Forest,NULL,Non_Wetland,Water,Bareland,Forest
319,Bareland,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
320,Bareland,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
321,Bareland,Water,Forest,Water,Non_Wetland,Grassland,Wetland,Forest
322,Bareland,Water,Forest,Water,Non_Wetland,Grassland,Bareland,Water
323,Bareland,Water,Forest,Water,Non_Wetland,Grassland,Water,Water
324,Bareland,Water,Forest,Water,Non_Wetland,Grassland,Water,Forest
325,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
326,Bareland,Forest,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
327,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
328,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
329,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
330,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
331,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
332,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
333,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
334,Water,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
335,Water,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
336,Water,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
337,Water,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
338,Water,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
339,Water,NULL,Water,NULL,Water,Water,Water,Water
340,Water,NULL,Water,NULL,Water,Water,Forest,Grassland
341,Water,NULL,Water,NULL,Water,Forest,Forest,Grassland
342,Water,NULL,Water,NULL,Water,Forest,Forest,Forest
343,Water,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
344,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
345,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
