Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MFD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MFD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MFD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MFD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MFD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MFD_M_R
99,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
100,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
101,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Cropland
102,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
103,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Water
104,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
105,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
106,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Wetland
107,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Water
108,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
109,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Wetland
110,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
111,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
112,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
113,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Wetland
114,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
115,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
116,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Cropland
117,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Wetland
118,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Water
119,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
120,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
121,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Cropland
122,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
123,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
124,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
125,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
126,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
127,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
128,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
129,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Grassland
130,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
131,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
132,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
133,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
134,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
135,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
136,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
137,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Water
138,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
139,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
140,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
141,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Wetland
142,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
143,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
144,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Water
145,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
146,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Wetland
147,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Water,Grassland
148,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Water,Bareland
149,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
150,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Wetland,Forest
151,NULL,NULL,Wetland,NULL,NULL,Bareland,Water,Forest
152,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
153,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
154,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
155,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
156,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
157,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
158,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
159,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
160,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
161,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
162,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
163,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
164,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Water
165,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
166,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
167,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
168,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Wetland
169,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
170,NULL,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Grassland
171,NULL,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Wetland
172,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
173,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
174,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
175,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
176,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
177,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
178,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
179,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Cropland
180,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
181,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
182,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
183,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
184,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
185,NULL,NULL,Wetland,NULL,Wetland,Wetland,Built-up,Grassland
186,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
187,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
188,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Water
189,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
190,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
191,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
192,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Cropland
193,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
194,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
195,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
196,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Wetland
197,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
198,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
199,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Cropland
200,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Wetland
201,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Bareland
202,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Built-up
203,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Water
204,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
205,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
206,NULL,NULL,Wetland,NULL,Wetland,Bareland,Built-up,Grassland
207,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
208,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Wetland
209,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Water
210,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Forest
211,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Grassland
212,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Wetland
213,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Forest
214,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
215,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
216,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
217,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
218,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
219,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
220,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Wetland
221,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Grassland
222,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
223,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
224,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
225,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
226,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
227,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
228,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
229,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Wetland
230,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
231,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Wetland
232,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
233,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
234,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
235,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
236,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
237,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
238,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
239,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,NULL,Wetland
240,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
241,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Wetland
242,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Wetland
243,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Water
244,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
245,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
246,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
247,NULL,NULL,Wetland,Water,Wetland,Grassland,Bareland,Grassland
248,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
249,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
250,NULL,NULL,Wetland,Water,Wetland,Wetland,NULL,Wetland
251,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
252,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Wetland
253,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
254,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
255,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
256,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
257,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
258,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
259,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
260,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
261,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Wetland
262,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Bareland
263,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Water
264,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Forest
265,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
266,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Wetland
267,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
268,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Forest
269,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
270,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
271,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Bareland
272,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
273,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
274,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Grassland
275,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
276,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
277,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
278,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Wetland
279,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
280,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
281,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Wetland
282,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
283,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
284,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
285,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
286,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
287,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
288,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
289,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Wetland
290,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Water
291,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
292,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
293,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Wetland
294,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Wetland,Forest
295,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
296,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
297,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
298,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
299,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
300,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Wetland,Grassland
301,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Water,Water
302,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
303,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
304,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Wetland
305,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
306,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
307,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Wetland,Forest
308,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
309,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
310,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Water
311,NULL,NULL,Water,NULL,Water,Wetland,Water,Grassland
312,NULL,NULL,Water,NULL,Water,Wetland,Water,Water
313,NULL,NULL,Water,Non_Water,Water,Grassland,Wetland,Grassland
314,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
315,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Wetland
316,NULL,NULL,Water,Non_Water,Water,Bareland,Wetland,Wetland
317,NULL,NULL,Water,Water,Water,Grassland,Wetland,Forest
318,NULL,NULL,Water,Water,Water,Grassland,Water,Water
319,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
320,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
321,NULL,NULL,Water,Water,Water,Wetland,Wetland,Water
322,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
323,NULL,NULL,Water,Water,Water,Wetland,Water,Water
324,NULL,NULL,Water,Water,Water,Bareland,Wetland,Grassland
325,NULL,NULL,Water,Water,Water,Bareland,Wetland,Wetland
326,NULL,NULL,Water,Water,Water,Bareland,Water,Grassland
327,NULL,NULL,Water,Water,Water,Bareland,Water,Water
328,NULL,NULL,Water,Water,Water,Water,Water,Wetland
329,NULL,NULL,Water,Water,Water,Water,Water,Water
330,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
331,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
332,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
333,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
334,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
335,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
336,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
337,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
338,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
