Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MWP_M_R
139,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
140,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Water
141,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
142,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Forest
143,NULL,NULL,Wetland,NULL,Wetland,Water,Bareland,Forest
144,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
145,NULL,NULL,Wetland,NULL,Wetland,Forest,Bareland,Forest
146,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Bareland,Forest
147,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Grassland
148,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Bareland
149,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Water
150,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Forest
151,NULL,NULL,Wetland,Water,Wetland,Bareland,Grassland,Forest
152,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Grassland
153,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Bareland
154,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Water
155,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Forest
156,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Bareland,Grassland
157,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Bareland,Grassland
158,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Bareland,Bareland
159,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland,Bareland,Bareland
160,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
161,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
162,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Forest
163,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,NULL
164,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
165,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
166,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Water
167,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
168,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
169,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
170,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
171,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Grassland
172,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Bareland
173,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Water
174,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Forest
175,NULL,NULL,Bareland,Water,Non_Wetland,Water,Bareland,Water
176,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
177,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
178,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
179,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
180,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
181,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Bareland
182,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Forest
183,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
184,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Wetland
185,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
186,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
187,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Water
188,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
189,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
190,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Bareland
191,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
192,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
193,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
194,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Forest
195,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Grassland
196,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Bareland
197,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Water
198,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Forest
199,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Grassland
200,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Bareland
201,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Water
202,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Forest
203,NULL,NULL,Water,Non_Water,Water,Bareland,Bareland,Grassland
204,NULL,NULL,Water,Non_Water,Water,Bareland,Bareland,Forest
205,NULL,NULL,Water,Water,Water,Bareland,Bareland,Grassland
206,NULL,NULL,Water,Water,Water,Bareland,Bareland,Bareland
207,NULL,NULL,Water,Water,Water,Bareland,Bareland,Water
208,NULL,NULL,Water,Water,Water,Bareland,Bareland,Forest
209,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
210,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
211,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
212,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
213,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
214,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
215,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
216,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
217,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
218,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
219,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
220,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
221,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
222,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
223,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
224,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
225,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
226,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
227,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
228,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
229,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
230,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
231,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
232,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
233,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
234,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
235,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
236,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Forest
237,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
238,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
239,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
240,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Grassland
241,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
242,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
243,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Bareland,Forest
244,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
245,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
246,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Forest
247,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,Bareland,Forest
248,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Bareland,Forest
249,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Wetland,Bareland
250,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
251,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Bareland
252,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Water
253,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Forest
254,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
255,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
256,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
257,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
258,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
259,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
260,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
261,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
262,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
263,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
264,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
265,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
266,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
267,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
268,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
269,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
270,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
271,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
272,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
273,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
274,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
275,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
276,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
277,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
278,NULL,Wetland,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
279,NULL,Wetland,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
280,NULL,Wetland,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
281,NULL,Wetland,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
282,NULL,Wetland,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
283,NULL,Wetland,NULL,Water,Non_Wetland,Bareland,Bareland,Water
284,NULL,Wetland,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
285,NULL,Wetland,NULL,Water,Non_Wetland,Water,Bareland,Forest
286,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
287,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
288,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
289,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
290,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
291,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
292,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
293,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
294,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
295,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
296,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
297,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
298,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
299,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
300,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
301,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
302,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland,Bareland,Water
303,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
304,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
305,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
306,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
307,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
308,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Water
309,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
310,NULL,Wetland,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
311,NULL,Wetland,Cropland,Water,Non_Wetland,Bareland,Bareland,Bareland
312,NULL,Wetland,Cropland,Water,Non_Wetland,Bareland,Bareland,Water
313,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
314,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
315,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Bareland,Water
316,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Bareland,Forest
317,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland,Bareland,Grassland
318,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland,Bareland,Forest
319,NULL,Wetland,Wetland,Water,Wetland,Bareland,Bareland,Grassland
320,NULL,Wetland,Wetland,Water,Wetland,Bareland,Bareland,Bareland
321,NULL,Wetland,Wetland,Water,Wetland,Bareland,Bareland,Water
322,NULL,Wetland,Wetland,Water,Wetland,Bareland,Bareland,Forest
323,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Bareland,Forest
324,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
325,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
326,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
