Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MDS_M_R
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Wetland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Wetland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,NULL
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
181,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
182,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
183,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
184,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Water
185,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
186,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
187,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
188,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
189,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
190,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
191,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Cropland
192,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Wetland
193,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
194,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
195,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
196,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
197,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
198,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
199,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
200,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Forest
201,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
202,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
203,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
204,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
205,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
206,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,NULL
207,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Forest
208,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
209,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
210,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
211,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
212,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
213,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
214,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
215,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
216,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
217,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
218,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
219,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
220,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
221,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
222,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
223,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
224,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
225,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
226,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
227,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
228,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
229,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
230,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
231,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
232,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
233,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
234,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
235,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
236,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
237,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
238,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
239,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
240,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
241,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
242,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Forest
243,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
244,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
245,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
246,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
247,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
248,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
249,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
250,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Cropland
251,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
252,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Water
253,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
254,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
255,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
256,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
257,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
258,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,NULL
259,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
260,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
261,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Grassland
262,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
263,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
264,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
265,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
266,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
267,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
268,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
269,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Bareland,Water
270,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Bareland,Forest
271,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
272,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Cropland
273,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Bareland
274,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Water
275,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Forest
276,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
277,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
278,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
279,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
280,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
281,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
282,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,NULL
283,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
284,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
285,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
286,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
287,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
288,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
289,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
290,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
291,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
292,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
293,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
294,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
295,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Water
296,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
297,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
298,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
299,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
300,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Bareland
301,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
302,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
303,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
304,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
305,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
306,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
307,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
308,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Cropland
309,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Bareland
310,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Water
311,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Forest
312,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
313,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
314,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
315,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Forest
316,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
317,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
318,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
319,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
320,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
321,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
322,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,NULL
323,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
