Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MVS_M_R
77,NULL,NULL,Water,Non_Water,Water,Water
78,NULL,NULL,Water,Non_Water,Water,Forest
79,NULL,NULL,Water,Water,Water,Grassland
80,NULL,NULL,Water,Water,Water,Wetland
81,NULL,NULL,Water,Water,Water,Bareland
82,NULL,NULL,Water,Water,Water,Water
83,NULL,NULL,Water,Water,Water,Forest
84,NULL,NULL,Forest,NULL,Non_Wetland,NULL
85,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
86,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
87,NULL,NULL,Forest,NULL,Non_Wetland,Water
88,NULL,NULL,Forest,NULL,Non_Wetland,Forest
89,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
90,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
91,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
92,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
93,NULL,NULL,Forest,Water,Non_Wetland,Grassland
94,NULL,NULL,Forest,Water,Non_Wetland,Wetland
95,NULL,NULL,Forest,Water,Non_Wetland,Water
96,NULL,NULL,Forest,Water,Non_Wetland,Forest
97,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
98,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
99,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
100,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
101,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
102,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
103,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
104,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
105,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
106,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
107,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
108,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
109,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
110,NULL,Cropland,Wetland,NULL,Wetland,Grassland
111,NULL,Cropland,Wetland,NULL,Wetland,Forest
112,NULL,Cropland,Wetland,Water,Wetland,Water
113,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
114,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
115,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
116,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
117,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
118,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
119,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
120,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
121,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
122,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
123,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
124,NULL,Wetland,Wetland,NULL,Wetland,NULL
125,NULL,Wetland,Wetland,NULL,Wetland,Grassland
126,NULL,Wetland,Wetland,NULL,Wetland,Forest
127,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
128,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
129,NULL,Wetland,Wetland,Water,Wetland,Grassland
130,NULL,Wetland,Wetland,Water,Wetland,Water
131,NULL,Wetland,Wetland,Water,Wetland,Forest
132,NULL,Wetland,Bareland,Water,Non_Wetland,Water
133,NULL,Wetland,Water,Water,Water,Grassland
134,NULL,Wetland,Water,Water,Water,Water
135,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
136,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
137,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
138,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
139,NULL,Bareland,NULL,NULL,Non_Wetland,Forest
140,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
141,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
142,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
143,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Water
144,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
145,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
146,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
147,NULL,Bareland,Wetland,NULL,Wetland,Forest
148,NULL,Bareland,Wetland,Non_Water,Wetland,Grassland
149,NULL,Bareland,Wetland,Non_Water,Wetland,Water
150,NULL,Bareland,Wetland,Water,Wetland,Bareland
151,NULL,Bareland,Wetland,Water,Wetland,Water
152,NULL,Bareland,Wetland,Water,Wetland,Forest
153,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
154,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
155,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
156,NULL,Bareland,Bareland,Water,Non_Wetland,Water
157,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Water
158,NULL,Bareland,Built-up,Water,Non_Wetland,Water
159,NULL,Bareland,Water,Non_Water,Water,Water
160,NULL,Bareland,Water,Water,Water,Grassland
161,NULL,Bareland,Water,Water,Water,Water
162,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
163,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
164,NULL,Bareland,Forest,NULL,Non_Wetland,Water
165,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
166,NULL,Bareland,Forest,Water,Non_Wetland,Water
167,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
168,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
169,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
170,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
171,NULL,Built-up,NULL,Non_Water,Non_Wetland,Forest
172,NULL,Built-up,NULL,Water,Non_Wetland,Forest
173,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
174,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
175,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
176,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
177,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
178,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
179,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
180,NULL,Built-up,Shrubland,Water,Non_Wetland,Water
181,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
182,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
183,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
184,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
185,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
186,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
187,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
188,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
189,NULL,Built-up,Grassland,Water,Non_Wetland,Forest
190,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
191,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
192,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
193,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
194,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
195,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
196,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
197,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
198,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Water
199,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
200,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
201,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
202,NULL,Built-up,Cropland,Water,Non_Wetland,Water
203,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
204,NULL,Built-up,Wetland,NULL,Wetland,Grassland
205,NULL,Built-up,Wetland,NULL,Wetland,Bareland
206,NULL,Built-up,Wetland,NULL,Wetland,Built-up
207,NULL,Built-up,Wetland,NULL,Wetland,Forest
208,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland
209,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
210,NULL,Built-up,Wetland,Water,Wetland,Grassland
211,NULL,Built-up,Wetland,Water,Wetland,Bareland
212,NULL,Built-up,Wetland,Water,Wetland,Water
213,NULL,Built-up,Wetland,Water,Wetland,Forest
214,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
215,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
216,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
217,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
218,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
219,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
220,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
221,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
222,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
223,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
224,NULL,Built-up,Bareland,Water,Non_Wetland,Forest
225,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
226,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
227,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
228,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
229,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
230,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
231,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water
232,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
233,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
234,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
235,NULL,Built-up,Built-up,Water,Non_Wetland,Forest
236,NULL,Built-up,Water,NULL,Water,Grassland
237,NULL,Built-up,Water,NULL,Water,Built-up
238,NULL,Built-up,Water,NULL,Water,Forest
239,NULL,Built-up,Water,Non_Water,Water,Grassland
240,NULL,Built-up,Water,Water,Water,Grassland
241,NULL,Built-up,Water,Water,Water,Bareland
242,NULL,Built-up,Water,Water,Water,Water
243,NULL,Built-up,Water,Water,Water,Forest
244,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
245,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
246,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
247,NULL,Built-up,Forest,NULL,Non_Wetland,Water
248,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
249,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
250,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland
251,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
252,NULL,Built-up,Forest,Water,Non_Wetland,Grassland
253,NULL,Built-up,Forest,Water,Non_Wetland,Forest
254,NULL,Water,NULL,NULL,Non_Wetland,Forest
255,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland
256,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
257,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
258,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
259,NULL,Water,Shrubland,Water,Non_Wetland,Forest
260,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
261,NULL,Water,Grassland,NULL,Non_Wetland,Built-up
262,NULL,Water,Grassland,NULL,Non_Wetland,Forest
263,NULL,Water,Grassland,Non_Water,Non_Wetland,Bareland
264,NULL,Water,Grassland,Water,Non_Wetland,Grassland
265,NULL,Water,Cropland,NULL,Non_Wetland,Water
266,NULL,Water,Cropland,NULL,Non_Wetland,Forest
267,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland
268,NULL,Water,Cropland,Water,Non_Wetland,Grassland
269,NULL,Water,Cropland,Water,Non_Wetland,Water
270,NULL,Water,Wetland,NULL,Wetland,Grassland
271,NULL,Water,Wetland,NULL,Wetland,Forest
272,NULL,Water,Wetland,Non_Water,Wetland,Grassland
273,NULL,Water,Wetland,Non_Water,Wetland,Wetland
274,NULL,Water,Wetland,Non_Water,Wetland,Bareland
275,NULL,Water,Wetland,Non_Water,Wetland,Water
276,NULL,Water,Wetland,Non_Water,Wetland,Forest
277,NULL,Water,Wetland,Water,Wetland,Grassland
278,NULL,Water,Wetland,Water,Wetland,Wetland
279,NULL,Water,Wetland,Water,Wetland,Water
280,NULL,Water,Wetland,Water,Wetland,Forest
281,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
282,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
283,NULL,Water,Bareland,Water,Non_Wetland,Grassland
284,NULL,Water,Bareland,Water,Non_Wetland,Water
285,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
286,NULL,Water,Built-up,Water,Non_Wetland,Water
287,NULL,Water,Water,NULL,Water,Grassland
288,NULL,Water,Water,Non_Water,Water,Grassland
289,NULL,Water,Water,Non_Water,Water,Bareland
290,NULL,Water,Water,Non_Water,Water,Forest
291,NULL,Water,Water,Water,Water,Grassland
292,NULL,Water,Water,Water,Water,Water
293,NULL,Water,Water,Water,Water,Forest
294,NULL,Water,Forest,NULL,Non_Wetland,Grassland
295,NULL,Water,Forest,NULL,Non_Wetland,Bareland
296,NULL,Water,Forest,NULL,Non_Wetland,Water
297,NULL,Water,Forest,NULL,Non_Wetland,Forest
298,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
299,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
300,NULL,Water,Forest,Water,Non_Wetland,Grassland
301,NULL,Water,Forest,Water,Non_Wetland,Water
302,NULL,Water,Forest,Water,Non_Wetland,Forest
303,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
304,NULL,Forest,NULL,NULL,Non_Wetland,Forest
305,NULL,Forest,NULL,Water,Non_Wetland,Water
306,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
307,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
308,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
309,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
310,NULL,Forest,Shrubland,Water,Non_Wetland,Water
311,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
312,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
313,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
314,NULL,Forest,Grassland,Non_Water,Non_Wetland,Forest
315,NULL,Forest,Grassland,Water,Non_Wetland,Bareland
316,NULL,Forest,Grassland,Water,Non_Wetland,Water
317,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
318,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
319,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
320,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
321,NULL,Forest,Cropland,Water,Non_Wetland,Grassland
322,NULL,Forest,Cropland,Water,Non_Wetland,Forest
323,NULL,Forest,Wetland,NULL,Wetland,NULL
324,NULL,Forest,Wetland,NULL,Wetland,Grassland
325,NULL,Forest,Wetland,NULL,Wetland,Forest
326,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
327,NULL,Forest,Wetland,Non_Water,Wetland,Forest
328,NULL,Forest,Wetland,Water,Wetland,Grassland
329,NULL,Forest,Wetland,Water,Wetland,Wetland
330,NULL,Forest,Wetland,Water,Wetland,Bareland
331,NULL,Forest,Wetland,Water,Wetland,Water
332,NULL,Forest,Bareland,Water,Non_Wetland,Water
333,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
334,NULL,Forest,Built-up,Water,Non_Wetland,Water
335,NULL,Forest,Water,Non_Water,Water,Grassland
336,NULL,Forest,Water,Water,Water,Grassland
337,NULL,Forest,Water,Water,Water,Water
338,NULL,Forest,Water,Water,Water,Forest
339,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
340,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
341,NULL,Forest,Forest,NULL,Non_Wetland,Forest
342,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
343,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
344,NULL,Forest,Forest,Water,Non_Wetland,Grassland
345,NULL,Forest,Forest,Water,Non_Wetland,Water
346,NULL,Forest,Forest,Water,Non_Wetland,Forest
347,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
348,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
349,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
350,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
351,Grassland,NULL,NULL,Water,Non_Wetland,Cropland
352,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
353,Grassland,NULL,NULL,Water,Non_Wetland,Water
354,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
355,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
356,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
357,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
358,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
359,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
360,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
361,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
362,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
363,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
364,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
365,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
366,Grassland,NULL,Grassland,Water,Non_Wetland,Cropland
367,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland
368,Grassland,NULL,Grassland,Water,Non_Wetland,Water
369,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
370,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
371,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
372,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
373,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest
374,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
375,Grassland,NULL,Cropland,Water,Non_Wetland,Water
376,Grassland,NULL,Wetland,NULL,Wetland,NULL
377,Grassland,NULL,Wetland,NULL,Wetland,Grassland
378,Grassland,NULL,Wetland,NULL,Wetland,Wetland
379,Grassland,NULL,Wetland,NULL,Wetland,Water
380,Grassland,NULL,Wetland,NULL,Wetland,Forest
381,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
382,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
383,Grassland,NULL,Wetland,Non_Water,Wetland,Water
384,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
385,Grassland,NULL,Wetland,Water,Wetland,Grassland
386,Grassland,NULL,Wetland,Water,Wetland,Cropland
387,Grassland,NULL,Wetland,Water,Wetland,Wetland
388,Grassland,NULL,Wetland,Water,Wetland,Water
389,Grassland,NULL,Wetland,Water,Wetland,Forest
390,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
391,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
392,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
393,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Forest
394,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
395,Grassland,NULL,Bareland,Water,Non_Wetland,Water
396,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
397,Grassland,NULL,Built-up,Water,Non_Wetland,Grassland
398,Grassland,NULL,Water,NULL,Water,Grassland
399,Grassland,NULL,Water,NULL,Water,Water
400,Grassland,NULL,Water,NULL,Water,Forest
401,Grassland,NULL,Water,Non_Water,Water,Grassland
402,Grassland,NULL,Water,Non_Water,Water,Wetland
403,Grassland,NULL,Water,Non_Water,Water,Water
404,Grassland,NULL,Water,Non_Water,Water,Forest
405,Grassland,NULL,Water,Water,Water,Grassland
406,Grassland,NULL,Water,Water,Water,Cropland
407,Grassland,NULL,Water,Water,Water,Wetland
408,Grassland,NULL,Water,Water,Water,Water
409,Grassland,NULL,Water,Water,Water,Forest
410,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
411,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
412,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
413,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
414,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
415,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
416,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water
417,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
418,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
419,Grassland,NULL,Forest,Water,Non_Wetland,Cropland
420,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
421,Grassland,NULL,Forest,Water,Non_Wetland,Water
422,Grassland,NULL,Forest,Water,Non_Wetland,Forest
423,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
424,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
425,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
426,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
427,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest
428,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
429,Grassland,Cropland,Wetland,Non_Water,Wetland,Grassland
430,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
431,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
432,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
433,Grassland,Wetland,NULL,NULL,Non_Wetland,Forest
434,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
435,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland
436,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland
437,Grassland,Wetland,Cropland,Water,Non_Wetland,Grassland
438,Grassland,Wetland,Wetland,NULL,Wetland,NULL
439,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
