Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KUT_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
38,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
40,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
41,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
42,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
43,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
44,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
45,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
46,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
47,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
48,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
49,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
50,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
51,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
52,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
53,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
54,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
55,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
56,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,NULL
57,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
58,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
59,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
60,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
61,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
62,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
63,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
64,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
65,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Wetland
66,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
67,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
68,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
69,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Wetland
70,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Wetland
71,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
72,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Wetland
73,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
75,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
80,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
81,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Wetland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
117,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
118,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
119,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
120,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
121,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
122,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
123,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
124,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
125,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
126,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
127,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Forest
128,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
129,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
130,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
131,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
132,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
133,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
134,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
135,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,NULL
136,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
137,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
138,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Bareland
139,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
140,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Wetland
141,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
142,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
143,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Bareland
144,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,NULL
145,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
146,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
147,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Bareland
148,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
149,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
150,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
151,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
152,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
153,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
154,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Wetland
155,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,NULL
156,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
157,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Wetland
158,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
159,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
160,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
161,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
162,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Wetland
163,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,NULL
164,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
165,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
166,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
167,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
168,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
169,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,NULL
170,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
171,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
172,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
173,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Wetland
174,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
175,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
176,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
177,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
178,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
179,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Wetland
180,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
181,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
182,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
183,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
184,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
185,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
186,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
187,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Wetland
188,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
189,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
190,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
191,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
192,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
193,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
194,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
195,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
196,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
197,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Wetland
198,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
199,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
200,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
201,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
202,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
203,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
204,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Wetland
205,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
206,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
207,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
208,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
209,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
210,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
211,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
212,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
213,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
214,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Forest
215,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
216,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
217,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
218,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
219,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
220,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
221,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
222,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
223,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
224,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Forest
225,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
226,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
227,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
228,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,NULL,Wetland
229,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Grassland,Wetland
230,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Wetland
231,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest,NULL,Wetland
232,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest,NULL,Forest
233,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Wetland
234,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
235,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
236,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
237,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
238,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
239,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
240,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
241,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
242,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Wetland
243,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
244,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
245,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
246,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
247,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
248,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
249,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
250,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
251,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
252,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
253,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
254,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
255,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
256,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
257,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
258,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
259,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
260,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
261,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
262,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Wetland
263,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,NULL
264,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
265,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Wetland
266,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
267,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
268,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Wetland
269,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
270,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
271,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Wetland
272,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
273,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
274,NULL,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Bareland
275,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
276,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Wetland
277,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
278,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
279,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
280,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
281,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
282,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
283,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Forest
284,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
285,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
286,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
287,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,NULL
288,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
289,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
290,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Bareland
291,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Built-up
292,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Forest
293,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
294,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
295,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
296,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
297,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
298,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
299,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
300,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Wetland
301,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
302,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
303,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
304,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
305,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
306,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
307,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
308,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
309,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Water,Wetland
310,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
311,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Bareland
312,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Built-up
313,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Grassland
314,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Wetland
315,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,Grassland
316,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,Wetland
317,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,Water
