Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NDB_M_R
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Built-up
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
34,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
35,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
42,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
43,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
44,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
45,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
46,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
47,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
48,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
49,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
50,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
51,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
52,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
53,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
54,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
55,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Built-up
56,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
57,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
58,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
59,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
60,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
61,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
62,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
63,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
64,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
65,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
66,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
67,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
68,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
69,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
70,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
71,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
72,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
73,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
74,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
75,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
76,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
77,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Forest
78,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
79,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,NULL,Forest
80,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
81,NULL,NULL,Grassland,Water,Non_Wetland,Water,NULL,Grassland
82,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
83,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
84,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
85,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
86,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
87,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
88,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
89,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Forest
90,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
91,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
92,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
93,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
94,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
95,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
96,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
97,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
98,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
99,NULL,NULL,Wetland,NULL,Wetland,Water,NULL,Grassland
100,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
101,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
102,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
103,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
104,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
105,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Grassland
106,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
107,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
108,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
109,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
110,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
111,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
112,NULL,NULL,Wetland,Water,Wetland,Water,NULL,Water
113,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
114,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
115,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
116,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
117,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
118,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,NULL,Grassland
119,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,NULL,Bareland
120,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
121,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
122,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,Grassland
123,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
124,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
125,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
126,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
127,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
128,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
129,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
130,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Bareland
131,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
132,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
133,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
134,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
135,NULL,NULL,Water,NULL,Water,Water,Wetland,Grassland
136,NULL,NULL,Water,NULL,Water,Water,Wetland,Wetland
137,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
138,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Wetland
139,NULL,NULL,Water,Water,Water,Grassland,NULL,Forest
140,NULL,NULL,Water,Water,Water,Grassland,Water,Forest
141,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
142,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
143,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
144,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
145,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
146,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
147,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
148,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
149,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
150,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
151,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
152,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
153,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
154,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
155,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
156,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
157,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
158,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
159,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
160,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
161,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
162,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
163,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
164,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
165,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
166,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
167,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
168,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
169,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
170,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
171,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
172,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
173,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
174,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
175,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
176,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
177,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
178,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
179,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
180,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
181,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
182,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,NULL,Grassland
183,NULL,NULL,Forest,Water,Non_Wetland,Grassland,NULL,Grassland
184,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
185,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Grassland
186,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
187,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
188,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
189,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
190,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Bareland
191,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland,Forest,Water
192,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
193,NULL,Bareland,Wetland,Water,Wetland,Water,NULL,Water
194,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
195,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Bareland
196,NULL,Bareland,Water,NULL,Water,Water,Water,Water
197,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
198,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
199,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
200,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
201,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
202,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
203,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
204,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
205,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
206,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
207,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
208,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
209,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
210,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
211,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
212,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
213,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
214,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
215,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
216,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
217,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
218,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
219,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
220,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
221,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
222,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
223,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
224,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
225,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
226,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
227,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
228,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
229,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
230,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
231,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
232,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
233,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
234,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
235,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
236,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
237,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
238,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
239,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
240,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
241,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
242,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
243,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
244,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
245,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
246,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
247,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
248,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
249,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
250,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
251,NULL,Built-up,Shrubland,Water,Non_Wetland,Wetland,Water,Forest
252,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
253,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
254,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
255,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
256,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
257,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
258,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Bareland
259,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
260,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
261,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
262,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
263,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
264,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
265,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
266,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Bareland
267,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Built-up
268,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
269,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
270,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
271,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
272,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Bareland
273,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Built-up
274,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
275,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
276,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
277,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
278,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Built-up
279,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
280,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
281,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
282,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
283,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
284,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
285,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
286,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
287,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
288,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Wetland,Bareland
289,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Water,Built-up
290,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
291,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
292,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Grassland,Built-up
293,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
294,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Water,Grassland
295,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
296,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
297,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
298,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
299,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland,NULL,Forest
300,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
301,NULL,Built-up,Grassland,Water,Non_Wetland,Wetland,Water,Water
302,NULL,Built-up,Grassland,Water,Non_Wetland,Wetland,Water,Forest
303,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
304,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
305,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
306,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
307,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
308,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
309,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
310,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
311,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
312,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
313,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Wetland,Grassland
314,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,NULL,Grassland
315,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,NULL,Bareland
316,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
317,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Grassland,Bareland
318,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Grassland,Built-up
319,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
320,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
321,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Wetland,Bareland
322,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
323,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Water,Grassland
324,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Water,Bareland
325,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Water,Built-up
326,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Water,Forest
327,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
328,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Forest,Bareland
329,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
