Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LYN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LYN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LYN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LYN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LYN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LYN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LYN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LYN_M_R
52,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
53,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
54,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
55,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
56,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
57,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
58,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
59,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
60,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
61,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
62,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
63,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
64,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
65,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
66,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
67,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
68,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
69,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
70,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
71,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
72,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
73,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
74,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
75,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
76,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Forest
77,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
78,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
79,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
80,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
81,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
82,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
83,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
84,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
85,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
86,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
87,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
88,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
89,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
90,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
91,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
92,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
93,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Water
94,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
95,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
96,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
97,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
98,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
99,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
100,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
101,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
102,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
103,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
104,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
105,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
106,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
107,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
108,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
109,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
110,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Water
111,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
112,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
113,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
114,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
115,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
116,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
117,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
118,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
119,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
120,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
121,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
122,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
123,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
124,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
125,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
126,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
127,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Bareland
128,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Forest
129,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
130,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
131,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
132,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
133,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
134,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
135,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
136,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
137,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
138,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
139,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
140,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
141,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
142,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
143,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
144,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
145,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
146,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
147,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
148,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
149,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
150,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
151,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Bareland
152,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
153,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
154,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
155,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
156,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
157,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
158,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
159,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
160,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Water
161,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
162,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
163,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
164,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
165,NULL,Built-up,Water,NULL,Water,NULL,NULL,Water
166,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
167,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Built-up
168,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Forest
169,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
170,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
171,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
172,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
173,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
174,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
175,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
176,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
177,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
178,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
179,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
180,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
181,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
182,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
183,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
184,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
185,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
186,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
187,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
188,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
189,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
190,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
191,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
192,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
193,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
194,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
195,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
196,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
197,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
198,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
199,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
200,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
201,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
202,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
203,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
204,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
205,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
206,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
207,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
208,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
209,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
210,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
211,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
212,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
213,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
214,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
215,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
216,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
217,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
218,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
219,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
220,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
221,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
222,NULL,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
223,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
224,NULL,Water,Water,Non_Water,Water,NULL,NULL,Bareland
225,NULL,Water,Water,Non_Water,Water,NULL,NULL,Forest
226,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
227,NULL,Water,Water,Water,Water,NULL,NULL,Water
228,NULL,Water,Water,Water,Water,NULL,NULL,Forest
229,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
230,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
231,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
232,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
233,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
234,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
235,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
236,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
237,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
238,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
239,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
240,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
241,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
242,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
243,NULL,Forest,NULL,Water,Non_Wetland,NULL,NULL,Forest
244,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
245,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
246,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
247,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
248,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
249,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
250,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
251,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
252,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
253,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
254,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
255,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
256,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
257,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
258,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
259,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
260,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
261,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Bareland
262,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
263,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
264,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
265,NULL,Forest,Water,Water,Water,NULL,NULL,Forest
266,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
267,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
268,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
269,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
270,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
271,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
272,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
273,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
274,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
275,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
276,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
277,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
278,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
279,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
280,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
281,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
282,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
283,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
284,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
285,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
286,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
287,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
288,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
289,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
290,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
291,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
292,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
293,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
294,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
295,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
296,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
297,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
298,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
299,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
300,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
301,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
302,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
303,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
304,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
305,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
306,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
307,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
308,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
309,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
310,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
311,Grassland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
312,Grassland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
313,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
314,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
315,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
316,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
317,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
318,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
319,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
320,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
321,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
322,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
323,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
324,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Water
325,Grassland,Water,Water,Water,Water,NULL,NULL,Forest
326,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
327,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
328,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
329,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
330,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
331,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
332,Grassland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
333,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
334,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
335,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
336,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
337,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
338,Grassland,Forest,Water,NULL,Water,NULL,NULL,Forest
339,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Forest
340,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
341,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
342,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
