Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MUS_M_R
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
76,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
79,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
80,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
81,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
82,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
83,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
84,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
85,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
86,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
87,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
88,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
89,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
90,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
91,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
92,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
93,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
94,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
95,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
96,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Forest
97,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
98,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
99,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
100,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Bareland,Grassland
101,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
102,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Forest
103,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Grassland
104,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
105,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
106,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
107,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
108,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
109,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
110,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Wetland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Bareland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Forest
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Bareland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Built-up
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
188,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
189,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
190,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
191,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
192,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
193,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
194,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
195,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
196,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Forest
197,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Forest
198,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
199,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
200,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
201,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
202,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Water
203,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
204,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Forest
205,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
206,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
207,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
208,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
209,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
210,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
211,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
212,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
213,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
214,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Forest
215,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
216,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Forest,Wetland
217,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
218,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
219,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
220,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
221,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
222,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
223,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Forest
224,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
225,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
226,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Grassland
227,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
228,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
229,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
230,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
231,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
232,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
233,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
234,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Grassland
235,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Forest
236,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
237,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
238,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Forest
239,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Grassland
240,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
241,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Forest
242,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
243,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Wetland
244,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Forest
245,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
246,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
247,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
248,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
249,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
250,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Bareland,Grassland
251,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
252,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
253,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
254,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
255,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
256,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
257,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
258,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
259,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
260,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
261,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
262,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
263,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
264,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
265,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
266,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
267,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
268,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
269,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
270,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
271,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
272,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
273,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
274,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
275,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Built-up
276,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
277,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
278,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
279,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
280,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
281,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
282,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
283,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
284,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
285,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
286,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
287,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
288,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
289,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
290,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
291,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
292,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
293,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
294,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
295,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
296,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
297,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
298,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
299,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Forest
300,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
301,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Bareland
302,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
303,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
304,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
305,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
306,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
307,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Forest
308,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
309,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
310,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
311,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Bareland
312,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
313,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
314,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Wetland
315,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
316,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
317,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
318,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
319,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
320,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
321,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
322,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
323,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
