Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NQL_M_R
29,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
31,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
32,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
33,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
34,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
37,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,NULL
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,NULL
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Water,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,NULL
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Cropland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Bareland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Bareland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Water,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Water,Bareland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Wetland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Bareland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,NULL
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,NULL
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Water
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
192,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
193,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
194,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
195,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
196,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
197,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
198,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
199,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
200,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
201,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
202,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
203,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
204,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,NULL
205,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
206,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
207,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
208,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,NULL
209,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
210,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Bareland
211,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Forest
212,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,NULL
213,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
214,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Water,Grassland
215,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
216,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
217,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
218,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
219,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
220,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
221,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Water
222,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
223,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
224,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
225,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
226,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Wetland
227,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,NULL
228,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
229,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Bareland
230,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Forest
231,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
232,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
233,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Bareland
234,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
235,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
236,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
237,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
238,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
239,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
240,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
241,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
242,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Wetland
243,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,NULL
244,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
245,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Bareland
246,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
247,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
248,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
249,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,NULL
250,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
251,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Bareland
252,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
253,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,NULL,Wetland
254,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Grassland,Grassland
255,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Grassland,Forest
256,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Water,Grassland
257,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
258,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Wetland
259,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
260,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
261,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Bareland
262,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
263,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
264,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
265,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
266,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Water
267,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
268,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Forest
269,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
270,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
271,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,NULL
272,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
273,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Water
274,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Grassland
275,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Wetland
276,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Bareland
277,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,NULL
278,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
279,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Bareland
280,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Water
281,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Forest
282,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
283,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Bareland
284,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,NULL
285,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
286,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Bareland
287,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
288,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Forest
289,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
290,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
291,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
292,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
293,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
294,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
295,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
296,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
297,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
298,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
299,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Bareland
300,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
301,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
302,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
303,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
304,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
305,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
306,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
307,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
308,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
309,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
310,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
311,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
312,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Bareland
313,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
314,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
315,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Bareland
316,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
317,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
318,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
319,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,NULL
320,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
321,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
322,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
