Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KMB_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Water
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Water
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Bareland
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
185,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
193,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
194,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
211,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
212,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
213,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
214,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
215,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
216,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Water
225,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
226,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
227,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
229,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Bareland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Shrubland,NULL
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Shrubland,Cropland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Cropland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,NULL
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,NULL
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Forest
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Water
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Cropland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Forest
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,NULL
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,NULL
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Wetland
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,NULL
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,NULL
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
314,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
315,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Forest
316,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
317,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
318,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Water
319,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
320,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
321,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,NULL
322,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
323,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Bareland
324,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Forest
325,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Water
326,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Water
327,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
