Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NED_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NED_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NED_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NED_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NED_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NED_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NED_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NED_M_R
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
34,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
35,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
36,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
37,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
38,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
39,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
40,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
41,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
42,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
43,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
44,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
45,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
46,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
47,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
48,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
49,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
50,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
51,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
52,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
53,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
54,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
55,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
56,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
57,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
58,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
59,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
60,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
61,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
62,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
63,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
64,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
65,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
66,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
67,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
68,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
69,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
70,NULL,NULL,Water,Water,Water,NULL,NULL,Water
71,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
72,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
73,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
74,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
75,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
76,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
77,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
78,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
79,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
80,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
81,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
82,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
83,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
84,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
85,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
86,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
87,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
88,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
89,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
90,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
91,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Water
92,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
93,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
94,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
95,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
96,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
97,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
98,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
99,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
100,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
101,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
102,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
103,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
104,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
105,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
106,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
107,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
108,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
109,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
110,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
111,NULL,Wetland,Water,NULL,Water,NULL,NULL,Wetland
112,NULL,Wetland,Water,NULL,Water,NULL,NULL,Water
113,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
114,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
115,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
116,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
117,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
118,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
119,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
120,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
121,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
122,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
123,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
124,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
125,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
126,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
127,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
128,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
129,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
130,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
131,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
132,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
133,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
134,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
135,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
136,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
137,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
138,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
139,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
140,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
141,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
142,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
143,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
144,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
145,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
146,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
147,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
148,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
149,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
150,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
151,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
152,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
153,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
154,NULL,Built-up,Water,NULL,Water,NULL,NULL,Water
155,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
156,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
157,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
158,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
159,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
160,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
161,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
162,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
163,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
164,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
165,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
166,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
167,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
168,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
169,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
170,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
171,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
172,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
173,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
174,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
175,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
176,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
177,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
178,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
179,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
180,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
181,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
182,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
183,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
184,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
185,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
186,NULL,Water,Water,NULL,Water,NULL,NULL,Water
187,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
188,NULL,Water,Water,Non_Water,Water,NULL,NULL,Grassland
189,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
190,NULL,Water,Water,Water,Water,NULL,NULL,Wetland
191,NULL,Water,Water,Water,Water,NULL,NULL,Bareland
192,NULL,Water,Water,Water,Water,NULL,NULL,Water
193,NULL,Water,Water,Water,Water,NULL,NULL,Forest
194,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
195,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
196,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
197,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
198,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
199,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
200,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
201,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
202,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
203,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
204,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
205,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
206,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
207,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
208,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
209,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
210,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
211,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
212,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
213,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
214,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
215,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
216,NULL,Forest,Water,NULL,Water,NULL,NULL,Grassland
217,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
218,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
219,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
220,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
221,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
222,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
223,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
224,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
225,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
226,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
227,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
228,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
229,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
230,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
231,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
232,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
233,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
234,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
235,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
236,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
237,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
238,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
239,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
240,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
241,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
242,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
243,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
244,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
245,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
246,Grassland,NULL,Water,NULL,Water,NULL,NULL,Wetland
247,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
248,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
249,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
250,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
251,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
252,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
253,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
254,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
255,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
256,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
257,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
258,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
259,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
260,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
261,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
262,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
263,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
264,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
265,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
266,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
267,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
268,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
269,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
270,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
271,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
272,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
273,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
274,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
275,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
276,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
277,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
278,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
279,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
280,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
281,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
282,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
283,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
284,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
285,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
286,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
287,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
288,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
289,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
290,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
291,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
292,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
293,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
294,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
295,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
296,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
297,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
298,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
299,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
300,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
301,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
302,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
303,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
304,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
305,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
306,Wetland,NULL,Water,NULL,Water,NULL,NULL,Grassland
307,Wetland,NULL,Water,NULL,Water,NULL,NULL,Forest
308,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
309,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
310,Wetland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
311,Wetland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
312,Wetland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
313,Wetland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
314,Wetland,Bareland,Water,Water,Water,NULL,NULL,Grassland
315,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
316,Wetland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
317,Wetland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
318,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
319,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
320,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
321,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
322,Wetland,Water,Water,NULL,Water,NULL,NULL,Grassland
323,Wetland,Water,Water,Water,Water,NULL,NULL,Grassland
324,Wetland,Water,Water,Water,Water,NULL,NULL,Water
325,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
326,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
327,Wetland,Forest,Water,NULL,Water,NULL,NULL,Wetland
328,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
329,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
330,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
331,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
332,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
333,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
334,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
335,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
336,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
337,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
338,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
339,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
340,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
341,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
342,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
343,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
344,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
345,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
346,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
347,Bareland,NULL,Water,NULL,Water,NULL,NULL,Grassland
