Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MUU_M_R
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
44,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
45,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
46,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
47,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Wetland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Built-up
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
91,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
92,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
93,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
94,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
95,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Forest,Grassland
96,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
97,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
98,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
99,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
100,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
101,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
102,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
103,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Water
104,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Forest,Water
105,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
106,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
107,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
108,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
109,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
110,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
111,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
112,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
113,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
114,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
115,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
116,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
117,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
118,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
119,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
120,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
121,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
122,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
123,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
124,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
125,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
126,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
127,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
128,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
129,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
130,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
131,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
132,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
133,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Bareland,Grassland
134,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
135,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
136,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
137,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
138,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
139,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
140,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
141,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
142,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
143,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
144,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
145,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
146,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
147,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
148,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
149,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
150,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
151,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
152,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
153,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
154,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
155,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
156,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
157,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
158,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
159,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Grassland
160,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Forest
161,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
162,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
163,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
164,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
165,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
166,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
167,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
168,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
169,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
170,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
171,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
172,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
173,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
174,NULL,NULL,Wetland,Non_Water,Wetland,Water,Forest,Forest
175,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
176,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
177,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
178,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
179,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
180,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
181,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Wetland
182,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Grassland
183,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
184,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
185,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
186,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
187,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
188,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
189,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,NULL
190,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
191,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
192,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
193,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Water
194,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
195,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
196,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
197,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Grassland,Grassland
198,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
199,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
200,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
201,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
202,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
203,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
204,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
205,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
206,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
207,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
208,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
209,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Water
210,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
211,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
212,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
213,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
214,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
215,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water,Grassland,Grassland
216,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water,Forest,Grassland
217,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water,Forest,Bareland
218,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
219,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Grassland
220,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Wetland
221,NULL,NULL,Water,NULL,Water,Water,Wetland,Grassland
222,NULL,NULL,Water,Water,Water,Wetland,Wetland,Water
223,NULL,NULL,Water,Water,Water,Wetland,Forest,Grassland
224,NULL,NULL,Water,Water,Water,Bareland,Wetland,Forest
225,NULL,NULL,Water,Water,Water,Bareland,Water,Grassland
226,NULL,NULL,Water,Water,Water,Bareland,Water,Wetland
227,NULL,NULL,Water,Water,Water,Bareland,Water,Water
228,NULL,NULL,Water,Water,Water,Bareland,Forest,Grassland
229,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
230,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
231,NULL,NULL,Water,Water,Water,Water,Forest,Grassland
232,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
233,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
234,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
235,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
236,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
237,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
238,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
239,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
240,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
241,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
242,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
243,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
244,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
245,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
246,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
247,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
248,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
249,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
250,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
251,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
252,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
253,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
254,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
255,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
256,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
257,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
258,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
259,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
260,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
261,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
262,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
263,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
264,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
265,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
266,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
267,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
268,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
269,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
270,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
271,NULL,Bareland,Wetland,Water,Wetland,Grassland,Water,Wetland
272,NULL,Bareland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
273,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
274,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
275,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
276,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
277,NULL,Bareland,Water,Water,Water,Wetland,Water,Water
278,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
279,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
280,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
281,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
282,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
283,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
284,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
285,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
286,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
287,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
288,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
289,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
290,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
291,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
292,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
293,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
294,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
295,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Water
296,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
297,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
298,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
299,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
300,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
301,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
302,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
303,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
304,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
305,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
306,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
307,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
308,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
309,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
310,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
311,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
312,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
313,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Built-up
314,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
315,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
316,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
317,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
318,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
319,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
320,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Grassland,Forest
321,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Bareland,Forest
322,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland,Bareland,Forest
323,NULL,Built-up,Wetland,Water,Wetland,Grassland,Water,Grassland
324,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Built-up,Forest
325,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland,Grassland,Grassland
326,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
327,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
328,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
329,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
330,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
331,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Bareland
