Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NTF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NTF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NTF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NTF_M_R
51,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
52,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
53,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
54,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
55,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
56,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
57,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
58,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
59,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
60,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
61,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
62,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
63,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
64,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
65,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
66,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
67,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
68,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
69,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
70,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
71,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
72,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
73,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
74,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
75,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
76,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
77,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
78,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
79,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
80,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
81,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
82,NULL,NULL,Water,Water,Water,NULL,NULL,Water
83,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
84,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
85,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
86,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
87,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
88,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
89,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
90,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
91,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
92,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
93,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
94,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
95,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
96,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
97,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
98,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
99,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
100,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
101,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
102,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
103,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
104,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
105,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
106,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
107,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
108,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
109,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
110,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
111,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
112,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
113,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
114,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
115,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
116,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
117,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
118,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
119,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
120,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
121,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
122,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
123,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
124,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
125,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
126,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
127,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
128,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
129,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
130,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
131,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
132,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
133,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
134,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
135,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
136,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Water
137,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
138,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
139,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
140,NULL,Cropland,Water,NULL,Water,NULL,NULL,Water
141,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
142,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Wetland
143,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Water
144,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Forest
145,NULL,Cropland,Water,Water,Water,NULL,NULL,Grassland
146,NULL,Cropland,Water,Water,Water,NULL,NULL,Bareland
147,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
148,NULL,Cropland,Water,Water,Water,NULL,NULL,Forest
149,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
150,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
151,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
152,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
153,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
154,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
155,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
156,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
157,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
158,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Water
159,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
160,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
161,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Water
162,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
163,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
164,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
165,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
166,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
167,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
168,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Water
169,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
170,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
171,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
172,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
173,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
174,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
175,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
176,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
177,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
178,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
179,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
180,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
181,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
182,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
183,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
184,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
185,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
186,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
187,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
188,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
189,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
190,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
191,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
192,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
193,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
194,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
195,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
196,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
197,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
198,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
199,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
200,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
201,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
202,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
203,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
204,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
205,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Water
206,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
207,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
208,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
209,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
210,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
211,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
212,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
213,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
214,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
215,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
216,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
217,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
218,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
219,NULL,Wetland,Water,NULL,Water,NULL,NULL,Bareland
220,NULL,Wetland,Water,NULL,Water,NULL,NULL,Water
221,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
222,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
223,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
224,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Bareland
225,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Water
226,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
227,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
228,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
229,NULL,Wetland,Water,Water,Water,NULL,NULL,Bareland
230,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
231,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
232,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
233,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
234,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
235,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
236,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
237,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
238,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
239,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
240,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
241,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
242,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
243,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
244,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
245,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
246,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
247,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
248,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
249,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
250,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
251,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
252,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
253,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
254,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
255,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
256,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
257,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
258,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
259,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
260,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
261,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
262,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
263,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
264,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
265,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
266,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
267,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
268,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
269,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
270,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
271,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
272,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
273,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
274,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
275,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
276,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
277,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
278,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
279,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
280,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
281,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
282,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
283,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
284,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
285,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
286,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
287,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Water
288,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
289,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
290,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
291,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
292,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
293,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
294,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
295,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
296,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
297,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
298,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
299,NULL,Bareland,Water,NULL,Water,NULL,NULL,Grassland
300,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
301,NULL,Bareland,Water,NULL,Water,NULL,NULL,Water
302,NULL,Bareland,Water,NULL,Water,NULL,NULL,Forest
303,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
304,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Water
305,NULL,Bareland,Water,Water,Water,NULL,NULL,Grassland
306,NULL,Bareland,Water,Water,Water,NULL,NULL,Wetland
307,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
308,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
309,NULL,Bareland,Water,Water,Water,NULL,NULL,Forest
310,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
311,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
312,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
313,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
314,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
315,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
316,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
317,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
318,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
319,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
320,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
321,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Forest
322,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
323,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
324,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
325,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
326,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
327,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
328,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
329,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
330,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Grassland
331,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Bareland
332,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Water
333,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Forest
334,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
335,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
336,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
337,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
338,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
339,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
340,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
341,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
342,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
