Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MNA_M_R
33,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
34,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
35,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
36,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
37,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
38,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
39,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
40,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
41,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
42,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
43,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
44,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Forest
45,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
46,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
47,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
48,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
49,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Bareland,Grassland
50,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
51,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
52,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
55,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
94,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
95,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
96,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
97,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
98,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
99,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
100,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
101,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
102,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Bareland,Grassland
103,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Water
104,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
105,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
106,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Wetland,Forest
107,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
108,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
109,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
110,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
111,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
112,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Grassland
113,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Built-up,Forest
114,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
115,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
116,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Forest
117,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
118,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up,Built-up,Forest
119,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
120,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
121,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
122,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
123,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
124,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
125,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
126,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
127,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
128,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
129,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
130,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
131,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
132,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Wetland
133,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
134,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
135,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
136,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
137,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
138,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
139,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
140,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
141,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
142,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
143,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
144,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
145,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
146,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
147,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
148,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
149,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
150,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
151,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Water,Grassland
152,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
153,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
154,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
155,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
156,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
157,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
158,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
159,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
160,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
161,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
162,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
163,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
164,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
165,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
166,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
167,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
168,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
169,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
170,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
171,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
172,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
173,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
174,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
175,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
176,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
177,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
178,NULL,NULL,Wetland,NULL,Wetland,Forest,NULL,Forest
179,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
180,NULL,NULL,Wetland,NULL,Wetland,Forest,Water,Forest
181,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
182,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
183,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
184,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
185,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
186,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
187,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
188,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
189,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
190,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
191,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
192,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Forest,Grassland
193,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
194,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
195,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
196,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
197,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
198,NULL,NULL,Wetland,Non_Water,Wetland,Forest,Wetland,Forest
199,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
200,NULL,NULL,Wetland,Water,Wetland,Grassland,Bareland,Grassland
201,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
202,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
203,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
204,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
205,NULL,NULL,Wetland,Water,Wetland,Wetland,Bareland,Grassland
206,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
207,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
208,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
209,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
210,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
211,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
212,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
213,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
214,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
215,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
216,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
217,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland,Grassland,Grassland
218,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
219,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
220,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
221,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
222,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
223,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,Grassland
224,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
225,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
226,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
227,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Wetland
228,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
229,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
230,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
231,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
232,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Bareland,Grassland
233,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Grassland
234,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
235,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
236,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
237,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
238,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
239,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
240,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
241,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Grassland
242,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
243,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
244,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
245,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
246,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
247,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
248,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
249,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Wetland
250,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
251,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
252,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Wetland
253,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
254,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Grassland
255,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Wetland,Grassland
256,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
257,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
258,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Forest
259,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Bareland,Grassland
260,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
261,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Wetland
262,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Water
263,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Forest
264,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Wetland,Grassland
265,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Water,Grassland
266,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
267,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Wetland
268,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Forest
269,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
270,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
271,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
272,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
273,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
274,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
275,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
276,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Wetland
277,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
278,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
279,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,Forest
280,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Forest,Grassland
281,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
282,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
283,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
284,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Forest
285,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
286,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
287,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,Grassland
288,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
289,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
290,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
291,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Forest
292,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
293,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Water,Grassland
294,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Water,Forest
295,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Wetland,Grassland
296,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
297,NULL,NULL,Built-up,Water,Non_Wetland,Built-up,Built-up,Grassland
298,NULL,NULL,Built-up,Water,Non_Wetland,Water,Water,Grassland
299,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
300,NULL,NULL,Water,NULL,Water,Water,Wetland,Grassland
301,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
302,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Forest
303,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Grassland
304,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Wetland
305,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Grassland
306,NULL,NULL,Water,Non_Water,Water,Water,Water,Grassland
307,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
308,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
309,NULL,NULL,Water,Water,Water,Wetland,Wetland,Water
310,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
311,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
312,NULL,NULL,Water,Water,Water,Wetland,Water,Water
313,NULL,NULL,Water,Water,Water,Bareland,Wetland,Grassland
314,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
315,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
316,NULL,NULL,Water,Water,Water,Water,Water,Grassland
317,NULL,NULL,Water,Water,Water,Water,Water,Wetland
318,NULL,NULL,Water,Water,Water,Water,Water,Water
319,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
320,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
321,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
322,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
323,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
324,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
325,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
326,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
327,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
328,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
329,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
330,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
331,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
332,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
333,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
334,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
