Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NCF_M_R
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Bareland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Bareland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
124,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
125,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
126,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
127,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
128,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
129,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
130,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Bareland
131,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
132,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
133,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
134,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
135,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
136,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
137,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Forest
138,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
139,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Bareland
140,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
141,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
142,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Bareland
143,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Water
144,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
145,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
146,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
147,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
148,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
149,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
150,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Bareland,Water
151,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
152,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
153,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
154,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
155,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
156,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
157,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
158,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
159,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
160,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
161,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
162,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
163,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
164,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
165,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
166,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
167,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
168,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
169,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
170,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
171,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
172,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Water
173,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
174,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
175,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
176,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
177,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
178,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
179,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
180,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
181,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
182,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
183,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
184,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
185,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
186,NULL,NULL,Wetland,NULL,Wetland,Cropland,Grassland,Forest
187,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
188,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
189,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
190,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
191,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
192,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
193,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
194,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Forest
195,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
196,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
197,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
198,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
199,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
200,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
201,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
202,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Water
203,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
204,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Grassland
205,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
206,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
207,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
208,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
209,NULL,NULL,Wetland,NULL,Wetland,Water,Bareland,Grassland
210,NULL,NULL,Wetland,NULL,Wetland,Water,Bareland,Forest
211,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
212,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Bareland
213,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
214,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
215,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
216,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Bareland,Grassland
217,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Bareland
218,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
219,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
220,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
221,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
222,NULL,NULL,Wetland,Water,Wetland,Wetland,Bareland,Water
223,NULL,NULL,Wetland,Water,Wetland,Wetland,Bareland,Forest
224,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Bareland
225,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Water
226,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
227,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
228,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
229,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Water
230,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
231,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
232,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
233,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
234,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,Bareland
235,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,Built-up
236,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,Forest
237,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
238,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
239,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
240,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Bareland
241,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
242,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
243,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Water
244,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
245,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
246,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
247,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
248,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
249,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Grassland,Forest
250,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
251,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Forest
252,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Grassland
253,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Bareland
254,NULL,NULL,Water,NULL,Water,Wetland,Bareland,Grassland
255,NULL,NULL,Water,NULL,Water,Wetland,Bareland,Water
256,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Grassland
257,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Bareland
258,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Water
259,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Forest
260,NULL,NULL,Water,Non_Water,Water,Wetland,Bareland,Grassland
261,NULL,NULL,Water,Non_Water,Water,Bareland,Grassland,Grassland
262,NULL,NULL,Water,Non_Water,Water,Bareland,Bareland,Grassland
263,NULL,NULL,Water,Non_Water,Water,Bareland,Bareland,Bareland
264,NULL,NULL,Water,Non_Water,Water,Bareland,Bareland,Water
265,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Grassland
266,NULL,NULL,Water,Water,Water,Wetland,Bareland,Water
267,NULL,NULL,Water,Water,Water,Bareland,Bareland,Grassland
268,NULL,NULL,Water,Water,Water,Bareland,Bareland,Bareland
269,NULL,NULL,Water,Water,Water,Bareland,Bareland,Water
270,NULL,NULL,Water,Water,Water,Water,Bareland,Water
271,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
272,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
273,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
274,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
275,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
276,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
277,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
278,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
279,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
280,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
281,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
282,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
283,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
284,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
285,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
286,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Bareland
287,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
288,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
289,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
290,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
291,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
292,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
293,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
294,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Wetland,Forest
295,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Bareland,Grassland
296,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
297,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
298,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
299,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
300,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
301,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Built-up
302,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
303,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
304,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Built-up
305,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
306,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
307,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Bareland
308,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Built-up
309,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
310,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Built-up,Grassland
311,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
312,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
313,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
314,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
315,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
316,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
317,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
318,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
319,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
320,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
321,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
322,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
323,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Built-up
324,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
325,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
326,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
327,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Bareland
328,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
329,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
