Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NLF_M_R
45,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
46,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
48,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
49,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
50,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
51,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
52,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
53,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
54,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
55,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
56,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
57,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Wetland
58,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
59,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
60,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
61,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
62,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
63,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
64,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
65,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
66,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
67,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
68,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
69,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
70,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
71,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
72,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
73,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
74,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
75,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
76,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
77,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
78,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
79,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
80,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
81,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
82,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
83,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
84,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
85,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
86,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
87,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
88,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
89,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
90,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
91,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
92,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
93,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
94,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
95,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
96,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
97,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
98,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
99,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
100,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
101,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
102,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
103,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
104,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
105,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
106,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
107,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
108,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Built-up
109,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Grassland
110,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Wetland
111,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Forest
112,NULL,NULL,Water,NULL,Water,Wetland,Wetland,NULL
113,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
114,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
115,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Forest
116,NULL,NULL,Water,NULL,Water,Wetland,Water,Grassland
117,NULL,NULL,Water,NULL,Water,Wetland,Water,Wetland
118,NULL,NULL,Water,NULL,Water,Water,Wetland,Grassland
119,NULL,NULL,Water,NULL,Water,Water,Wetland,Wetland
120,NULL,NULL,Water,NULL,Water,Water,Water,Grassland
121,NULL,NULL,Water,NULL,Water,Water,Water,Wetland
122,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
123,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Wetland
124,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Wetland
125,NULL,NULL,Water,Water,Water,Grassland,Wetland,Grassland
126,NULL,NULL,Water,Water,Water,Grassland,Wetland,Wetland
127,NULL,NULL,Water,Water,Water,Grassland,Water,Grassland
128,NULL,NULL,Water,Water,Water,Wetland,Grassland,Grassland
129,NULL,NULL,Water,Water,Water,Wetland,Grassland,Wetland
130,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
131,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
132,NULL,NULL,Water,Water,Water,Wetland,Wetland,Forest
133,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
134,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
135,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
136,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
137,NULL,NULL,Water,Water,Water,Water,Water,Grassland
138,NULL,NULL,Water,Water,Water,Water,Water,Wetland
139,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
140,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
141,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
142,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
143,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
144,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
145,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
146,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
147,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
148,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
149,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
150,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
151,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
152,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
153,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
154,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
155,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
156,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
157,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
158,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
159,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
160,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
161,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
162,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
163,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
164,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
165,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
166,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,NULL
167,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
168,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
169,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Forest
170,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
171,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
172,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
173,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
174,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
175,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
176,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
177,NULL,Wetland,Wetland,NULL,Wetland,Water,Grassland,Wetland
178,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,NULL
179,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
180,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
181,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
182,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
183,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Wetland
184,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Water
185,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
186,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
187,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
188,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Forest
189,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
190,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
191,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Wetland
192,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
193,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
194,NULL,Wetland,Water,NULL,Water,Wetland,Wetland,Grassland
195,NULL,Wetland,Water,NULL,Water,Wetland,Wetland,Wetland
196,NULL,Wetland,Water,NULL,Water,Wetland,Wetland,Forest
197,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Grassland
198,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Wetland
199,NULL,Wetland,Water,Water,Water,Water,Wetland,Wetland
200,NULL,Wetland,Water,Water,Water,Water,Water,Grassland
201,NULL,Wetland,Water,Water,Water,Water,Water,Wetland
202,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
203,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
204,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
205,NULL,Bareland,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
206,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
207,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
208,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Built-up
209,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
210,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
211,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
212,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
213,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Bareland,Built-up
214,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
215,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
216,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
217,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
218,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
219,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
220,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
221,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
222,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
223,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
224,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
225,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
226,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
227,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
228,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
229,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
230,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Built-up
231,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Bareland,Forest
232,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Forest
233,NULL,Built-up,Wetland,NULL,Wetland,Water,Wetland,Forest
234,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Bareland,Built-up
235,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
236,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Bareland
237,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Built-up
238,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
239,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
240,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
241,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
242,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
243,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,Built-up
244,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,Grassland
245,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,Built-up
246,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,Forest
247,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
248,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
249,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Built-up
250,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
251,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
252,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Wetland,Forest
253,NULL,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
254,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
255,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,NULL,Bareland
256,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
257,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
258,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
259,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
260,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
261,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Water
262,NULL,Water,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
263,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
264,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Water
265,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
266,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
267,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
268,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
269,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
270,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Grassland
271,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
272,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
273,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Wetland
274,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Water
275,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
276,NULL,Water,Wetland,NULL,Wetland,Water,Water,Grassland
277,NULL,Water,Wetland,NULL,Wetland,Water,Water,Forest
278,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
279,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
280,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
281,NULL,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
282,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
283,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Wetland
284,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Water
285,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Forest
286,NULL,Water,Wetland,Water,Wetland,Water,Water,Grassland
287,NULL,Water,Wetland,Water,Wetland,Water,Water,Forest
288,NULL,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Water
289,NULL,Water,Water,NULL,Water,Water,Water,Water
290,NULL,Water,Water,NULL,Water,Water,Water,Forest
291,NULL,Water,Water,Water,Water,Wetland,Water,Wetland
292,NULL,Water,Water,Water,Water,Wetland,Water,Water
293,NULL,Water,Water,Water,Water,Wetland,Water,Forest
294,NULL,Water,Water,Water,Water,Water,Wetland,Forest
295,NULL,Water,Water,Water,Water,Water,Water,Grassland
296,NULL,Water,Water,Water,Water,Water,Water,Water
297,NULL,Water,Water,Water,Water,Water,Water,Forest
298,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
299,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
300,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
301,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
302,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
303,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
304,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
305,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
306,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
307,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
308,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
309,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
310,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
311,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
312,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
313,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
314,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
315,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
316,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
317,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
318,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,NULL
319,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
320,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Forest
321,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,NULL
322,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
323,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
324,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
325,NULL,Forest,Wetland,NULL,Wetland,Wetland,Water,Forest
326,NULL,Forest,Wetland,NULL,Wetland,Wetland,Forest,NULL
327,NULL,Forest,Wetland,NULL,Wetland,Wetland,Forest,Grassland
328,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,NULL
329,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Grassland
330,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
331,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
332,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
333,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
334,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
335,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
336,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
337,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
338,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
339,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
340,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
341,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
342,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
343,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
344,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
345,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
