Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NRF_M_R
88,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
89,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
90,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
91,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
92,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
93,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
94,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
95,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
96,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
97,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
98,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
99,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
100,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
101,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
102,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
103,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
104,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Wetland
105,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
106,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
107,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
108,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
109,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
110,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
111,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
112,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
113,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
114,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
115,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
116,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
117,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
118,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
119,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
120,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
121,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
122,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
123,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
124,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
125,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
126,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
127,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Grassland
128,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
129,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Grassland
130,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Grassland,Grassland
131,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
132,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Shrubland,Grassland
133,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Wetland
134,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
135,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
136,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
137,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
138,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
139,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
140,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
141,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
142,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
143,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
144,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
145,NULL,NULL,Water,NULL,Water,Water,Wetland,Water
146,NULL,NULL,Water,Water,Water,Wetland,Grassland,Grassland
147,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
148,NULL,NULL,Water,Water,Water,Bareland,Grassland,Bareland
149,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
150,NULL,NULL,Water,Water,Water,Water,Water,Grassland
151,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
152,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
153,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
154,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
155,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,NULL
156,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
157,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
158,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
159,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
160,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Grassland
161,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
162,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
163,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
164,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
165,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
166,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
167,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
168,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
169,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
170,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
171,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
172,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
173,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Built-up
174,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
175,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
176,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
177,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
178,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
179,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
180,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
181,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
182,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
183,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
184,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
185,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
186,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
187,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
188,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
189,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
190,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
191,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
192,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
193,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
194,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
195,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
196,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
197,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
198,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
199,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
200,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
201,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
202,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Forest
203,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
204,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
205,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
206,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
207,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
208,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
209,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
210,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
211,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
212,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
213,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
214,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
215,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
216,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
217,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
218,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
219,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
220,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
221,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
222,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
223,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
224,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
225,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
226,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
227,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
228,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
229,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
230,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
231,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
232,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
233,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
234,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
235,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
236,NULL,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
237,NULL,Cropland,Wetland,NULL,Wetland,Water,Wetland,Water
238,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
239,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
240,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
241,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
242,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
243,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
244,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
245,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
246,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
247,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
248,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
249,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
250,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
251,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
252,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
253,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
254,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
255,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
256,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
257,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
258,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
259,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
260,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
261,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
262,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
263,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
264,NULL,Wetland,Water,Water,Water,Bareland,Water,Grassland
265,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Forest
266,NULL,Bareland,Water,NULL,Water,Grassland,Water,Forest
267,NULL,Bareland,Water,NULL,Water,Bareland,Grassland,Grassland
268,NULL,Bareland,Water,Water,Water,Wetland,Water,Grassland
269,NULL,Bareland,Forest,Water,Non_Wetland,Water,Water,Water
270,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
271,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
272,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
273,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
274,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
275,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
276,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
277,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
278,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
279,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
280,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
281,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
282,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
283,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
284,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
285,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
286,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
287,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
288,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
289,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
290,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
291,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
292,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
293,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
294,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
295,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
296,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
297,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
298,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
299,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
300,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
301,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
302,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
303,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
304,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
305,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
306,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Forest,Forest
307,NULL,Built-up,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
308,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
309,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
310,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
311,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
312,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
313,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
314,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
315,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
316,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
317,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
318,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
319,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Bareland
320,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
321,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
322,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
323,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
