Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NWH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NWH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NWH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NWH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NWH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18NWH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18NWH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NWH_M_R
50,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
51,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
52,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
53,NULL,NULL,Water,Water,Water,NULL,NULL,Water
54,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
55,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
56,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
57,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
58,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
59,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
60,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
61,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
62,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
63,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
64,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
65,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
66,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
67,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
68,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
69,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
70,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
71,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
72,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
73,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
74,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
75,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
76,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
77,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
78,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
79,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
80,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
81,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
82,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
83,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
84,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
85,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
86,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
87,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
88,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
89,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
90,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
91,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
92,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
93,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
94,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
95,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
96,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
97,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
98,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
99,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
100,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
101,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
102,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
103,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
104,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
105,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
106,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
107,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
108,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
109,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
110,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
111,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
112,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
113,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
114,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
115,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
116,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
117,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
118,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
119,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
120,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
121,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
122,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
123,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
124,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
125,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
126,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
127,NULL,Bareland,Water,NULL,Water,NULL,NULL,Forest
128,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
129,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
130,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
131,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
132,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
133,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
134,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
135,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
136,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
137,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
138,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
139,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
140,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
141,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
142,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
143,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
144,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
145,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
146,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
147,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
148,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
149,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
150,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
151,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
152,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
153,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
154,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
155,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
156,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
157,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
158,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
159,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
160,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
161,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
162,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
163,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
164,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
165,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
166,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
167,NULL,Built-up,Water,NULL,Water,NULL,NULL,Bareland
168,NULL,Built-up,Water,NULL,Water,NULL,NULL,Built-up
169,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
170,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
171,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
172,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
173,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
174,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
175,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
176,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
177,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
178,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
179,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
180,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
181,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
182,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
183,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
184,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
185,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
186,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
187,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
188,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
189,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
190,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
191,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
192,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
193,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
194,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
195,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
196,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
197,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
198,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
199,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
200,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
201,NULL,Water,Water,NULL,Water,NULL,NULL,Bareland
202,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
203,NULL,Water,Water,Non_Water,Water,NULL,NULL,Grassland
204,NULL,Water,Water,Non_Water,Water,NULL,NULL,Bareland
205,NULL,Water,Water,Water,Water,NULL,NULL,Bareland
206,NULL,Water,Water,Water,Water,NULL,NULL,Water
207,NULL,Water,Water,Water,Water,NULL,NULL,Forest
208,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
209,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
210,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
211,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
212,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
213,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
214,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
215,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
216,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
217,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
218,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
219,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
220,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
221,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
222,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
223,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
224,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
225,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
226,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
227,NULL,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
228,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
229,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
230,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
231,NULL,Forest,Water,NULL,Water,NULL,NULL,Grassland
232,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
233,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
234,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
235,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
236,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
237,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
238,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
239,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
240,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
241,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
242,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
243,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
244,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
245,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
246,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
247,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
248,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
249,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
250,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
251,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
252,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
253,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
254,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
255,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
256,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
257,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
258,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
259,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
260,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
261,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
262,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
263,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
264,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
265,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
266,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
267,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
268,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
269,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
270,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
271,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
272,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
273,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
274,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
275,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
276,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
277,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
278,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
279,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
280,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
281,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
282,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
283,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
284,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
285,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
286,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
287,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
288,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
289,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
290,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
291,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
292,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
293,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
294,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
295,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
296,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
297,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
298,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
299,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
300,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
301,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
302,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
303,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
304,Grassland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
305,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
306,Grassland,NULL,Water,NULL,Water,NULL,NULL,Bareland
307,Grassland,NULL,Water,NULL,Water,NULL,NULL,Water
308,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
309,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
310,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
311,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Water
312,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
313,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
314,Grassland,NULL,Water,Water,Water,NULL,NULL,Bareland
315,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
316,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
317,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
318,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
319,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
320,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
321,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
322,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
323,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
324,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
325,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
326,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
327,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
328,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
329,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
330,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
331,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
332,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
333,Grassland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
334,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
335,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
336,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
337,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
338,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
339,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
340,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
341,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
