Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LDH_M_R
45,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
46,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
47,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
59,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
60,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
61,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
62,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
63,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
64,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
65,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
66,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Forest
67,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
68,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
69,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
70,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
71,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
72,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
73,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
74,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
75,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
76,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Wetland
77,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
78,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
79,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
80,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
81,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
82,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
83,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
84,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
85,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
86,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
87,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
88,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
89,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
90,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
91,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
92,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
93,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
94,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
95,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
96,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
97,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
98,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
99,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
100,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
101,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Bareland
102,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
103,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Grassland
104,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Forest
105,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
106,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
107,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
108,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
109,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
110,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
111,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
112,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
113,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
114,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,NULL,Forest
115,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
116,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
117,NULL,NULL,Grassland,Water,Non_Wetland,Water,NULL,Grassland
118,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Water
119,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
120,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
121,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
122,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
123,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
124,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
125,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
126,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
127,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
128,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
129,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
130,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
131,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
132,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
133,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
134,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
135,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
136,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
137,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
138,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
139,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
140,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
141,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
142,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
143,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
144,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
145,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
146,NULL,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Grassland
147,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
148,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
149,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
150,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
151,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
152,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,Forest,Forest
153,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
154,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
155,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
156,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
157,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
158,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
159,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
160,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
161,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
162,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
163,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
164,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Grassland
165,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
166,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
167,NULL,NULL,Wetland,NULL,Wetland,Water,Bareland,Forest
168,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
169,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
170,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
171,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
172,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
173,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
174,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
175,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Forest
176,NULL,NULL,Wetland,Water,Wetland,Grassland,Forest,Forest
177,NULL,NULL,Wetland,Water,Wetland,Water,NULL,Water
178,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
179,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
180,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
181,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
182,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
183,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
184,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
185,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
186,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,NULL,Forest
187,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
188,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
189,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Forest
190,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
191,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
192,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
193,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
194,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
195,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
196,NULL,NULL,Bareland,Water,Non_Wetland,Water,Forest,Water
197,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
198,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
199,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
200,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
201,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
202,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
203,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
204,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
205,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
206,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
207,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
208,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
209,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
210,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
211,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
212,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
213,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
214,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
215,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
216,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
217,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
218,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
219,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
220,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
221,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
222,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Built-up,Grassland
223,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
224,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
225,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
226,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
227,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
228,NULL,NULL,Water,NULL,Water,Grassland,NULL,Grassland
229,NULL,NULL,Water,NULL,Water,Grassland,NULL,Forest
230,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
231,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
232,NULL,NULL,Water,NULL,Water,Water,NULL,Water
233,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
234,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
235,NULL,NULL,Water,Water,Water,NULL,NULL,Water
236,NULL,NULL,Water,Water,Water,Water,NULL,Bareland
237,NULL,NULL,Water,Water,Water,Water,NULL,Water
238,NULL,NULL,Water,Water,Water,Water,Water,Grassland
239,NULL,NULL,Water,Water,Water,Water,Water,Water
240,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
241,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
242,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
243,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
244,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
245,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
246,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
247,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
248,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
249,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
250,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
251,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
252,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
253,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
254,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
255,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
256,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
257,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
258,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
259,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
260,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
261,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
262,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
263,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
264,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Built-up
265,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
266,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
267,NULL,NULL,Forest,NULL,Non_Wetland,Water,NULL,Grassland
268,NULL,NULL,Forest,NULL,Non_Wetland,Water,NULL,Forest
269,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
270,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
271,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Forest
272,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
273,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
274,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
275,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
276,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
277,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
278,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
279,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
280,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
281,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
282,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
283,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,Grassland,Forest
284,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
285,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
286,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
287,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
288,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
289,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Forest
290,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Forest,Forest
291,NULL,NULL,Forest,Water,Non_Wetland,Water,NULL,Water
292,NULL,NULL,Forest,Water,Non_Wetland,Water,NULL,Forest
293,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Forest
294,NULL,NULL,Forest,Water,Non_Wetland,Water,Forest,Water
295,NULL,NULL,Forest,Water,Non_Wetland,Water,Forest,Forest
296,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
297,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
298,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
299,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
300,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
301,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
302,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
303,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
304,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
305,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
306,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
307,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
308,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
309,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
310,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
311,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
312,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
313,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
314,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
315,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
316,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
317,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
318,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
319,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
320,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
321,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
322,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
323,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
324,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
325,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
326,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
327,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
328,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
329,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
330,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
331,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
332,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
333,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
334,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
335,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Cropland
