Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_25MCM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_25MCM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_25MCM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_25MCM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MCM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MCM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MCM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_25MCM_M_R
29,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
42,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
43,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
44,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,NULL,Grassland
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
46,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
52,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
53,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
54,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
55,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
56,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
57,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
58,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,NULL
59,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
60,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
61,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
62,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
63,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
64,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
65,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
66,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
67,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
68,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
69,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
70,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
71,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
72,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
73,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
74,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
75,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
76,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
77,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Bareland,Grassland
78,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
79,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Built-up,Grassland
80,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
81,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
82,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
83,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
84,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
85,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
86,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
87,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
88,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
89,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
90,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,NULL,Grassland
91,NULL,NULL,Water,NULL,NULL,NULL,NULL,NULL
92,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
93,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
94,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
95,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
96,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
97,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
98,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
99,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Wetland
100,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
101,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Grassland
102,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Bareland
103,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
104,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
105,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Wetland
106,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
107,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
108,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
109,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
110,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
111,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Bareland
112,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Wetland,Wetland
113,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
114,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
115,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
116,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
117,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
118,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
119,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
120,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
121,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
122,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
123,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
124,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
125,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
126,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
127,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
128,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
129,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
130,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
131,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
132,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
133,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
134,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
135,NULL,Cropland,Wetland,NULL,Wetland,NULL,Wetland,Grassland
136,NULL,Cropland,Wetland,NULL,Wetland,NULL,Wetland,Wetland
137,NULL,Cropland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
138,NULL,Cropland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
139,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
140,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
141,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
142,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
143,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
144,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
145,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
146,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
147,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up,NULL,Cropland
148,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
149,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
150,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
151,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
152,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
153,NULL,Bareland,Wetland,Water,Wetland,Bareland,Built-up,Bareland
154,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland,Built-up,Bareland
155,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland,Built-up,Bareland
156,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland,Bareland,Bareland
157,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland,Built-up,Bareland
158,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
159,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
160,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
161,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland,Built-up,Bareland
162,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland,Built-up,Bareland
163,NULL,Bareland,Water,NULL,Water,Bareland,Built-up,Bareland
164,NULL,Bareland,Water,Water,Water,Bareland,Built-up,Bareland
165,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
166,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
167,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
168,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
169,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
170,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
171,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
172,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
173,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
174,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
175,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
176,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
177,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up,Wetland
178,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
179,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
180,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
181,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
182,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
183,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
184,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
185,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
186,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
187,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
188,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
189,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
190,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
191,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Built-up,Forest
192,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
193,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
194,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
195,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
196,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
197,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
198,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
199,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
200,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
201,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
202,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Wetland,Forest
203,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
204,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
205,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
206,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
207,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
208,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
209,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
210,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
211,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,NULL,Forest
212,NULL,Built-up,NULL,Water,Non_Wetland,Bareland,Built-up,Grassland
213,NULL,Built-up,NULL,Water,Non_Wetland,Bareland,Built-up,Bareland
214,NULL,Built-up,NULL,Water,Non_Wetland,Water,Built-up,Water
215,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
216,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
217,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
218,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
219,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
220,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
221,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
222,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
223,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
224,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
225,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Wetland
226,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
227,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
228,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
229,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
230,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
231,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
232,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
233,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
234,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
235,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
236,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
237,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
238,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
239,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,NULL
240,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
241,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
242,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
243,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Forest
244,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
245,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
246,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
247,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
248,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Built-up,Forest
249,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
250,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
251,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
252,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
253,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
254,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
255,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Bareland,Grassland
256,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up,Grassland
257,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up,Forest
258,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
259,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
260,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
261,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
262,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,NULL,NULL
263,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,NULL,Grassland
264,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,NULL,Forest
265,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,NULL
266,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
267,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
268,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
269,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
270,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
271,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
272,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
273,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
274,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
275,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
276,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
277,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
278,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
279,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland,Built-up
280,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
281,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,NULL
282,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
283,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
284,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Bareland
285,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Built-up
286,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
287,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
288,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
289,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
290,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
291,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
292,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
293,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
294,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
295,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
296,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Built-up,Grassland
297,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
298,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
299,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
300,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
301,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
302,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
303,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
304,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
305,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Water
306,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,NULL,NULL
307,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
308,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
309,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,NULL,Bareland
310,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,NULL,Built-up
311,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,NULL,Forest
312,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
313,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Built-up
314,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Forest
315,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Wetland,Grassland
316,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,NULL
317,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
318,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
319,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
320,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
321,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
322,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Forest,Grassland
323,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Wetland,Forest
