Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MVV_M_R
110,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
111,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
112,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
113,NULL,Built-up,Grassland,Water,Non_Wetland,Built-up
114,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
115,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
116,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
117,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
118,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
119,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up
120,NULL,Built-up,Wetland,NULL,Wetland,Grassland
121,NULL,Built-up,Wetland,NULL,Wetland,Built-up
122,NULL,Built-up,Wetland,NULL,Wetland,Water
123,NULL,Built-up,Wetland,NULL,Wetland,Forest
124,NULL,Built-up,Wetland,Non_Water,Wetland,Built-up
125,NULL,Built-up,Wetland,Non_Water,Wetland,Water
126,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
127,NULL,Built-up,Wetland,Water,Wetland,Grassland
128,NULL,Built-up,Wetland,Water,Wetland,Water
129,NULL,Built-up,Wetland,Water,Wetland,Forest
130,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
131,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
132,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
133,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
134,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
135,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
136,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
137,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
138,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
139,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
140,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
141,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
142,NULL,Built-up,Built-up,Water,Non_Wetland,Water
143,NULL,Built-up,Water,NULL,Water,Grassland
144,NULL,Built-up,Water,NULL,Water,Bareland
145,NULL,Built-up,Water,NULL,Water,Built-up
146,NULL,Built-up,Water,NULL,Water,Water
147,NULL,Built-up,Water,NULL,Water,Forest
148,NULL,Built-up,Water,Non_Water,Water,Water
149,NULL,Built-up,Water,Non_Water,Water,Forest
150,NULL,Built-up,Water,Water,Water,Grassland
151,NULL,Built-up,Water,Water,Water,Water
152,NULL,Built-up,Water,Water,Water,Forest
153,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
154,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
155,NULL,Built-up,Forest,NULL,Non_Wetland,Water
156,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
157,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
158,NULL,Built-up,Forest,Non_Water,Non_Wetland,Water
159,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
160,NULL,Built-up,Forest,Water,Non_Wetland,Grassland
161,NULL,Built-up,Forest,Water,Non_Wetland,Built-up
162,NULL,Built-up,Forest,Water,Non_Wetland,Water
163,NULL,Built-up,Forest,Water,Non_Wetland,Forest
164,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
165,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
166,NULL,Water,Shrubland,NULL,Non_Wetland,Water
167,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
168,NULL,Water,Shrubland,Water,Non_Wetland,Water
169,NULL,Water,Grassland,NULL,Non_Wetland,Water
170,NULL,Water,Grassland,Water,Non_Wetland,Grassland
171,NULL,Water,Grassland,Water,Non_Wetland,Water
172,NULL,Water,Cropland,NULL,Non_Wetland,Forest
173,NULL,Water,Cropland,Water,Non_Wetland,Water
174,NULL,Water,Wetland,NULL,Wetland,Grassland
175,NULL,Water,Wetland,NULL,Wetland,Water
176,NULL,Water,Wetland,NULL,Wetland,Forest
177,NULL,Water,Wetland,Non_Water,Wetland,Grassland
178,NULL,Water,Wetland,Non_Water,Wetland,Water
179,NULL,Water,Wetland,Water,Wetland,Grassland
180,NULL,Water,Wetland,Water,Wetland,Water
181,NULL,Water,Wetland,Water,Wetland,Forest
182,NULL,Water,Bareland,Water,Non_Wetland,Grassland
183,NULL,Water,Bareland,Water,Non_Wetland,Water
184,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
185,NULL,Water,Built-up,NULL,Non_Wetland,Water
186,NULL,Water,Water,NULL,Water,Water
187,NULL,Water,Water,Non_Water,Water,Water
188,NULL,Water,Water,Water,Water,Grassland
189,NULL,Water,Water,Water,Water,Water
190,NULL,Water,Water,Water,Water,Forest
191,NULL,Water,Forest,NULL,Non_Wetland,Grassland
192,NULL,Water,Forest,NULL,Non_Wetland,Water
193,NULL,Water,Forest,NULL,Non_Wetland,Forest
194,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
195,NULL,Water,Forest,Water,Non_Wetland,Water
196,NULL,Water,Forest,Water,Non_Wetland,Forest
197,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
198,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
199,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
200,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
201,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
202,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
203,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
204,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
205,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
206,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
207,NULL,Forest,Grassland,Non_Water,Non_Wetland,Forest
208,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
209,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
210,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
211,NULL,Forest,Cropland,Water,Non_Wetland,Grassland
212,NULL,Forest,Cropland,Water,Non_Wetland,Forest
213,NULL,Forest,Wetland,NULL,Wetland,NULL
214,NULL,Forest,Wetland,NULL,Wetland,Grassland
215,NULL,Forest,Wetland,NULL,Wetland,Wetland
216,NULL,Forest,Wetland,NULL,Wetland,Forest
217,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
218,NULL,Forest,Wetland,Non_Water,Wetland,Water
219,NULL,Forest,Wetland,Non_Water,Wetland,Forest
220,NULL,Forest,Wetland,Water,Wetland,Grassland
221,NULL,Forest,Wetland,Water,Wetland,Wetland
222,NULL,Forest,Wetland,Water,Wetland,Water
223,NULL,Forest,Wetland,Water,Wetland,Forest
224,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
225,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
226,NULL,Forest,Water,Non_Water,Water,Grassland
227,NULL,Forest,Water,Water,Water,Forest
228,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
229,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
230,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
231,NULL,Forest,Forest,NULL,Non_Wetland,Water
232,NULL,Forest,Forest,NULL,Non_Wetland,Forest
233,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
234,NULL,Forest,Forest,Non_Water,Non_Wetland,Water
235,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
236,NULL,Forest,Forest,Water,Non_Wetland,Forest
237,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
238,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
239,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
240,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
241,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
242,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
243,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
244,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
245,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
246,Grassland,NULL,Cropland,NULL,Non_Wetland,Water
247,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
248,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
249,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
250,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water
251,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest
252,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
253,Grassland,NULL,Cropland,Water,Non_Wetland,Water
254,Grassland,NULL,Cropland,Water,Non_Wetland,Forest
255,Grassland,NULL,Wetland,NULL,Wetland,Grassland
256,Grassland,NULL,Wetland,NULL,Wetland,Wetland
257,Grassland,NULL,Wetland,NULL,Wetland,Water
258,Grassland,NULL,Wetland,NULL,Wetland,Forest
259,Grassland,NULL,Wetland,Non_Water,Wetland,NULL
260,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
261,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
262,Grassland,NULL,Wetland,Non_Water,Wetland,Water
263,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
264,Grassland,NULL,Wetland,Water,Wetland,Grassland
265,Grassland,NULL,Wetland,Water,Wetland,Wetland
266,Grassland,NULL,Wetland,Water,Wetland,Water
267,Grassland,NULL,Wetland,Water,Wetland,Forest
268,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
269,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
270,Grassland,NULL,Bareland,Water,Non_Wetland,Forest
271,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
272,Grassland,NULL,Built-up,NULL,Non_Wetland,Water
273,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
274,Grassland,NULL,Water,NULL,Water,Grassland
275,Grassland,NULL,Water,NULL,Water,Wetland
276,Grassland,NULL,Water,NULL,Water,Water
277,Grassland,NULL,Water,NULL,Water,Forest
278,Grassland,NULL,Water,Non_Water,Water,Grassland
279,Grassland,NULL,Water,Non_Water,Water,Water
280,Grassland,NULL,Water,Non_Water,Water,Forest
281,Grassland,NULL,Water,Water,Water,Grassland
282,Grassland,NULL,Water,Water,Water,Wetland
283,Grassland,NULL,Water,Water,Water,Water
284,Grassland,NULL,Water,Water,Water,Forest
285,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
286,Grassland,NULL,Forest,NULL,Non_Wetland,Water
287,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
288,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
289,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
290,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water
291,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
292,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
293,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
294,Grassland,NULL,Forest,Water,Non_Wetland,Water
295,Grassland,NULL,Forest,Water,Non_Wetland,Forest
296,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
297,Grassland,Cropland,Wetland,NULL,Wetland,Forest
298,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
299,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
300,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
301,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland
302,Grassland,Wetland,Cropland,NULL,Non_Wetland,Water
303,Grassland,Wetland,Cropland,NULL,Non_Wetland,Forest
304,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
305,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Water
306,Grassland,Wetland,Cropland,Water,Non_Wetland,Water
307,Grassland,Wetland,Cropland,Water,Non_Wetland,Forest
308,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
309,Grassland,Wetland,Wetland,NULL,Wetland,Water
310,Grassland,Wetland,Wetland,NULL,Wetland,Forest
311,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland
312,Grassland,Wetland,Wetland,Non_Water,Wetland,Water
313,Grassland,Wetland,Wetland,Water,Wetland,Grassland
314,Grassland,Wetland,Wetland,Water,Wetland,Water
315,Grassland,Wetland,Water,NULL,Water,Water
316,Grassland,Wetland,Water,Non_Water,Water,Grassland
317,Grassland,Wetland,Water,Water,Water,Grassland
318,Grassland,Wetland,Water,Water,Water,Water
319,Grassland,Wetland,Water,Water,Water,Forest
320,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
321,Grassland,Wetland,Forest,NULL,Non_Wetland,Water
322,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
323,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
324,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Water
325,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Forest
326,Grassland,Wetland,Forest,Water,Non_Wetland,Grassland
327,Grassland,Wetland,Forest,Water,Non_Wetland,Water
328,Grassland,Wetland,Forest,Water,Non_Wetland,Forest
329,Grassland,Bareland,Water,Water,Water,Water
330,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland
331,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
332,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Forest
333,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland
334,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
335,Grassland,Built-up,Wetland,NULL,Wetland,Forest
336,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland
337,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
338,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest
339,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
340,Grassland,Water,Wetland,NULL,Wetland,Grassland
341,Grassland,Water,Wetland,NULL,Wetland,Forest
342,Grassland,Water,Wetland,Non_Water,Wetland,Grassland
343,Grassland,Water,Wetland,Non_Water,Wetland,Water
344,Grassland,Water,Wetland,Water,Wetland,Grassland
345,Grassland,Water,Wetland,Water,Wetland,Wetland
346,Grassland,Water,Wetland,Water,Wetland,Water
347,Grassland,Water,Built-up,NULL,Non_Wetland,Grassland
348,Grassland,Water,Built-up,NULL,Non_Wetland,Forest
349,Grassland,Water,Water,NULL,Water,Grassland
350,Grassland,Water,Water,Non_Water,Water,Grassland
351,Grassland,Water,Water,Water,Water,Grassland
352,Grassland,Water,Water,Water,Water,Wetland
353,Grassland,Water,Water,Water,Water,Water
354,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
355,Grassland,Water,Forest,NULL,Non_Wetland,Wetland
356,Grassland,Water,Forest,NULL,Non_Wetland,Water
357,Grassland,Water,Forest,NULL,Non_Wetland,Forest
358,Grassland,Water,Forest,Non_Water,Non_Wetland,Water
359,Grassland,Water,Forest,Non_Water,Non_Wetland,Forest
360,Grassland,Water,Forest,Water,Non_Wetland,Grassland
361,Grassland,Water,Forest,Water,Non_Wetland,Water
362,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
363,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
364,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
365,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
366,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
367,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Water
368,Grassland,Forest,Cropland,Water,Non_Wetland,Grassland
369,Grassland,Forest,Cropland,Water,Non_Wetland,Water
370,Grassland,Forest,Wetland,NULL,Wetland,Grassland
371,Grassland,Forest,Wetland,NULL,Wetland,Forest
372,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland
373,Grassland,Forest,Wetland,Non_Water,Wetland,Water
374,Grassland,Forest,Wetland,Non_Water,Wetland,Forest
375,Grassland,Forest,Wetland,Water,Wetland,Grassland
376,Grassland,Forest,Wetland,Water,Wetland,Cropland
377,Grassland,Forest,Wetland,Water,Wetland,Wetland
378,Grassland,Forest,Wetland,Water,Wetland,Water
379,Grassland,Forest,Wetland,Water,Wetland,Forest
380,Grassland,Forest,Water,NULL,Water,Water
381,Grassland,Forest,Water,NULL,Water,Forest
382,Grassland,Forest,Water,Non_Water,Water,Grassland
383,Grassland,Forest,Water,Non_Water,Water,Water
384,Grassland,Forest,Water,Water,Water,Grassland
385,Grassland,Forest,Water,Water,Water,Wetland
386,Grassland,Forest,Water,Water,Water,Water
387,Grassland,Forest,Water,Water,Water,Forest
388,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
389,Grassland,Forest,Forest,NULL,Non_Wetland,Water
390,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
391,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
392,Grassland,Forest,Forest,Non_Water,Non_Wetland,Water
393,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
394,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
395,Grassland,Forest,Forest,Water,Non_Wetland,Water
396,Grassland,Forest,Forest,Water,Non_Wetland,Forest
397,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
398,Cropland,NULL,NULL,NULL,Non_Wetland,Water
399,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
400,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
401,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
402,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
403,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
404,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
405,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
406,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
407,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
408,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
409,Cropland,NULL,Cropland,NULL,Non_Wetland,Water
410,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
411,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
412,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
413,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
414,Cropland,NULL,Cropland,Water,Non_Wetland,Water
415,Cropland,NULL,Wetland,NULL,Wetland,Grassland
416,Cropland,NULL,Wetland,NULL,Wetland,Water
417,Cropland,NULL,Wetland,NULL,Wetland,Forest
418,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
419,Cropland,NULL,Wetland,Non_Water,Wetland,Water
420,Cropland,NULL,Wetland,Non_Water,Wetland,Forest
421,Cropland,NULL,Wetland,Water,Wetland,Grassland
422,Cropland,NULL,Wetland,Water,Wetland,Water
423,Cropland,NULL,Wetland,Water,Wetland,Forest
424,Cropland,NULL,Bareland,Water,Non_Wetland,Water
425,Cropland,NULL,Water,NULL,Water,Water
426,Cropland,NULL,Water,Non_Water,Water,Grassland
427,Cropland,NULL,Water,Non_Water,Water,Water
428,Cropland,NULL,Water,Non_Water,Water,Forest
429,Cropland,NULL,Water,Water,Water,Grassland
430,Cropland,NULL,Water,Water,Water,Water
431,Cropland,NULL,Water,Water,Water,Forest
432,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
433,Cropland,NULL,Forest,NULL,Non_Wetland,Water
434,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
435,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
436,Cropland,NULL,Forest,Non_Water,Non_Wetland,Water
437,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
438,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
439,Cropland,NULL,Forest,Water,Non_Wetland,Water
440,Cropland,NULL,Forest,Water,Non_Wetland,Forest
441,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
442,Cropland,Cropland,NULL,NULL,Non_Wetland,Water
443,Cropland,Cropland,Wetland,NULL,Wetland,Forest
444,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
445,Cropland,Wetland,Cropland,NULL,Non_Wetland,Water
446,Cropland,Wetland,Cropland,Non_Water,Non_Wetland,Water
447,Cropland,Wetland,Cropland,Water,Non_Wetland,Water
