Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KUA_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
31,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
33,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
35,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
36,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
38,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
39,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
40,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
41,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
42,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
43,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
44,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
45,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
46,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
47,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
48,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
49,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Wetland
50,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
51,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
52,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
53,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
54,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
55,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Wetland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
57,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
62,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
63,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Wetland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Wetland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Wetland
102,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
103,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
104,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
105,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
106,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
107,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
108,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
109,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
110,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
111,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
112,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
113,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
114,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
115,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
116,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
117,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
118,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
119,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Wetland
120,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
121,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Wetland
122,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
123,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
124,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,Wetland
125,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,Forest
126,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
127,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
128,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
129,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
130,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
131,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Wetland
132,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
133,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Wetland
134,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
135,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
136,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
137,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
138,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
139,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
140,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
141,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Wetland
142,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
143,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
144,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Wetland
145,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
146,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
147,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Grassland,Wetland
148,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
149,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
150,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
151,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
152,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
153,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
154,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
155,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
156,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Wetland
157,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
158,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
159,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
160,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
161,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
162,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
163,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
164,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
165,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
166,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
167,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
168,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Wetland
169,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Wetland
170,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
171,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
172,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Wetland
173,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Bareland
174,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
175,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Water,Wetland
176,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Wetland
177,NULL,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Grassland
178,NULL,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Wetland
179,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
180,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Wetland
181,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Wetland
182,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
183,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
184,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
185,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
186,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
187,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
188,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Forest
189,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
190,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
191,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
192,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Wetland
193,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
194,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
195,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
196,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
197,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
198,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
199,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Water,Wetland
200,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Grassland
201,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Wetland
202,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,Grassland
203,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,Wetland
204,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,Bareland
205,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Water,Wetland
206,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,Grassland,Wetland
207,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,Grassland,Forest
208,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
209,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
210,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
211,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Wetland
212,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Grassland,Wetland
213,NULL,NULL,Cropland,Water,Non_Wetland,Water,Grassland,Grassland
214,NULL,NULL,Cropland,Water,Non_Wetland,Water,Grassland,Wetland
215,NULL,NULL,Cropland,Water,Non_Wetland,Water,Water,Wetland
216,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
217,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
218,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
219,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
220,NULL,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Wetland
221,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
222,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Wetland
223,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
224,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
225,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Wetland
226,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
227,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Wetland
228,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
229,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
230,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Wetland
231,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Forest
232,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
233,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
234,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
235,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
236,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
237,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Wetland
238,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Water
239,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
240,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Wetland
241,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Forest
242,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
243,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
244,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
245,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
246,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
247,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
248,NULL,NULL,Wetland,NULL,Wetland,Water,NULL,Grassland
249,NULL,NULL,Wetland,NULL,Wetland,Water,NULL,Wetland
250,NULL,NULL,Wetland,NULL,Wetland,Water,NULL,Forest
251,NULL,NULL,Wetland,NULL,Wetland,Water,Shrubland,Wetland
252,NULL,NULL,Wetland,NULL,Wetland,Water,Shrubland,Forest
253,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
254,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
255,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
256,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
257,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
258,NULL,NULL,Wetland,NULL,Wetland,Forest,NULL,Wetland
259,NULL,NULL,Wetland,NULL,Wetland,Forest,NULL,Forest
260,NULL,NULL,Wetland,NULL,Wetland,Forest,Shrubland,Wetland
261,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Wetland
262,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
263,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
264,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
265,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
266,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
267,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,NULL,Wetland
268,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,NULL,Forest
269,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Wetland
270,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Grassland,Wetland
271,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Grassland
272,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Wetland
273,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Forest
274,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
275,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Wetland
276,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Forest
277,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
278,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
279,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
280,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Grassland
281,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Wetland
282,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Water
283,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Forest
284,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
285,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Wetland
286,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Water
287,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Forest
288,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
289,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
290,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
291,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
292,NULL,NULL,Wetland,Non_Water,Wetland,Water,NULL,Grassland
293,NULL,NULL,Wetland,Non_Water,Wetland,Water,NULL,Wetland
294,NULL,NULL,Wetland,Non_Water,Wetland,Water,NULL,Forest
295,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
296,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Wetland
297,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Forest
298,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
299,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
300,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
301,NULL,NULL,Wetland,Non_Water,Wetland,Forest,Grassland,Wetland
302,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
303,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
304,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
305,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
306,NULL,NULL,Wetland,Water,Wetland,Shrubland,Grassland,Wetland
307,NULL,NULL,Wetland,Water,Wetland,Grassland,NULL,Wetland
308,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Wetland
309,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Water
310,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
311,NULL,NULL,Wetland,Water,Wetland,Wetland,NULL,Wetland
312,NULL,NULL,Wetland,Water,Wetland,Wetland,NULL,Water
313,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
314,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Wetland
315,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Water
316,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Forest
317,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
318,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
319,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
320,NULL,NULL,Wetland,Water,Wetland,Water,NULL,Wetland
321,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Grassland
322,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Wetland
323,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
324,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
325,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
326,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Wetland
327,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
328,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Wetland
329,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
330,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
