Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MER_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MER_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MER_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MER_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MER_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MER_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MER_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MER_M_R
22,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Bareland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
27,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Water
28,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
31,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Water
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Water
36,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
37,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Bareland
38,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Water
39,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland,Forest
40,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
41,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
42,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Water
43,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Water
44,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Grassland
45,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Bareland
46,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Water
47,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
48,NULL,NULL,Wetland,Water,Wetland,Water,Bareland,Water
49,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
50,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
51,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Bareland,Forest
52,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Bareland,Forest
53,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
54,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
55,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Water
56,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
57,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
58,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Bareland,Grassland
59,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Bareland,Forest
60,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
61,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Grassland
62,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Bareland
63,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Water
64,NULL,NULL,Bareland,Water,Non_Wetland,Water,Bareland,Bareland
65,NULL,NULL,Bareland,Water,Non_Wetland,Water,Bareland,Water
66,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Forest
67,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
68,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
69,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
70,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
71,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Water
72,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
73,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Bareland,Grassland
74,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
75,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
76,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Water
77,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Wetland,Bareland
78,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Grassland
79,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Bareland
80,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Water
81,NULL,NULL,Built-up,Water,Non_Wetland,Water,Bareland,Water
82,NULL,NULL,Water,NULL,Water,Bareland,Wetland,Forest
83,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Grassland
84,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Bareland
85,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Water
86,NULL,NULL,Water,NULL,Water,Water,Bareland,Water
87,NULL,NULL,Water,Non_Water,Water,Bareland,Wetland,Grassland
88,NULL,NULL,Water,Non_Water,Water,Bareland,Bareland,Grassland
89,NULL,NULL,Water,Non_Water,Water,Bareland,Bareland,Water
90,NULL,NULL,Water,Water,Water,Bareland,Wetland,Water
91,NULL,NULL,Water,Water,Water,Bareland,Bareland,Grassland
92,NULL,NULL,Water,Water,Water,Bareland,Bareland,Bareland
93,NULL,NULL,Water,Water,Water,Bareland,Bareland,Water
94,NULL,NULL,Water,Water,Water,Bareland,Water,Grassland
95,NULL,NULL,Water,Water,Water,Bareland,Water,Water
96,NULL,NULL,Water,Water,Water,Water,Bareland,Water
97,NULL,NULL,Water,Water,Water,Water,Bareland,Forest
98,NULL,NULL,Water,Water,Water,Water,Water,Water
99,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
100,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
101,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
102,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
103,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
104,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
105,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
106,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
107,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
108,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
109,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
110,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
111,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
112,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
113,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,NULL
114,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
115,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
116,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,NULL
117,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
118,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Forest
119,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
120,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
121,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
122,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
123,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Water
124,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Wetland,Water
125,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
126,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Bareland
127,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Water
128,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Water,Water
129,NULL,NULL,Forest,Water,Non_Wetland,Water,Bareland,Water
130,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
131,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
132,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
133,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
134,NULL,Wetland,NULL,NULL,Non_Wetland,Water,Bareland,Water
135,NULL,Wetland,NULL,NULL,Non_Wetland,Forest,Bareland,Water
136,NULL,Wetland,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
137,NULL,Wetland,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
138,NULL,Wetland,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Water
139,NULL,Wetland,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
140,NULL,Wetland,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
141,NULL,Wetland,NULL,Water,Non_Wetland,Bareland,Bareland,Water
142,NULL,Wetland,NULL,Water,Non_Wetland,Bareland,Water,Water
143,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
144,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
145,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
146,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
147,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
148,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
149,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
150,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Water
151,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
152,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
153,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
154,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
155,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
156,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland,Water,Water
157,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
158,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
159,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Water
160,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
161,NULL,Wetland,Wetland,NULL,Wetland,NULL,Bareland,Forest
162,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,Forest
163,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Bareland,Water
164,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Bareland,Forest
165,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Water,Water
166,NULL,Wetland,Wetland,NULL,Wetland,Water,Bareland,Water
167,NULL,Wetland,Wetland,NULL,Wetland,Water,Bareland,Forest
168,NULL,Wetland,Wetland,NULL,Wetland,Forest,Bareland,Forest
169,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland,Bareland,Water
170,NULL,Wetland,Wetland,Water,Wetland,Bareland,Bareland,Grassland
171,NULL,Wetland,Wetland,Water,Wetland,Bareland,Bareland,Bareland
172,NULL,Wetland,Wetland,Water,Wetland,Bareland,Bareland,Water
173,NULL,Wetland,Wetland,Water,Wetland,Bareland,Water,Water
174,NULL,Wetland,Wetland,Water,Wetland,Water,Bareland,Water
175,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,Bareland,Forest
176,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Bareland,Forest
177,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
178,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
179,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Water
180,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
181,NULL,Wetland,Bareland,NULL,Non_Wetland,Water,Bareland,Water
182,NULL,Wetland,Bareland,NULL,Non_Wetland,Water,Bareland,Forest
183,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
184,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Water
185,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
186,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland,Wetland,Water
187,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland,Bareland,Grassland
188,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland,Bareland,Bareland
189,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland,Bareland,Water
190,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland,Bareland,Forest
191,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland,Water,Water
192,NULL,Wetland,Bareland,Water,Non_Wetland,Water,Bareland,Water
193,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
194,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
195,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
196,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
197,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
198,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
199,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
200,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland,Water,Grassland
201,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland,Bareland,Grassland
202,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland,Bareland,Bareland
203,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland,Bareland,Water
204,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland,Bareland,Forest
205,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland,Water,Water
206,NULL,Wetland,Water,NULL,Water,Bareland,Bareland,Grassland
207,NULL,Wetland,Water,NULL,Water,Bareland,Bareland,Bareland
208,NULL,Wetland,Water,NULL,Water,Bareland,Bareland,Water
209,NULL,Wetland,Water,NULL,Water,Water,Bareland,Forest
210,NULL,Wetland,Water,Water,Water,Bareland,Bareland,Grassland
211,NULL,Wetland,Water,Water,Water,Bareland,Bareland,Bareland
212,NULL,Wetland,Water,Water,Water,Bareland,Bareland,Water
213,NULL,Wetland,Water,Water,Water,Bareland,Water,Water
214,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
215,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
216,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
217,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
218,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
219,NULL,Wetland,Forest,NULL,Non_Wetland,Water,Bareland,Water
220,NULL,Wetland,Forest,NULL,Non_Wetland,Water,Bareland,Forest
221,NULL,Wetland,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
222,NULL,Wetland,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
223,NULL,Wetland,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
224,NULL,Wetland,Forest,Water,Non_Wetland,Bareland,Bareland,Bareland
225,NULL,Wetland,Forest,Water,Non_Wetland,Bareland,Bareland,Water
226,NULL,Wetland,Forest,Water,Non_Wetland,Bareland,Bareland,Forest
227,NULL,Wetland,Forest,Water,Non_Wetland,Water,Bareland,Water
228,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
229,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
230,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
231,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
232,NULL,Bareland,NULL,NULL,Non_Wetland,Water,Bareland,Forest
233,NULL,Bareland,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
234,NULL,Bareland,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
235,NULL,Bareland,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Water
236,NULL,Bareland,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
237,NULL,Bareland,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
238,NULL,Bareland,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
239,NULL,Bareland,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
240,NULL,Bareland,NULL,Water,Non_Wetland,Bareland,Bareland,Water
241,NULL,Bareland,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
242,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
243,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
244,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
245,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
246,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
247,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water,Bareland,Water
248,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
249,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
250,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
251,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Water
252,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
253,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
254,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
255,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
256,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
257,NULL,Bareland,Shrubland,Water,Non_Wetland,Water,Bareland,Forest
258,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
259,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
260,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Water
261,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
262,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
263,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
264,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland,Bareland,Water
265,NULL,Bareland,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
266,NULL,Bareland,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
267,NULL,Bareland,Wetland,NULL,Wetland,Bareland,Bareland,Water
268,NULL,Bareland,Wetland,NULL,Wetland,Bareland,Bareland,Forest
269,NULL,Bareland,Wetland,NULL,Wetland,Water,Bareland,Water
270,NULL,Bareland,Wetland,NULL,Wetland,Water,Bareland,Forest
271,NULL,Bareland,Wetland,NULL,Wetland,Water,Forest,Forest
272,NULL,Bareland,Wetland,Water,Wetland,Bareland,Bareland,Grassland
273,NULL,Bareland,Wetland,Water,Wetland,Bareland,Bareland,Bareland
274,NULL,Bareland,Wetland,Water,Wetland,Bareland,Bareland,Water
275,NULL,Bareland,Wetland,Water,Wetland,Bareland,Bareland,Forest
276,NULL,Bareland,Wetland,Water,Wetland,Bareland,Water,Grassland
277,NULL,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
278,NULL,Bareland,Wetland,Water,Wetland,Water,Bareland,Grassland
279,NULL,Bareland,Wetland,Water,Wetland,Water,Bareland,Water
280,NULL,Bareland,Wetland,Water,Wetland,Forest,Bareland,Water
281,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Bareland,Water
282,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland,Wetland,Water
283,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
284,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
285,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Water
286,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
287,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland,Water,Water
288,NULL,Bareland,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
289,NULL,Bareland,Bareland,NULL,Non_Wetland,Water,Bareland,Grassland
290,NULL,Bareland,Bareland,NULL,Non_Wetland,Water,Bareland,Water
291,NULL,Bareland,Bareland,NULL,Non_Wetland,Water,Bareland,Forest
292,NULL,Bareland,Bareland,NULL,Non_Wetland,Water,Water,Forest
293,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest,Bareland,Forest
294,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
295,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
296,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Water
297,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland,Wetland,Forest
298,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland,Bareland,Grassland
299,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland,Bareland,Bareland
300,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland,Bareland,Water
301,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland,Bareland,Forest
302,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland,Water,Water
303,NULL,Bareland,Bareland,Water,Non_Wetland,Water,Bareland,Bareland
304,NULL,Bareland,Bareland,Water,Non_Wetland,Water,Bareland,Water
305,NULL,Bareland,Bareland,Water,Non_Wetland,Water,Bareland,Forest
306,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
307,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
308,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
309,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Water
310,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
311,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
312,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Water
313,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland,Bareland,Grassland
314,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland,Bareland,Bareland
315,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland,Bareland,Water
316,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland,Bareland,Forest
317,NULL,Bareland,Water,NULL,Water,Bareland,Wetland,Forest
318,NULL,Bareland,Water,NULL,Water,Bareland,Bareland,Bareland
319,NULL,Bareland,Water,NULL,Water,Bareland,Bareland,Water
320,NULL,Bareland,Water,NULL,Water,Bareland,Bareland,Forest
321,NULL,Bareland,Water,NULL,Water,Water,Bareland,Water
322,NULL,Bareland,Water,NULL,Water,Water,Bareland,Forest
323,NULL,Bareland,Water,Non_Water,Water,Bareland,Bareland,Grassland
324,NULL,Bareland,Water,Non_Water,Water,Bareland,Bareland,Water
325,NULL,Bareland,Water,Non_Water,Water,Water,Bareland,Water
326,NULL,Bareland,Water,Water,Water,Bareland,Wetland,Grassland
327,NULL,Bareland,Water,Water,Water,Bareland,Wetland,Bareland
328,NULL,Bareland,Water,Water,Water,Bareland,Bareland,Grassland
329,NULL,Bareland,Water,Water,Water,Bareland,Bareland,Bareland
330,NULL,Bareland,Water,Water,Water,Bareland,Bareland,Water
331,NULL,Bareland,Water,Water,Water,Bareland,Bareland,Forest
332,NULL,Bareland,Water,Water,Water,Bareland,Water,Grassland
333,NULL,Bareland,Water,Water,Water,Bareland,Water,Water
334,NULL,Bareland,Water,Water,Water,Water,Bareland,Grassland
335,NULL,Bareland,Water,Water,Water,Water,Bareland,Bareland
336,NULL,Bareland,Water,Water,Water,Water,Bareland,Water
