Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LVQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LVQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LVQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LVQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LVQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LVQ_M_R
172,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
173,NULL,Bareland,Shrubland,Water,Non_Wetland,Forest
174,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
175,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
176,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
177,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
178,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
179,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Forest
180,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
181,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
182,NULL,Bareland,Cropland,NULL,Non_Wetland,Water
183,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
184,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Grassland
185,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
186,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Water
187,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Forest
188,NULL,Bareland,Cropland,Water,Non_Wetland,Grassland
189,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland
190,NULL,Bareland,Cropland,Water,Non_Wetland,Water
191,NULL,Bareland,Cropland,Water,Non_Wetland,Forest
192,NULL,Bareland,Wetland,Non_Water,Wetland,Grassland
193,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
194,NULL,Bareland,Wetland,Non_Water,Wetland,Water
195,NULL,Bareland,Wetland,Non_Water,Wetland,Forest
196,NULL,Bareland,Wetland,Water,Wetland,Grassland
197,NULL,Bareland,Wetland,Water,Wetland,Bareland
198,NULL,Bareland,Wetland,Water,Wetland,Water
199,NULL,Bareland,Wetland,Water,Wetland,Forest
200,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
201,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
202,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
203,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
204,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
205,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
206,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
207,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
208,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Forest
209,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
210,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
211,NULL,Bareland,Bareland,Water,Non_Wetland,Water
212,NULL,Bareland,Bareland,Water,Non_Wetland,Forest
213,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
214,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
215,NULL,Bareland,Built-up,NULL,Non_Wetland,Forest
216,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
217,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Forest
218,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
219,NULL,Bareland,Built-up,Water,Non_Wetland,Water
220,NULL,Bareland,Water,NULL,Water,Grassland
221,NULL,Bareland,Water,NULL,Water,Bareland
222,NULL,Bareland,Water,NULL,Water,Water
223,NULL,Bareland,Water,NULL,Water,Forest
224,NULL,Bareland,Water,Non_Water,Water,Grassland
225,NULL,Bareland,Water,Non_Water,Water,Bareland
226,NULL,Bareland,Water,Non_Water,Water,Water
227,NULL,Bareland,Water,Non_Water,Water,Forest
228,NULL,Bareland,Water,Water,Water,Grassland
229,NULL,Bareland,Water,Water,Water,Bareland
230,NULL,Bareland,Water,Water,Water,Water
231,NULL,Bareland,Water,Water,Water,Forest
232,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
233,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
234,NULL,Bareland,Forest,NULL,Non_Wetland,Built-up
235,NULL,Bareland,Forest,NULL,Non_Wetland,Water
236,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
237,NULL,Bareland,Forest,Non_Water,Non_Wetland,Grassland
238,NULL,Bareland,Forest,Non_Water,Non_Wetland,Bareland
239,NULL,Bareland,Forest,Non_Water,Non_Wetland,Water
240,NULL,Bareland,Forest,Non_Water,Non_Wetland,Forest
241,NULL,Bareland,Forest,Water,Non_Wetland,Grassland
242,NULL,Bareland,Forest,Water,Non_Wetland,Bareland
243,NULL,Bareland,Forest,Water,Non_Wetland,Water
244,NULL,Bareland,Forest,Water,Non_Wetland,Forest
245,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
246,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
247,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
248,NULL,Built-up,NULL,Non_Water,Non_Wetland,Forest
249,NULL,Built-up,NULL,Water,Non_Wetland,Forest
250,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
251,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
252,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
253,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
254,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
255,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
256,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
257,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
258,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
259,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
260,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Water
261,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
262,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
263,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
264,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up
265,NULL,Built-up,Shrubland,Water,Non_Wetland,Water
266,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
267,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
268,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
269,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
270,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
271,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
272,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
273,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
274,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
275,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
276,NULL,Built-up,Grassland,Water,Non_Wetland,Forest
277,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
278,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
279,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
280,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
281,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
282,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
283,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
284,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
285,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
286,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Water
287,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
288,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
289,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
290,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up
291,NULL,Built-up,Cropland,Water,Non_Wetland,Water
292,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
293,NULL,Built-up,Wetland,NULL,Wetland,Water
294,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland
295,NULL,Built-up,Wetland,Non_Water,Wetland,Bareland
296,NULL,Built-up,Wetland,Non_Water,Wetland,Water
297,NULL,Built-up,Wetland,Water,Wetland,Grassland
298,NULL,Built-up,Wetland,Water,Wetland,Bareland
299,NULL,Built-up,Wetland,Water,Wetland,Water
300,NULL,Built-up,Wetland,Water,Wetland,Forest
301,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
302,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
303,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
304,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
305,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
306,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
307,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
308,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
309,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Water
310,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Forest
311,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
312,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
313,NULL,Built-up,Bareland,Water,Non_Wetland,Water
314,NULL,Built-up,Bareland,Water,Non_Wetland,Forest
315,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
316,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
317,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
318,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
319,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
320,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
321,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
322,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
323,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
324,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
325,NULL,Built-up,Built-up,Water,Non_Wetland,Forest
326,NULL,Built-up,Water,NULL,Water,Grassland
327,NULL,Built-up,Water,NULL,Water,Bareland
328,NULL,Built-up,Water,NULL,Water,Built-up
329,NULL,Built-up,Water,NULL,Water,Water
330,NULL,Built-up,Water,NULL,Water,Forest
331,NULL,Built-up,Water,Non_Water,Water,Grassland
332,NULL,Built-up,Water,Non_Water,Water,Bareland
333,NULL,Built-up,Water,Non_Water,Water,Water
334,NULL,Built-up,Water,Non_Water,Water,Forest
335,NULL,Built-up,Water,Water,Water,Grassland
336,NULL,Built-up,Water,Water,Water,Bareland
337,NULL,Built-up,Water,Water,Water,Water
338,NULL,Built-up,Water,Water,Water,Forest
339,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
340,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
341,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
342,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
343,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
344,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
345,NULL,Built-up,Forest,NULL,Non_Wetland,Water
346,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
347,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
348,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland
349,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up
350,NULL,Built-up,Forest,Non_Water,Non_Wetland,Water
351,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
352,NULL,Built-up,Forest,Water,Non_Wetland,Grassland
353,NULL,Built-up,Forest,Water,Non_Wetland,Bareland
354,NULL,Built-up,Forest,Water,Non_Wetland,Water
355,NULL,Built-up,Forest,Water,Non_Wetland,Forest
356,NULL,Water,NULL,NULL,Non_Wetland,Grassland
357,NULL,Water,NULL,NULL,Non_Wetland,Water
358,NULL,Water,NULL,NULL,Non_Wetland,Forest
359,NULL,Water,NULL,Non_Water,Non_Wetland,Forest
360,NULL,Water,NULL,Water,Non_Wetland,Forest
361,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
362,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
363,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
364,NULL,Water,Shrubland,NULL,Non_Wetland,Water
365,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
366,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
367,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
368,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
369,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
370,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
371,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
372,NULL,Water,Shrubland,Water,Non_Wetland,Water
373,NULL,Water,Shrubland,Water,Non_Wetland,Forest
374,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
375,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
376,NULL,Water,Grassland,NULL,Non_Wetland,Water
377,NULL,Water,Grassland,NULL,Non_Wetland,Forest
378,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
379,NULL,Water,Grassland,Non_Water,Non_Wetland,Bareland
380,NULL,Water,Grassland,Non_Water,Non_Wetland,Forest
381,NULL,Water,Grassland,Water,Non_Wetland,Grassland
382,NULL,Water,Grassland,Water,Non_Wetland,Bareland
383,NULL,Water,Grassland,Water,Non_Wetland,Water
384,NULL,Water,Grassland,Water,Non_Wetland,Forest
385,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
386,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
387,NULL,Water,Cropland,NULL,Non_Wetland,Built-up
388,NULL,Water,Cropland,NULL,Non_Wetland,Water
389,NULL,Water,Cropland,NULL,Non_Wetland,Forest
390,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
391,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland
392,NULL,Water,Cropland,Non_Water,Non_Wetland,Built-up
393,NULL,Water,Cropland,Non_Water,Non_Wetland,Water
394,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
395,NULL,Water,Cropland,Water,Non_Wetland,Grassland
396,NULL,Water,Cropland,Water,Non_Wetland,Bareland
397,NULL,Water,Cropland,Water,Non_Wetland,Water
398,NULL,Water,Cropland,Water,Non_Wetland,Forest
399,NULL,Water,Wetland,NULL,Wetland,Water
400,NULL,Water,Wetland,Non_Water,Wetland,Grassland
401,NULL,Water,Wetland,Non_Water,Wetland,Bareland
402,NULL,Water,Wetland,Non_Water,Wetland,Forest
403,NULL,Water,Wetland,Water,Wetland,Grassland
404,NULL,Water,Wetland,Water,Wetland,Bareland
405,NULL,Water,Wetland,Water,Wetland,Water
406,NULL,Water,Wetland,Water,Wetland,Forest
407,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
408,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
409,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
410,NULL,Water,Bareland,NULL,Non_Wetland,Built-up
411,NULL,Water,Bareland,NULL,Non_Wetland,Water
412,NULL,Water,Bareland,NULL,Non_Wetland,Forest
413,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
414,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
415,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
416,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
417,NULL,Water,Bareland,Water,Non_Wetland,Grassland
418,NULL,Water,Bareland,Water,Non_Wetland,Bareland
419,NULL,Water,Bareland,Water,Non_Wetland,Water
420,NULL,Water,Bareland,Water,Non_Wetland,Forest
421,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
422,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
423,NULL,Water,Built-up,NULL,Non_Wetland,Forest
424,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland
425,NULL,Water,Built-up,Non_Water,Non_Wetland,Water
426,NULL,Water,Built-up,Non_Water,Non_Wetland,Forest
427,NULL,Water,Built-up,Water,Non_Wetland,Water
428,NULL,Water,Water,NULL,Water,Grassland
429,NULL,Water,Water,NULL,Water,Bareland
430,NULL,Water,Water,NULL,Water,Built-up
431,NULL,Water,Water,NULL,Water,Water
432,NULL,Water,Water,NULL,Water,Forest
433,NULL,Water,Water,Non_Water,Water,Grassland
434,NULL,Water,Water,Non_Water,Water,Bareland
