Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LBJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LBJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LBJ_M_R
31,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
32,NULL,NULL,Water,Water,Water,NULL,NULL,Water
33,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
34,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
35,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
36,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
37,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
38,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
40,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
41,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
42,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
43,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
44,NULL,Bareland,Water,Water,Water,NULL,NULL,Grassland
45,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
46,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
47,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
48,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
49,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
50,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
51,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
52,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
53,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
54,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
55,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
56,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
57,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
58,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
59,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
60,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
61,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
62,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
63,NULL,Water,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
64,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
65,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
66,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
67,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
68,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
69,NULL,Water,Water,Water,Water,NULL,NULL,Water
70,NULL,Water,Water,Water,Water,NULL,NULL,Forest
71,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
72,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
73,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
74,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
75,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
76,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
77,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
78,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
79,NULL,Forest,NULL,Water,Non_Wetland,NULL,NULL,Forest
80,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
81,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
82,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
83,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
84,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
85,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Bareland
86,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
87,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Bareland
88,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
89,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
90,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
91,NULL,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Water
92,NULL,Forest,Built-up,NULL,Non_Wetland,Water,Forest,Bareland
93,NULL,Forest,Water,Water,Water,NULL,NULL,Water
94,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
95,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
96,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
97,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
98,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
99,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
100,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
101,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
102,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
103,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
104,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
105,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
106,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
107,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
108,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
109,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
110,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
111,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
112,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Water
113,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
114,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
115,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
116,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
117,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
118,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
119,Grassland,Forest,Water,Water,Water,NULL,NULL,Water
120,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
121,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
122,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
123,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
124,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
125,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
126,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
127,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
128,Cropland,NULL,Water,Water,Water,NULL,NULL,Water
129,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
130,Cropland,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
131,Cropland,Bareland,Water,Water,Water,NULL,NULL,Grassland
132,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
133,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
134,Cropland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
135,Cropland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
136,Cropland,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
137,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
138,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
139,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Water
140,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
141,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
142,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
143,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
144,Cropland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
145,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
146,Cropland,Forest,NULL,Water,Non_Wetland,NULL,NULL,Water
147,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
148,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
149,Cropland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
150,Cropland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
151,Cropland,Forest,Grassland,Non_Water,Non_Wetland,Water,Water,Grassland
152,Cropland,Forest,Cropland,Water,Non_Wetland,NULL,NULL,Water
153,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
154,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
155,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
156,Wetland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
157,Wetland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
158,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
159,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
160,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
161,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
162,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
163,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
164,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
165,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
166,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Water
167,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
168,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
169,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
170,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
171,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
172,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
173,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
174,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
175,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
176,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
177,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
178,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
179,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
180,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
181,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
182,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
183,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
184,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
185,Bareland,NULL,Water,Water,Water,NULL,NULL,Water
186,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
187,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
188,Bareland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
189,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
190,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
191,Bareland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
192,Bareland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
193,Bareland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
194,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
195,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
196,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
197,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
198,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
199,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
200,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
201,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
202,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
203,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
204,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
205,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
206,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
207,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
208,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
209,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
210,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
211,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
212,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
213,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
214,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
215,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
216,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
217,Bareland,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
218,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
219,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
220,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
221,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
222,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
223,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
224,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
225,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
226,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
227,Bareland,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
228,Bareland,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
229,Bareland,Bareland,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
230,Bareland,Bareland,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Bareland
231,Bareland,Bareland,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
232,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
233,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
234,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
235,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
236,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
237,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
238,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
239,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
240,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
241,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
242,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
243,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
244,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
245,Bareland,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
246,Bareland,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
247,Bareland,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Water
248,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Water
249,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Forest
250,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
251,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
252,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Water
253,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Forest
254,Bareland,Bareland,Water,Water,Water,NULL,NULL,Grassland
255,Bareland,Bareland,Water,Water,Water,NULL,NULL,Bareland
256,Bareland,Bareland,Water,Water,Water,NULL,NULL,Water
257,Bareland,Bareland,Water,Water,Water,NULL,NULL,Forest
258,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
259,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
260,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
261,Bareland,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
262,Bareland,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
263,Bareland,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
264,Bareland,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
265,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
266,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
267,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Forest
268,Bareland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
269,Bareland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
270,Bareland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
271,Bareland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
272,Bareland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
273,Bareland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
274,Bareland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
275,Bareland,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
276,Bareland,Water,NULL,Water,Non_Wetland,NULL,NULL,Bareland
277,Bareland,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
278,Bareland,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
279,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
280,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
281,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
282,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
283,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
284,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
285,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
286,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
287,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
288,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
289,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
290,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
291,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
292,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
293,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
294,Bareland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
295,Bareland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
296,Bareland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
297,Bareland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
298,Bareland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
299,Bareland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
300,Bareland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
301,Bareland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
302,Bareland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
303,Bareland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Water
304,Bareland,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
305,Bareland,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
306,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
307,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
308,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
309,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
310,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
311,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
312,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
313,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
314,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
315,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
316,Bareland,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
317,Bareland,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Water
318,Bareland,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
319,Bareland,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
320,Bareland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
321,Bareland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
322,Bareland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
323,Bareland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
324,Bareland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
325,Bareland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
326,Bareland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
327,Bareland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
328,Bareland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
329,Bareland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Forest
330,Bareland,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
331,Bareland,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
332,Bareland,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
333,Bareland,Water,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
334,Bareland,Water,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
335,Bareland,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
336,Bareland,Water,Water,NULL,Water,NULL,NULL,Water
337,Bareland,Water,Water,NULL,Water,NULL,NULL,Forest
338,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Bareland
339,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Water
340,Bareland,Water,Water,Water,Water,NULL,NULL,Grassland
341,Bareland,Water,Water,Water,Water,NULL,NULL,Bareland
