Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MDV_M_R
171,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
172,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
173,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
174,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
175,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
176,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
177,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
178,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
179,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
180,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
181,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
182,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
183,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
184,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
185,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
186,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
187,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Forest,Forest
188,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
189,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
190,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
191,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Forest
192,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
193,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
194,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
195,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
196,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Bareland
197,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
198,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
199,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
200,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
201,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
202,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
203,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
204,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
205,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
206,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Water
207,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
208,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
209,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
210,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
211,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
212,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
213,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
214,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Grassland
215,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
216,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
217,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
218,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
219,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
220,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
221,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
222,NULL,NULL,Water,NULL,Water,Grassland,Bareland,Forest
223,NULL,NULL,Water,NULL,Water,Grassland,Forest,Grassland
224,NULL,NULL,Water,NULL,Water,Grassland,Forest,Forest
225,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
226,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Bareland
227,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Forest
228,NULL,NULL,Water,NULL,Water,Water,Bareland,Forest
229,NULL,NULL,Water,Non_Water,Water,Grassland,Forest,Forest
230,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
231,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
232,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
233,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
234,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
235,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
236,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
237,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
238,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Grassland
239,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Forest
240,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
241,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
242,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
243,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
244,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
245,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
246,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
247,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
248,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
249,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
250,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
251,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
252,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
253,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
254,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
255,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Bareland
256,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
257,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
258,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
259,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
260,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
261,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
262,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
263,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
264,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
265,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
266,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
267,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
268,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
269,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
270,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
271,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
272,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
273,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
274,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
275,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
276,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
277,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
278,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
279,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
280,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
281,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
282,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
283,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Forest,Grassland
284,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
285,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Forest
286,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
287,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
288,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
289,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
290,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
291,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
292,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
293,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
294,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
295,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
296,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
297,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
298,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
299,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
300,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
301,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
302,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
303,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
304,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
305,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
306,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
307,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
308,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
309,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
310,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
311,NULL,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
312,NULL,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Forest
313,NULL,Cropland,Wetland,NULL,Wetland,Bareland,Grassland,Forest
314,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
315,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
316,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
317,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
318,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
319,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
320,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
321,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
322,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
323,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
324,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
325,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
