Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NCE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NCE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NCE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NCE_M_R
342,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
343,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
344,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
345,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
346,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
347,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
348,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
349,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
350,Wetland,NULL,Water,NULL,Water,NULL,NULL,Grassland
351,Wetland,NULL,Water,NULL,Water,NULL,NULL,Wetland
352,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
353,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
354,Wetland,NULL,Water,Water,Water,NULL,NULL,Wetland
355,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
356,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
357,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
358,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
359,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
360,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
361,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
362,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
363,Wetland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
364,Wetland,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
365,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
366,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
367,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
368,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
369,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
370,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
371,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
372,Wetland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
373,Wetland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
374,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
375,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
376,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
377,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
378,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
379,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
380,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
381,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
382,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
383,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
384,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
385,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Wetland
386,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Forest
387,Wetland,Wetland,Water,Water,Water,NULL,NULL,Grassland
388,Wetland,Wetland,Water,Water,Water,NULL,NULL,Wetland
389,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
390,Wetland,Wetland,Water,Water,Water,NULL,NULL,Forest
391,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
392,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
393,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
394,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
395,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
396,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
397,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
398,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
399,Wetland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
400,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
401,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
402,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
403,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
404,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
405,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
406,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
407,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
408,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
409,Wetland,Water,Water,NULL,Water,NULL,NULL,Wetland
410,Wetland,Water,Water,NULL,Water,NULL,NULL,Water
411,Wetland,Water,Water,NULL,Water,NULL,NULL,Forest
412,Wetland,Water,Water,Water,Water,NULL,NULL,Grassland
413,Wetland,Water,Water,Water,Water,NULL,NULL,Wetland
414,Wetland,Water,Water,Water,Water,NULL,NULL,Water
415,Wetland,Water,Water,Water,Water,NULL,NULL,Forest
416,Wetland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
417,Wetland,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
418,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
419,Wetland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
420,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
421,Wetland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
422,Wetland,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
423,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
424,Wetland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
425,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
426,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
427,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
428,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
429,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
430,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
431,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
432,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
433,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
434,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
435,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
436,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
437,Bareland,NULL,Water,NULL,Water,NULL,NULL,Bareland
438,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
439,Bareland,NULL,Water,Water,Water,NULL,NULL,Grassland
440,Bareland,NULL,Water,Water,Water,NULL,NULL,Bareland
441,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
442,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
443,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
444,Bareland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
445,Bareland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
446,Bareland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
447,Bareland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
448,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
449,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
450,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
451,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
452,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
453,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
454,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
455,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
456,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
457,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
458,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
459,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
460,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
461,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
462,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
463,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
464,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
465,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
466,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
467,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
468,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
469,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
470,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Wetland
471,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
472,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
473,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
474,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
475,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
476,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
477,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
478,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
479,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Grassland
480,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Bareland
481,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Water
482,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
483,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
484,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Water
485,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Forest
486,Bareland,Bareland,Water,Water,Water,NULL,NULL,Grassland
487,Bareland,Bareland,Water,Water,Water,NULL,NULL,Bareland
488,Bareland,Bareland,Water,Water,Water,NULL,NULL,Water
489,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
490,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
491,Bareland,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
492,Bareland,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
493,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
494,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
495,Bareland,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
496,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
497,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
498,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
499,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
500,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
501,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
502,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
503,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
504,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
505,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
506,Bareland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
507,Bareland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
508,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
509,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
510,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
511,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
512,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
513,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
514,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
515,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
516,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
517,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
518,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
519,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
520,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
521,Bareland,Water,Water,NULL,Water,NULL,NULL,Grassland
522,Bareland,Water,Water,NULL,Water,NULL,NULL,Bareland
523,Bareland,Water,Water,NULL,Water,NULL,NULL,Water
524,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Grassland
525,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Bareland
526,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Water
527,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Forest
528,Bareland,Water,Water,Water,Water,NULL,NULL,Grassland
529,Bareland,Water,Water,Water,Water,NULL,NULL,Bareland
530,Bareland,Water,Water,Water,Water,NULL,NULL,Water
531,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
532,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
533,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
534,Bareland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
535,Bareland,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
536,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
537,Bareland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
538,Bareland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
539,Bareland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
540,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
541,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
542,Bareland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
543,Bareland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
544,Bareland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
545,Bareland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
546,Bareland,Forest,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
547,Bareland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
548,Bareland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
549,Bareland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
550,Bareland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
551,Bareland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
552,Bareland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
553,Bareland,Forest,Wetland,Water,Wetland,NULL,NULL,Bareland
554,Bareland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
555,Bareland,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
556,Bareland,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
557,Bareland,Forest,Water,NULL,Water,NULL,NULL,Water
558,Bareland,Forest,Water,Non_Water,Water,NULL,NULL,Bareland
559,Bareland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
560,Bareland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
561,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
562,Water,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
563,Water,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
564,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
565,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
566,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
567,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
568,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
569,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
570,Water,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
571,Water,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
572,Water,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
573,Water,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
574,Water,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
575,Water,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
576,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
577,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
578,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
579,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
580,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
581,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
582,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
583,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
584,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
585,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
586,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Water
587,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
588,Water,NULL,Water,NULL,Water,NULL,NULL,Grassland
589,Water,NULL,Water,NULL,Water,NULL,NULL,Wetland
590,Water,NULL,Water,NULL,Water,NULL,NULL,Forest
591,Water,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
592,Water,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
593,Water,NULL,Water,Non_Water,Water,NULL,NULL,Water
594,Water,NULL,Water,Water,Water,NULL,NULL,Grassland
595,Water,NULL,Water,Water,Water,NULL,NULL,Wetland
596,Water,NULL,Water,Water,Water,NULL,NULL,Water
597,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
598,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
599,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
600,Water,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
601,Water,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
602,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
603,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
604,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
605,Water,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
606,Water,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
607,Water,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
608,Water,Cropland,Water,Water,Water,NULL,NULL,Grassland
609,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
610,Water,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
611,Water,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
612,Water,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
613,Water,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
614,Water,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
615,Water,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
616,Water,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
617,Water,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
618,Water,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
619,Water,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
620,Water,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
621,Water,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Water
622,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
623,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
624,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
625,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
626,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
627,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
628,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
629,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
630,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
631,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
632,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
633,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
634,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
635,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
636,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
637,Water,Wetland,Water,NULL,Water,NULL,NULL,Grassland
638,Water,Wetland,Water,NULL,Water,NULL,NULL,Wetland
639,Water,Wetland,Water,NULL,Water,NULL,NULL,Water
640,Water,Wetland,Water,NULL,Water,NULL,NULL,Forest
641,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
642,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
643,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Bareland
644,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Water
645,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
646,Water,Wetland,Water,Water,Water,NULL,NULL,Grassland
647,Water,Wetland,Water,Water,Water,NULL,NULL,Wetland
648,Water,Wetland,Water,Water,Water,NULL,NULL,Water
649,Water,Wetland,Water,Water,Water,NULL,NULL,Forest
650,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
651,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
652,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
653,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
654,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
655,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
656,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
657,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
658,Water,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
659,Water,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
660,Water,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
661,Water,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
662,Water,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
663,Water,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
664,Water,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
665,Water,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
666,Water,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
667,Water,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
668,Water,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
669,Water,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
670,Water,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
671,Water,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
672,Water,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
673,Water,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
674,Water,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
675,Water,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
676,Water,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
677,Water,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
678,Water,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
679,Water,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
680,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
681,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
682,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
683,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
684,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
685,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
686,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
687,Water,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
688,Water,Bareland,Water,NULL,Water,NULL,NULL,Grassland
689,Water,Bareland,Water,NULL,Water,NULL,NULL,Water
690,Water,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
691,Water,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
692,Water,Bareland,Water,Non_Water,Water,NULL,NULL,Water
693,Water,Bareland,Water,Water,Water,NULL,NULL,Grassland
694,Water,Bareland,Water,Water,Water,NULL,NULL,Bareland
695,Water,Bareland,Water,Water,Water,NULL,NULL,Water
696,Water,Bareland,Water,Water,Water,NULL,NULL,Forest
697,Water,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
698,Water,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
699,Water,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
700,Water,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
701,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
702,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
703,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
