Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LZP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LZP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LZP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LZP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LZP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LZP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LZP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LZP_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
51,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
66,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
67,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
68,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
69,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
70,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
71,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
72,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
73,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
74,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
75,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Wetland
76,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
79,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
80,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
81,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
82,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Cropland
83,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Wetland
84,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
85,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
86,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
87,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
88,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
89,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
91,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
95,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
100,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
101,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
104,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Wetland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
108,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Wetland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Wetland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Wetland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Built-up,Grassland
147,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
148,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
149,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,NULL
150,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
151,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
152,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
153,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
154,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
155,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
156,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
157,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
158,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
159,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
160,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
161,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
162,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
163,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
164,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
165,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Wetland
166,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
167,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
168,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Grassland
169,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up,Grassland
170,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up,Cropland
171,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up,Built-up
172,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up,Forest
173,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
174,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
175,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
176,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Wetland
177,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
178,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
179,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
180,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
181,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
182,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
183,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
184,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,NULL
185,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
186,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
187,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
188,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
189,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
190,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Wetland
191,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
192,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
193,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Wetland
194,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
195,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
196,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
197,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,NULL,Grassland
198,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,NULL,Forest
199,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,NULL
200,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
201,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Cropland
202,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
203,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
204,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
205,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
206,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
207,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
208,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
209,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
210,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
211,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
212,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland,NULL,Cropland
213,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Bareland,Grassland
214,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
215,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
216,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
217,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
218,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
219,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
220,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
221,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
222,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
223,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Wetland
224,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
225,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
226,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
227,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Wetland
228,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
229,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
230,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Built-up
231,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
232,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
233,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
234,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
235,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
236,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
237,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
238,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
239,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
240,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
241,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
242,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
243,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,NULL
244,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
245,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
246,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
247,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
248,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,NULL
249,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
250,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
251,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
252,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
253,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Cropland
254,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
255,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
256,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
257,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
258,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
259,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
260,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
261,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
262,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
263,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
264,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Built-up
265,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Forest
266,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
267,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,NULL
268,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
269,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
270,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
271,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
272,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
273,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
274,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
275,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
276,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
277,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
278,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
279,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
280,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Built-up,Grassland
281,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
282,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
283,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
284,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
285,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
286,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
287,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Cropland
288,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
289,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
290,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
291,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Bareland,Grassland
292,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Grassland
293,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
294,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
295,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
296,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
297,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
298,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
299,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
300,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Wetland
301,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
302,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
303,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
304,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland,Wetland
305,NULL,NULL,Wetland,NULL,Wetland,NULL,Built-up,Grassland
306,NULL,NULL,Wetland,NULL,Wetland,NULL,Built-up,Wetland
307,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
308,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Wetland
309,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
310,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
311,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
312,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
313,NULL,NULL,Wetland,NULL,Wetland,Grassland,Built-up,Grassland
314,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
315,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Wetland
316,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
317,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
318,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
319,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
320,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
321,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
322,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
323,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
324,NULL,NULL,Wetland,NULL,Wetland,Bareland,NULL,Wetland
325,NULL,NULL,Wetland,NULL,Wetland,Built-up,NULL,Wetland
326,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Wetland
