Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MLC_M_R
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
33,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
34,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
35,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
36,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
38,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
39,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Forest
41,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Forest
42,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
43,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
44,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
45,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
46,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
47,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
48,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
49,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
50,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
51,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
52,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
53,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
54,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
55,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
56,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
57,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
58,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
59,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
60,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
61,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
62,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Bareland,Grassland
63,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
64,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
65,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
66,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
67,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
68,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
69,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
70,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
71,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
72,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
73,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
74,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
75,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
76,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
77,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
78,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
79,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
80,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Forest
81,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
82,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
83,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
84,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
85,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
86,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
87,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
88,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Grassland
89,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
90,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
91,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
92,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
93,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
94,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
95,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
96,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
97,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
98,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
99,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water,Forest
100,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
101,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
102,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
103,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
104,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
105,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
106,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
107,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
108,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
109,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
110,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
111,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
112,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
113,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
114,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
115,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
116,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
117,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
118,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
119,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
120,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
121,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
122,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
123,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
124,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
125,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Wetland
126,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
127,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
128,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
129,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
130,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
131,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
132,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
133,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
134,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
135,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
136,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
137,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
138,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
139,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
140,NULL,Wetland,Wetland,NULL,Wetland,Forest,Wetland,Forest
141,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
142,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
143,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
144,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
145,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Forest
146,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Forest
147,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Grassland
148,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Wetland
149,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
150,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
151,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
152,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
153,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Forest
154,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
155,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
156,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
157,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Water
158,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
159,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
160,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
161,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
162,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
163,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
164,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Forest
165,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
166,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
167,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
168,NULL,Wetland,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
169,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
170,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
171,NULL,Bareland,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
172,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
173,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
174,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
175,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
176,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
177,NULL,Bareland,Shrubland,Water,Non_Wetland,Wetland,Bareland,Grassland
178,NULL,Bareland,Built-up,NULL,Non_Wetland,Water,Water,Built-up
179,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
180,NULL,Bareland,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
181,NULL,Bareland,Forest,NULL,Non_Wetland,Wetland,Water,Forest
182,NULL,Bareland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
183,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
184,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
185,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
186,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
187,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
188,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
189,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Bareland,Built-up
190,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
191,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
192,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
193,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
194,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
195,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
196,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
197,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
198,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
199,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
200,NULL,Built-up,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
201,NULL,Built-up,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
202,NULL,Built-up,NULL,Water,Non_Wetland,Wetland,Bareland,Grassland
203,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
204,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
205,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
206,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
207,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
208,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
209,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
210,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
211,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
212,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
213,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
214,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
215,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
216,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Built-up
217,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
218,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Forest
219,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
220,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
221,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
222,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Water
223,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
224,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
225,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
226,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
227,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
228,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
229,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
230,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
231,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
232,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
233,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
234,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
235,NULL,Built-up,Shrubland,Water,Non_Wetland,Wetland,Bareland,Grassland
236,NULL,Built-up,Shrubland,Water,Non_Wetland,Water,Bareland,Grassland
237,NULL,Built-up,Shrubland,Water,Non_Wetland,Water,Water,Grassland
238,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
239,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
240,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
241,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Forest
242,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
243,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Water,Grassland
244,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Forest
245,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
246,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Bareland,Forest
247,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Water,Grassland
248,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Water,Forest
249,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
250,NULL,Built-up,Wetland,NULL,Wetland,Water,Wetland,Forest
251,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
252,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland,Bareland,Grassland
253,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
254,NULL,Built-up,Wetland,Water,Wetland,Grassland,Wetland,Grassland
255,NULL,Built-up,Wetland,Water,Wetland,Water,Wetland,Grassland
256,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
257,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Bareland,Forest
258,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Bareland,Grassland
259,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
260,NULL,Built-up,Bareland,NULL,Non_Wetland,Water,Bareland,Grassland
261,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
262,NULL,Built-up,Bareland,Water,Non_Wetland,Wetland,Bareland,Grassland
263,NULL,Built-up,Bareland,Water,Non_Wetland,Water,Bareland,Grassland
264,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Built-up
265,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
266,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
267,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
268,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
269,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
270,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
271,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
272,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,Built-up
273,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,Forest
274,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Built-up,Forest
275,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
276,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Forest
277,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
278,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
279,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
280,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
281,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
282,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
283,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Wetland,Grassland
284,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Wetland,Built-up
285,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,Grassland
286,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Built-up,Forest
287,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
288,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
289,NULL,Built-up,Built-up,Water,Non_Wetland,Wetland,Water,Grassland
290,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
291,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
292,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
293,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
294,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
295,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
296,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
297,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
298,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
299,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Built-up
300,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
301,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
302,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
303,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
304,NULL,Built-up,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
305,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
306,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
307,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
308,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
309,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
310,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Water
311,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
312,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
313,NULL,Water,Wetland,NULL,Wetland,Water,Water,Grassland
314,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
315,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Water
316,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
317,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
318,NULL,Water,Wetland,Water,Wetland,Water,Water,Grassland
319,NULL,Water,Wetland,Water,Wetland,Water,Water,Wetland
320,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
321,NULL,Water,Bareland,NULL,Non_Wetland,Wetland,Water,Water
322,NULL,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
323,NULL,Water,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
324,NULL,Water,Bareland,Water,Non_Wetland,Water,Water,Water
325,NULL,Water,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
326,NULL,Water,Built-up,NULL,Non_Wetland,Water,Wetland,Grassland
327,NULL,Water,Water,NULL,Water,Wetland,Water,Grassland
328,NULL,Water,Water,Non_Water,Water,Wetland,Water,Water
329,NULL,Water,Water,Water,Water,Wetland,Water,Water
330,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
