Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NXJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NXJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NXJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NXJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NXJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18NXJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18NXJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NXJ_M_R
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
54,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
55,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
56,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
57,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
58,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
59,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
60,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
61,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
62,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
63,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
64,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
65,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
66,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
67,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
68,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
69,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
70,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
71,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
72,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Built-up
73,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
74,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
75,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
76,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
77,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
78,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
79,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
80,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
81,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
82,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
83,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
84,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
85,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
86,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
87,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
88,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
89,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
90,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
91,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
92,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
93,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
94,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
95,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
96,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
97,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
98,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
99,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
100,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
101,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
102,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
103,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
104,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
105,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
106,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
107,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
108,NULL,NULL,Water,Water,Water,NULL,NULL,Water
109,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
110,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
111,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
112,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
113,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
114,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
115,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
116,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
117,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
118,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
119,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
120,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
121,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
122,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
123,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
124,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
125,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
126,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
127,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
128,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
129,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
130,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
131,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
132,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
133,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
134,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
135,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
136,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
137,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
138,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
139,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
140,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
141,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
142,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
143,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
144,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
145,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
146,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
147,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
148,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
149,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
150,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
151,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
152,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
153,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
154,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
155,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
156,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
157,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
158,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
159,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
160,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
161,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
162,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
163,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
164,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
165,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
166,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
167,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
168,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Water
169,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
170,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
171,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
172,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
173,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
174,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
175,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
176,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
177,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
178,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
179,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
180,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
181,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
182,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Water
183,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
184,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
185,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
186,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Bareland
187,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
188,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
189,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
190,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
191,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
192,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
193,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
194,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
195,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
196,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Water
197,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
198,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
199,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
200,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
201,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
202,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
203,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
204,NULL,Cropland,Water,NULL,Water,NULL,NULL,Bareland
205,NULL,Cropland,Water,NULL,Water,NULL,NULL,Water
206,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
207,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
208,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Bareland
209,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Water
210,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Forest
211,NULL,Cropland,Water,Water,Water,NULL,NULL,Grassland
212,NULL,Cropland,Water,Water,Water,NULL,NULL,Wetland
213,NULL,Cropland,Water,Water,Water,NULL,NULL,Bareland
214,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
215,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
216,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
217,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
218,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
219,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
220,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
221,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
222,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
223,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
224,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
225,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
226,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
227,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
228,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
229,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
230,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Water
231,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Forest
232,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
233,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
234,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
235,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
236,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
237,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
238,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
239,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
240,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
241,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
242,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
243,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
244,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
245,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
246,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
247,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
248,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
249,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
250,NULL,Wetland,Water,NULL,Water,NULL,NULL,Wetland
251,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
252,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
253,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
254,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
255,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
256,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
257,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
258,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
259,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
260,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
261,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
262,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
263,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
264,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
265,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
266,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
267,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
268,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
269,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
270,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
271,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
272,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
273,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
274,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
275,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
276,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
277,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
278,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
279,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
280,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
281,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
282,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
283,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
284,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
285,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
286,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
287,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
288,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
289,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
290,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
291,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
292,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
293,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
294,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
295,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
296,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Wetland
297,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
298,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
299,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
300,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
301,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
302,NULL,Bareland,Water,NULL,Water,NULL,NULL,Grassland
303,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
304,NULL,Bareland,Water,NULL,Water,NULL,NULL,Water
305,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
306,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
307,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Water
308,NULL,Bareland,Water,Water,Water,NULL,NULL,Grassland
309,NULL,Bareland,Water,Water,Water,NULL,NULL,Cropland
310,NULL,Bareland,Water,Water,Water,NULL,NULL,Wetland
311,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
312,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
313,NULL,Bareland,Water,Water,Water,NULL,NULL,Forest
314,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
315,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
316,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
317,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
318,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
319,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
320,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
321,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
322,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
323,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
324,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Forest
325,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
326,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
327,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
328,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
329,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
330,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
331,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
332,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
333,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
334,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
335,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
336,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
337,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
338,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
339,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
340,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
341,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
342,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
