Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LHP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LHP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LHP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LHP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LHP_M_R
3399,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
3400,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
3401,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
3402,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
3403,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
3404,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
3405,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
3406,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
3407,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
3408,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
3409,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
3410,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Bareland
3411,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
3412,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
3413,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
3414,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
3415,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
3416,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
3417,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
3418,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
3419,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
3420,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
3421,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
3422,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
3423,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
3424,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
3425,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
3426,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
3427,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
3428,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
3429,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
3430,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
3431,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
3432,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
3433,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
3434,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
3435,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
3436,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
3437,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
3438,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
3439,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
3440,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
3441,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
3442,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
3443,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
3444,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
3445,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
3446,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
3447,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
3448,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
3449,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
3450,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
3451,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
3452,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
3453,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
3454,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
3455,Grassland,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
3456,Grassland,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
3457,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
3458,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
3459,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
3460,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
3461,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
3462,Grassland,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
3463,Grassland,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
3464,Grassland,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
3465,Grassland,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
3466,Grassland,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Wetland
3467,Grassland,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Water
3468,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,NULL
3469,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
3470,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
3471,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Wetland
3472,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
3473,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
3474,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Water,Water
3475,Grassland,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
3476,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
3477,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3478,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
3479,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
3480,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
3481,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
3482,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
3483,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
3484,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
3485,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
3486,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
3487,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
3488,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
3489,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
3490,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
3491,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
3492,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
3493,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
3494,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
3495,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
3496,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
3497,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
3498,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
3499,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
3500,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
3501,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
3502,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
3503,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
3504,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3505,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3506,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
3507,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
3508,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
3509,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
3510,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3511,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
3512,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3513,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
3514,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
3515,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
3516,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
3517,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
3518,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
3519,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
3520,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
3521,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
3522,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
3523,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
3524,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
3525,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
3526,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
3527,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
3528,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
3529,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
3530,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
3531,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
3532,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
3533,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3534,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
3535,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
3536,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
3537,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
3538,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
3539,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
3540,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3541,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3542,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
3543,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
3544,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
3545,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
3546,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
3547,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
3548,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
3549,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
3550,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
3551,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
3552,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
3553,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
3554,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
3555,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
3556,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
3557,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
3558,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
3559,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
3560,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
3561,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
3562,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
3563,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
3564,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Bareland
3565,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
3566,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
3567,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
3568,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
3569,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
3570,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
3571,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,NULL
3572,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Cropland
3573,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,NULL
3574,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
3575,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
3576,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
3577,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
3578,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
3579,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
3580,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
3581,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
3582,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
3583,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
3584,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
3585,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
3586,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
3587,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
3588,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
3589,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
3590,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
3591,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
3592,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
3593,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
3594,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
3595,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
3596,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
3597,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
3598,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
3599,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3600,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
3601,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
3602,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
3603,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
3604,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
3605,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
3606,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
3607,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
3608,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
3609,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
3610,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
3611,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
3612,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
3613,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
3614,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
3615,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
3616,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
3617,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
3618,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
3619,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
3620,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
3621,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
3622,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
3623,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
3624,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
3625,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Wetland
3626,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
3627,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
3628,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
3629,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
3630,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
3631,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,Grassland
3632,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
3633,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
3634,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
3635,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
3636,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
3637,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
3638,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
3639,Grassland,NULL,Shrubland,Water,Non_Wetland,Shrubland,Shrubland,Grassland
3640,Grassland,NULL,Shrubland,Water,Non_Wetland,Shrubland,Shrubland,Cropland
3641,Grassland,NULL,Shrubland,Water,Non_Wetland,Shrubland,Grassland,Grassland
3642,Grassland,NULL,Shrubland,Water,Non_Wetland,Shrubland,Wetland,Grassland
3643,Grassland,NULL,Shrubland,Water,Non_Wetland,Shrubland,Wetland,Wetland
3644,Grassland,NULL,Shrubland,Water,Non_Wetland,Shrubland,Water,Grassland
3645,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
3646,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Shrubland,Grassland
3647,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
3648,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Cropland
3649,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
3650,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
3651,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
3652,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
3653,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
3654,Grassland,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
3655,Grassland,NULL,Shrubland,Water,Non_Wetland,Water,Water,Wetland
3656,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
3657,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
3658,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
3659,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
3660,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
3661,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
3662,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
3663,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up,Grassland
3664,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,NULL
3665,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
3666,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
3667,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
3668,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
3669,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3670,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3671,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
3672,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3673,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
3674,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3675,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
3676,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
3677,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
3678,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,NULL
3679,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
3680,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
3681,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
3682,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
3683,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
3684,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
3685,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
3686,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3687,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
3688,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
3689,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3690,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3691,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
3692,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
3693,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
3694,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
3695,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
3696,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,NULL
3697,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
3698,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
3699,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
3700,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,NULL
3701,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
3702,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
3703,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
3704,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
3705,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Forest
3706,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3707,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
3708,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
3709,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
3710,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Shrubland,Grassland
