Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LZQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LZQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LZQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LZQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LZQ_M_R
53,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Bareland
54,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
55,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Grassland
56,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Bareland
57,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Forest
58,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Bareland
59,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
60,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
61,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
62,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
63,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
64,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Forest,Forest
65,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Forest
66,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Bareland,Grassland
67,NULL,NULL,Grassland,Water,Non_Wetland,Water,Forest,Water
68,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
69,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
70,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
71,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
72,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
73,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
74,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
75,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
76,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
77,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Forest,Grassland
78,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
79,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
80,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
81,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water,Grassland,Grassland
82,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water,Grassland,Bareland
83,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
84,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
85,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
86,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Bareland,Forest
87,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
88,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
89,NULL,NULL,Water,NULL,Water,Grassland,Bareland,Forest
90,NULL,NULL,Water,NULL,Water,Grassland,Water,Forest
91,NULL,NULL,Water,NULL,Water,Grassland,Forest,Forest
92,NULL,NULL,Water,NULL,Water,Bareland,Forest,Water
93,NULL,NULL,Water,NULL,Water,Water,Grassland,Bareland
94,NULL,NULL,Water,NULL,Water,Water,Water,Water
95,NULL,NULL,Water,NULL,Water,Water,Forest,Water
96,NULL,NULL,Water,Non_Water,Water,Grassland,Water,Forest
97,NULL,NULL,Water,Water,Water,Bareland,Bareland,Forest
98,NULL,NULL,Water,Water,Water,Bareland,Forest,Forest
99,NULL,NULL,Water,Water,Water,Water,Bareland,Grassland
100,NULL,NULL,Water,Water,Water,Water,Water,Bareland
101,NULL,NULL,Water,Water,Water,Water,Water,Water
102,NULL,NULL,Water,Water,Water,Water,Water,Forest
103,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
104,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
105,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
106,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
107,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
108,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
109,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
110,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
111,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Built-up
112,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
113,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
114,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
115,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
116,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
117,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
118,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Forest
119,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Bareland
120,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
121,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
122,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
123,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
124,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Forest,Grassland
125,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Forest,Forest
126,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
127,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Bareland
128,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
129,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
130,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Forest
131,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Forest
132,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
133,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
134,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
135,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
136,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
137,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
138,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
139,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
140,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
141,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Bareland,Water
142,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Bareland,Forest
143,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Forest,Grassland
144,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Forest,Forest
145,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Grassland,Forest
146,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Bareland,Forest
147,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Forest
148,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,Grassland,Forest
149,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
150,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Water
151,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Forest
152,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Bareland,Forest
153,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Water,Grassland
154,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Forest,Grassland
155,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Grassland,Grassland
156,NULL,NULL,Forest,Water,Non_Wetland,Water,Bareland,Grassland
157,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Water
158,NULL,NULL,Forest,Water,Non_Wetland,Water,Forest,Water
159,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
160,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
161,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
162,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
163,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
164,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
165,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
166,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
167,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
168,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
169,NULL,Cropland,Water,Water,Water,Grassland,Water,Water
170,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
171,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
172,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
173,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
174,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
175,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest,Grassland,Forest
176,NULL,Cropland,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
177,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
178,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland,Forest,Bareland
179,NULL,Bareland,Water,NULL,Water,Water,Grassland,Forest
180,NULL,Bareland,Water,NULL,Water,Water,Forest,Water
181,NULL,Bareland,Water,Non_Water,Water,Water,Grassland,Water
182,NULL,Bareland,Water,Non_Water,Water,Water,Forest,Forest
183,NULL,Bareland,Water,Water,Water,Water,Grassland,Bareland
184,NULL,Bareland,Water,Water,Water,Water,Grassland,Water
185,NULL,Bareland,Water,Water,Water,Water,Wetland,Water
186,NULL,Bareland,Water,Water,Water,Water,Water,Bareland
187,NULL,Bareland,Water,Water,Water,Water,Water,Water
188,NULL,Bareland,Water,Water,Water,Water,Forest,Water
189,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,Forest,Forest
190,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
191,NULL,Bareland,Forest,NULL,Non_Wetland,Water,Forest,Water
192,NULL,Bareland,Forest,NULL,Non_Wetland,Water,Forest,Forest
193,NULL,Bareland,Forest,Non_Water,Non_Wetland,Water,Grassland,Forest
194,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
195,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
196,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
197,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
198,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
199,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
200,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
201,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
202,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
203,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
204,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
205,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
206,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
207,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
208,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
209,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
210,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
211,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Water,Forest
212,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Grassland,Forest
213,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Bareland,Forest
214,NULL,Built-up,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
215,NULL,Built-up,NULL,Water,Non_Wetland,Built-up,Water,Built-up
216,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
217,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
218,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
219,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
220,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
221,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Bareland
222,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
223,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
224,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Bareland,Bareland
225,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Water,Forest
226,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
227,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Forest
228,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland,Wetland,Forest
229,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
230,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
231,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
232,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
233,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
234,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
235,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
236,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
237,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Built-up
238,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
239,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
240,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
241,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
242,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
243,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
244,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
245,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
246,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
247,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
248,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
249,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
250,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
251,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
252,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
253,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
254,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Bareland
255,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
256,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
257,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
258,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Forest,Forest
259,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
260,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
261,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Bareland,Grassland
262,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Bareland,Forest
263,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Water,Forest
264,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Built-up,Forest
265,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
266,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
267,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
268,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland,Water,Forest
269,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Forest
270,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
271,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
272,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
273,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
274,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up,Built-up,Bareland
275,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up,Built-up,Forest
276,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
277,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland,Grassland,Water
278,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland,Bareland,Forest
279,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
280,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland,Wetland,Forest
281,NULL,Built-up,Grassland,Water,Non_Wetland,Built-up,Built-up,Grassland
282,NULL,Built-up,Grassland,Water,Non_Wetland,Built-up,Water,Forest
283,NULL,Built-up,Grassland,Water,Non_Wetland,Water,Grassland,Bareland
284,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
285,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
286,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
287,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
288,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
289,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Bareland
290,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
291,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
292,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
293,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
294,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
295,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
296,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Bareland,Built-up
297,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
298,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
299,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
300,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
301,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up,Built-up,Forest
302,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up,Water,Water
303,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up,Built-up,Grassland
304,NULL,Built-up,Bareland,Water,Non_Wetland,Water,Water,Water
305,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
306,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
307,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
308,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
309,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
310,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
311,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
312,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
313,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Forest
314,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
315,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Bareland
316,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
317,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
318,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
319,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
320,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
321,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
322,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Forest,Grassland
323,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Forest,Built-up
324,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Forest,Forest
325,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
326,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,Forest
327,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
328,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Built-up,Bareland
329,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Built-up,Forest
