Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MQB_M_R
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Wetland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Water,Bareland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Built-up
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
266,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
267,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
268,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
269,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
270,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
271,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
272,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Wetland
273,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
274,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
275,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Wetland
276,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Forest
277,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
278,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Forest
279,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
280,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
281,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
282,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
283,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
284,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Forest
285,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
286,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
287,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
288,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
289,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
290,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
291,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
292,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
293,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
294,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Built-up,Built-up
295,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
296,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
297,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
298,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Bareland,Grassland
299,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Grassland
300,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
301,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
302,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
303,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
304,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
305,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
306,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
307,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Wetland
308,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Forest
309,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
310,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Wetland
311,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
312,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Grassland
313,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
314,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Forest
315,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
316,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
317,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Water
318,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
319,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
320,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
321,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Built-up
322,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
323,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Grassland
324,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Built-up
325,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Forest
