Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LTC_M_R
3567,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
3568,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3569,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
3570,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
3571,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
3572,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Wetland,Wetland
3573,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3574,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3575,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3576,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
3577,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
3578,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
3579,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
3580,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
3581,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3582,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
3583,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
3584,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
3585,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
3586,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3587,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
3588,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
3589,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3590,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
3591,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
3592,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
3593,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
3594,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
3595,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
3596,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
3597,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
3598,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Wetland
3599,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
3600,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
3601,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
3602,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
3603,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Wetland
3604,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
3605,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
3606,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
3607,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
3608,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
3609,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
3610,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
3611,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
3612,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
3613,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
3614,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
3615,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
3616,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
3617,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
3618,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
3619,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
3620,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
3621,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
3622,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
3623,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
3624,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
3625,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
3626,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
3627,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
3628,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
3629,Grassland,Cropland,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
3630,Grassland,Cropland,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
3631,Grassland,Cropland,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
3632,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
3633,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
3634,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
3635,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
3636,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
3637,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
3638,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
3639,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
3640,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
3641,Grassland,Cropland,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
3642,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
3643,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3644,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
3645,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
3646,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
3647,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
3648,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
3649,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
3650,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
3651,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3652,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
3653,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3654,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
3655,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
3656,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
3657,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
3658,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
3659,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
3660,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
3661,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
3662,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
3663,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
3664,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
3665,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
3666,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3667,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
3668,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
3669,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
3670,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
3671,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
3672,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3673,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3674,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
3675,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
3676,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
3677,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
3678,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
3679,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
3680,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
3681,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
3682,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
3683,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
3684,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
3685,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
3686,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
3687,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
3688,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
3689,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
3690,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
3691,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
3692,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
3693,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
3694,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
3695,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
3696,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
3697,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
3698,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Cropland
3699,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
3700,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
3701,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
3702,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
3703,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
3704,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
3705,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
3706,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
3707,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
3708,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
3709,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
3710,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
3711,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
3712,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
3713,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
3714,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
3715,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
3716,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
3717,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
3718,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
3719,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
3720,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
3721,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
3722,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
3723,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
3724,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
3725,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
3726,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
3727,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
3728,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
3729,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3730,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
3731,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
3732,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
3733,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
3734,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
3735,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
3736,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
3737,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
3738,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
3739,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
3740,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
3741,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
3742,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
3743,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
3744,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
3745,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
3746,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
3747,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
3748,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Wetland
3749,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
3750,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
3751,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
3752,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
3753,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
3754,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Wetland
3755,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
3756,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
3757,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
3758,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
3759,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
3760,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
3761,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
3762,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
3763,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
3764,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Wetland
3765,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
3766,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
3767,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
3768,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
3769,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
3770,Grassland,Cropland,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
3771,Grassland,Cropland,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
3772,Grassland,Cropland,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
3773,Grassland,Cropland,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
3774,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
3775,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
3776,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
3777,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3778,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
3779,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3780,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
3781,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
3782,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
3783,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
3784,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
3785,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
3786,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
3787,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
3788,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
3789,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
3790,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
3791,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3792,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3793,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
3794,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
3795,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
3796,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Forest
3797,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
3798,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
3799,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
3800,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
3801,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
3802,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
3803,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
3804,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3805,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
3806,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
3807,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
3808,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
3809,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
3810,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3811,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3812,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
3813,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
3814,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
3815,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Water
3816,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
3817,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,NULL
3818,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
3819,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
3820,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Wetland
3821,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Bareland
3822,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
3823,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,NULL
3824,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
3825,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
3826,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Wetland
3827,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
3828,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
3829,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
3830,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
3831,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
3832,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
3833,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
3834,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Wetland
3835,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
3836,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
3837,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
3838,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Wetland
3839,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
3840,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
3841,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
3842,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Forest
3843,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,NULL
3844,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
3845,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
3846,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Wetland
3847,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
3848,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Wetland,Grassland
3849,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Wetland,Cropland
3850,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Bareland,Cropland
3851,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
3852,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
3853,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,Forest
3854,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
3855,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,NULL,Cropland
3856,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,NULL,Wetland
3857,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
3858,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
3859,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
3860,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Bareland
3861,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Forest
3862,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Grassland,NULL
3863,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
3864,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Cropland
3865,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Wetland
3866,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Bareland
3867,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Water
3868,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
3869,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
3870,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Wetland,Cropland
3871,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Wetland,Wetland
3872,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Wetland,Bareland
