Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MGT_M_R
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
48,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
49,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
50,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
51,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
52,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
53,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
54,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
55,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
56,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
57,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
58,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Water
59,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
60,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
61,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
62,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
63,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
64,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
65,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
66,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
67,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
68,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
69,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
70,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
71,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
72,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
73,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
74,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
75,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
76,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
77,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
78,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
79,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
80,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
81,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
82,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
83,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
84,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
85,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
86,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
87,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
88,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
89,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
90,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Wetland
91,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
92,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
93,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
94,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
95,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
96,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
97,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
98,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
99,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
100,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Forest
101,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Water,Grassland
102,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
103,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
104,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Grassland
105,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Forest
106,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
107,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
108,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
109,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
110,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
111,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Grassland
112,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Water
113,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
114,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
115,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
116,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
117,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
118,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
119,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
120,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
121,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
122,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Wetland,Grassland
123,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
124,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
125,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Water,Grassland
126,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Wetland,Forest
127,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
128,NULL,NULL,Cropland,Water,Non_Wetland,Water,Wetland,Grassland
129,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
130,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
131,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
132,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
133,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
134,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
135,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
136,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
137,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
138,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
139,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
140,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
141,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
142,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
143,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
144,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
145,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
146,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
147,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
148,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
149,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
150,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
151,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
152,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
153,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
154,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
155,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
156,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
157,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
158,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
159,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
160,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
161,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
162,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
163,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
164,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
165,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
166,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
167,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
168,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
169,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
170,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
171,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
172,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
173,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
174,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
175,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
176,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
177,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
178,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
179,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
180,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
181,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
182,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
183,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
184,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
185,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
186,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
187,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Water
188,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
189,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
190,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
191,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
192,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
193,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
194,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
195,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
196,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
197,NULL,NULL,Wetland,Water,Wetland,Water,Water,Forest
198,NULL,NULL,Wetland,Water,Wetland,Water,Forest,Grassland
199,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland,Wetland,Grassland
200,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland,Wetland,Forest
201,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest,Grassland,Forest
202,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland,Water,Grassland
203,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
204,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
205,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
206,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
207,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
208,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
209,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
210,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
211,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
212,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
213,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Water
214,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
215,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Grassland
216,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
217,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
218,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
219,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Water,Grassland
220,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
221,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
222,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
223,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
224,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
225,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Water,Grassland
226,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
227,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Wetland
228,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
229,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
230,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Water,Grassland
231,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
232,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
233,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
234,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Wetland
235,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Water
236,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Wetland,Grassland
237,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Water,Water
238,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
239,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
240,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Grassland
241,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Wetland
242,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
243,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
244,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
245,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
246,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
247,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
248,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
249,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
250,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
251,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
252,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
253,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Built-up,Built-up
254,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
255,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
256,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
257,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
258,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
259,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
260,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
261,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
262,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
263,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
264,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Water,Grassland
265,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Water,Grassland
266,NULL,NULL,Built-up,Water,Non_Wetland,Water,Wetland,Wetland
267,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Grassland
268,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Forest
269,NULL,NULL,Water,NULL,Water,Wetland,NULL,Grassland
270,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
271,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Forest
272,NULL,NULL,Water,NULL,Water,Bareland,Wetland,Forest
273,NULL,NULL,Water,Non_Water,Water,Grassland,Water,Grassland
274,NULL,NULL,Water,Non_Water,Water,Grassland,Water,Forest
275,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
276,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Forest
277,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Grassland
278,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Forest
279,NULL,NULL,Water,Non_Water,Water,Bareland,Water,Grassland
280,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Grassland
281,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Wetland
282,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Water
283,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Forest
284,NULL,NULL,Water,Non_Water,Water,Water,Water,Grassland
285,NULL,NULL,Water,Non_Water,Water,Water,Water,Water
286,NULL,NULL,Water,Water,Water,Grassland,Wetland,Water
287,NULL,NULL,Water,Water,Water,Grassland,Water,Grassland
288,NULL,NULL,Water,Water,Water,Grassland,Water,Water
289,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
290,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
291,NULL,NULL,Water,Water,Water,Wetland,Wetland,Water
292,NULL,NULL,Water,Water,Water,Wetland,Wetland,Forest
293,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
294,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
295,NULL,NULL,Water,Water,Water,Wetland,Water,Water
296,NULL,NULL,Water,Water,Water,Bareland,Wetland,Water
297,NULL,NULL,Water,Water,Water,Bareland,Water,Water
298,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
299,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
300,NULL,NULL,Water,Water,Water,Water,Wetland,Water
301,NULL,NULL,Water,Water,Water,Water,Wetland,Forest
302,NULL,NULL,Water,Water,Water,Water,Water,Grassland
303,NULL,NULL,Water,Water,Water,Water,Water,Wetland
304,NULL,NULL,Water,Water,Water,Water,Water,Water
305,NULL,NULL,Water,Water,Water,Water,Water,Forest
306,NULL,NULL,Water,Water,Water,Water,Forest,Grassland
307,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
308,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
309,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
310,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
311,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
312,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
313,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
314,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Built-up
315,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
316,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
317,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Built-up
318,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
319,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
320,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
321,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
322,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
323,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
324,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
325,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
326,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
327,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
328,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
329,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
330,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
331,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Built-up
332,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Built-up,Grassland
333,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Built-up,Built-up
334,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
335,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
336,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
337,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
338,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
339,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
340,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Grassland
341,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Water
