Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LER_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LER_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LER_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LER_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LER_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LER_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LER_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LER_M_R
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
75,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
124,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
126,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
127,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
128,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
129,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
131,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Wetland
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
144,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
145,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
155,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
156,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
157,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
158,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
159,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Wetland
160,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
161,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Wetland
162,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
163,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
164,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
165,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
166,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Wetland
167,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
168,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
169,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Built-up
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Cropland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Wetland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Wetland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Cropland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Wetland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
