Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MPA_M_R
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Water,Forest
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
139,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
140,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
141,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
142,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
143,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
144,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
145,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
146,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
147,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
148,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
149,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Forest
150,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
151,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
152,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
153,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
154,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
155,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
156,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Bareland,Grassland
157,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Water
158,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
159,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
160,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
161,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
162,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
163,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Grassland
164,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
165,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
166,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
167,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
168,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Grassland
169,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Built-up,Forest
170,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
171,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Forest
172,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
173,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
174,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up,Wetland,Grassland
175,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up,Built-up,Forest
176,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
177,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
178,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Wetland
179,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
180,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
181,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
182,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
183,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
184,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
185,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
186,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
187,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
188,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
189,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
190,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
191,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
192,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
193,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
194,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Wetland
195,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
196,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
197,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
198,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
199,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
200,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
201,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
202,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
203,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
204,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
205,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
206,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
207,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
208,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
209,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
210,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
211,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
212,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
213,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
214,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
215,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
216,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
217,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
218,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
219,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
220,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
221,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
222,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
223,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Water,Grassland
224,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
225,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
226,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
227,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
228,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
229,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
230,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
231,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
232,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
233,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
234,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
235,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
236,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
237,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
238,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
239,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
240,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
241,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
242,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
243,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
244,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
245,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
246,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
247,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
248,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
249,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
250,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
251,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
252,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
253,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
254,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
255,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
256,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
257,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
258,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
259,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
260,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
261,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
262,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
263,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
264,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
265,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
266,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
267,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
268,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
269,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
270,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
271,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
272,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
273,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
274,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Forest
275,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
276,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
277,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
278,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Bareland,Grassland
279,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Bareland,Wetland
280,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
281,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
282,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
283,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Forest,Forest
284,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
285,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
286,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
287,NULL,NULL,Wetland,Non_Water,Wetland,Built-up,Wetland,Grassland
288,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
289,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
290,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
291,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
292,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
293,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
294,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
295,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
296,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
297,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
298,NULL,NULL,Wetland,Water,Wetland,Grassland,Bareland,Grassland
299,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
300,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
301,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
302,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
303,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
304,NULL,NULL,Wetland,Water,Wetland,Wetland,Bareland,Grassland
305,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
306,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
307,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
308,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
309,NULL,NULL,Wetland,Water,Wetland,Wetland,Forest,Grassland
310,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
311,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Wetland
312,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Grassland
313,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
314,NULL,NULL,Wetland,Water,Wetland,Built-up,Wetland,Grassland
315,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Grassland
316,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Wetland
317,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
318,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
319,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
320,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
321,NULL,NULL,Wetland,Water,Wetland,Water,Bareland,Grassland
322,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
323,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
324,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
325,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland,Grassland,Grassland
326,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Forest
327,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
328,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
329,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
330,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
331,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Wetland
