Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LEQ_M_R
2243,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
2244,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,NULL,NULL
2245,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
2246,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
2247,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Cropland
2248,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
2249,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
2250,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
2251,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
2252,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
2253,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2254,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2255,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
2256,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
2257,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
2258,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
2259,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
2260,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
2261,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
2262,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
2263,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
2264,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
2265,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
2266,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
2267,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
2268,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
2269,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Bareland
2270,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
2271,NULL,Cropland,Cropland,NULL,Non_Wetland,Water,NULL,Grassland
2272,NULL,Cropland,Cropland,NULL,Non_Wetland,Water,NULL,Cropland
2273,NULL,Cropland,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
2274,NULL,Cropland,Cropland,NULL,Non_Wetland,Water,Grassland,Cropland
2275,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
2276,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
2277,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
2278,NULL,Cropland,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
2279,NULL,Cropland,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
2280,NULL,Cropland,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
2281,NULL,Cropland,Wetland,NULL,Wetland,Shrubland,Forest,Forest
2282,NULL,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,NULL
2283,NULL,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
2284,NULL,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Forest
2285,NULL,Cropland,Wetland,NULL,Wetland,Grassland,Wetland,NULL
2286,NULL,Cropland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
2287,NULL,Cropland,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
2288,NULL,Cropland,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
2289,NULL,Cropland,Wetland,NULL,Wetland,Forest,Forest,Forest
2290,NULL,Cropland,Wetland,Water,Wetland,Grassland,Grassland,Grassland
2291,NULL,Cropland,Wetland,Water,Wetland,Bareland,Grassland,Grassland
2292,NULL,Cropland,Wetland,Water,Wetland,Water,Water,Wetland
2293,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland,Grassland,Bareland
2294,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
2295,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
2296,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
2297,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
2298,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Bareland
2299,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
2300,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
2301,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
2302,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
2303,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
2304,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
2305,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Cropland
2306,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
2307,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
2308,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Grassland
2309,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Cropland
2310,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Bareland
2311,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Built-up
2312,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,Grassland,Grassland
2313,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,Grassland,Cropland
2314,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,Grassland,Bareland
2315,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,Grassland,Built-up
2316,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,Bareland,Grassland
2317,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,Bareland,Cropland
2318,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,Bareland,Bareland
2319,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,Bareland,Built-up
2320,NULL,Cropland,Built-up,NULL,Non_Wetland,Wetland,Grassland,Built-up
2321,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
2322,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Cropland
2323,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
2324,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
2325,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
2326,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Cropland
2327,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
2328,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
2329,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
2330,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
2331,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
2332,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
2333,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
2334,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
2335,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
2336,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
2337,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
2338,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
2339,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
2340,NULL,Cropland,Built-up,NULL,Non_Wetland,Water,NULL,Grassland
2341,NULL,Cropland,Built-up,NULL,Non_Wetland,Water,NULL,Cropland
2342,NULL,Cropland,Water,NULL,Water,Grassland,NULL,Grassland
2343,NULL,Cropland,Water,NULL,Water,Grassland,NULL,Bareland
2344,NULL,Cropland,Water,NULL,Water,Grassland,Grassland,Grassland
2345,NULL,Cropland,Water,NULL,Water,Cropland,NULL,Bareland
2346,NULL,Cropland,Water,NULL,Water,Cropland,Bareland,Bareland
2347,NULL,Cropland,Water,NULL,Water,Bareland,NULL,Bareland
2348,NULL,Cropland,Water,NULL,Water,Bareland,Grassland,Bareland
2349,NULL,Cropland,Water,NULL,Water,Bareland,Bareland,Grassland
2350,NULL,Cropland,Water,NULL,Water,Bareland,Bareland,Bareland
2351,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
2352,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
2353,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
2354,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
2355,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
2356,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
2357,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
2358,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
2359,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,NULL
2360,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
2361,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Forest
2362,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
2363,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2364,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2365,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2366,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
2367,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2368,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Wetland
2369,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
2370,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Wetland,NULL
2371,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
2372,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
2373,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
2374,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
2375,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
2376,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
2377,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
2378,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
2379,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2380,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
2381,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
2382,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
2383,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
2384,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
2385,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
2386,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
2387,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
2388,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
2389,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
2390,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
2391,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Cropland
2392,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Bareland
2393,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
2394,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
2395,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,NULL
2396,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
2397,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Cropland
2398,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
2399,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,Wetland,Grassland
2400,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,Wetland,Forest
2401,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,Forest,Grassland
2402,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
2403,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
2404,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
2405,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
2406,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
2407,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
2408,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
2409,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
2410,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
2411,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
2412,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
2413,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
2414,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
2415,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
2416,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
2417,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
2418,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
2419,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
2420,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
2421,NULL,Cropland,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
2422,NULL,Cropland,Forest,NULL,Non_Wetland,Water,Grassland,Forest
2423,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Forest
2424,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
2425,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
2426,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
2427,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Wetland,Grassland
2428,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
2429,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
2430,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
2431,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
2432,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
2433,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
2434,NULL,Wetland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2435,NULL,Wetland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2436,NULL,Wetland,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
2437,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
2438,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
2439,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
2440,NULL,Wetland,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
2441,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
2442,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
2443,NULL,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2444,NULL,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2445,NULL,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
2446,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2447,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2448,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2449,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
2450,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
2451,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
2452,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2453,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2454,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
2455,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
2456,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
2457,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
2458,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
2459,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
2460,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
2461,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
2462,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Wetland,Grassland
2463,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
2464,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
2465,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland,Water,Water
2466,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
2467,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
2468,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland,Wetland,Water
2469,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
2470,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
2471,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
2472,NULL,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2473,NULL,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2474,NULL,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
2475,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2476,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2477,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
2478,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
2479,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
2480,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2481,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
2482,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
2483,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
2484,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
2485,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
2486,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Forest
2487,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
2488,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
2489,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
2490,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2491,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2492,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
2493,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
2494,NULL,Wetland,Cropland,Water,Non_Wetland,Bareland,Grassland,Bareland
2495,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
2496,NULL,Wetland,Wetland,NULL,Wetland,NULL,Shrubland,Grassland
2497,NULL,Wetland,Wetland,NULL,Wetland,NULL,Shrubland,Forest
2498,NULL,Wetland,Wetland,NULL,Wetland,NULL,Grassland,Grassland
2499,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Grassland
2500,NULL,Wetland,Wetland,NULL,Wetland,NULL,Water,Forest
2501,NULL,Wetland,Wetland,NULL,Wetland,NULL,Forest,Grassland
2502,NULL,Wetland,Wetland,NULL,Wetland,NULL,Forest,Forest
2503,NULL,Wetland,Wetland,NULL,Wetland,Shrubland,Shrubland,NULL
2504,NULL,Wetland,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
2505,NULL,Wetland,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
2506,NULL,Wetland,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
2507,NULL,Wetland,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
2508,NULL,Wetland,Wetland,NULL,Wetland,Shrubland,Forest,NULL
2509,NULL,Wetland,Wetland,NULL,Wetland,Shrubland,Forest,Grassland
2510,NULL,Wetland,Wetland,NULL,Wetland,Shrubland,Forest,Forest
2511,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Shrubland,NULL
2512,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
2513,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Shrubland,Forest
2514,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
2515,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
2516,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Forest
2517,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
2518,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Water,Grassland
2519,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Forest,NULL
2520,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Forest,Grassland
2521,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Forest,Forest
2522,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Shrubland,NULL
2523,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
2524,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Shrubland,Wetland
2525,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Shrubland,Forest
2526,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
2527,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
2528,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
2529,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
2530,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
2531,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Forest,NULL
2532,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Forest,Grassland
2533,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Forest,Wetland
2534,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Forest,Water
2535,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Forest,Forest
2536,NULL,Wetland,Wetland,NULL,Wetland,Bareland,NULL,Grassland
2537,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Shrubland,Grassland
2538,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
2539,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,Forest
2540,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
2541,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
2542,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Water,Grassland
2543,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Water,Forest
2544,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Forest,Grassland
2545,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Forest,Bareland
2546,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Forest,Forest
2547,NULL,Wetland,Wetland,NULL,Wetland,Forest,Shrubland,Grassland
2548,NULL,Wetland,Wetland,NULL,Wetland,Forest,Shrubland,Forest
2549,NULL,Wetland,Wetland,NULL,Wetland,Forest,Wetland,Grassland
2550,NULL,Wetland,Wetland,NULL,Wetland,Forest,Water,Grassland
2551,NULL,Wetland,Wetland,NULL,Wetland,Forest,Water,Forest
2552,NULL,Wetland,Wetland,NULL,Wetland,Forest,Forest,Grassland
2553,NULL,Wetland,Wetland,NULL,Wetland,Forest,Forest,Wetland
2554,NULL,Wetland,Wetland,NULL,Wetland,Forest,Forest,Forest
2555,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
2556,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
2557,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
2558,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Shrubland,Grassland
2559,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Grassland,Grassland
2560,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
2561,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Water,Grassland
2562,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Forest,Grassland
2563,NULL,Wetland,Wetland,Non_Water,Wetland,Shrubland,Grassland,Grassland
2564,NULL,Wetland,Wetland,Non_Water,Wetland,Shrubland,Grassland,Forest
2565,NULL,Wetland,Wetland,Non_Water,Wetland,Shrubland,Wetland,Grassland
2566,NULL,Wetland,Wetland,Non_Water,Wetland,Shrubland,Water,Grassland
