Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LKR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LKR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LKR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LKR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LKR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LKR_M_R
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
67,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
68,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
69,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
70,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
71,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
72,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Grassland
73,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
74,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
75,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
76,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
77,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
78,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
79,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
80,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
81,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
82,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
83,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
84,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
85,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
86,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
87,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
88,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
89,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
90,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
91,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
92,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
93,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
94,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
95,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
96,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
97,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
98,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
99,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
100,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
101,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
102,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
103,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Wetland
104,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
105,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
106,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
107,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
108,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Wetland
109,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
110,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
111,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
112,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
113,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
114,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
115,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
116,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
117,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
118,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
119,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
120,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
121,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
122,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
123,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
124,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
125,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
126,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
127,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
128,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
129,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
130,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
131,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
132,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
133,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
134,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
135,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
136,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
137,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
138,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Wetland
139,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
140,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
141,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
142,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Wetland
143,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Grassland
144,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Wetland
145,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
146,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,NULL,Grassland
147,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,NULL
148,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
149,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Wetland
150,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
151,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
152,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
153,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
154,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,NULL
155,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
156,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
157,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
158,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
159,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Grassland,Wetland
160,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
161,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
162,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Wetland
163,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
164,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
165,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
166,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
167,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
168,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
169,NULL,NULL,Water,NULL,Water,Wetland,Grassland,Grassland
170,NULL,NULL,Water,NULL,Water,Water,Grassland,Wetland
171,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
172,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
173,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
174,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
175,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
176,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
177,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
178,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
179,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
180,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
181,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
182,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
183,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
184,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
185,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
186,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
187,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
188,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
189,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
190,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
191,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
192,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
193,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
194,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
195,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
196,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
197,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
198,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
199,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
200,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
201,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
202,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
203,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
204,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
205,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
206,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
207,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
208,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
209,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
210,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
211,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
212,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Wetland
213,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
214,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
215,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
216,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
217,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
218,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
219,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
220,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
221,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
222,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
223,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
224,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
225,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
226,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
227,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
228,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
229,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
230,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
231,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
232,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
233,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
234,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
235,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
236,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
237,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
238,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
239,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
240,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
241,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
242,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
243,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
244,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
245,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
246,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
247,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
248,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Water
249,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
250,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
251,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
252,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Water,Forest
253,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
254,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
255,NULL,Water,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
256,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
257,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Wetland,Water
258,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
259,NULL,Water,Grassland,Water,Non_Wetland,Grassland,Water,Forest
260,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
261,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
262,NULL,Water,Cropland,Water,Non_Wetland,Grassland,Wetland,Forest
263,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
264,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Water
265,NULL,Water,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
266,NULL,Water,Built-up,Water,Non_Wetland,Grassland,Water,Grassland
267,NULL,Water,Water,Water,Water,Grassland,Water,Water
268,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
269,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Water,Forest
270,NULL,Water,Forest,Water,Non_Wetland,Grassland,Water,Forest
271,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
272,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
273,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
274,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
275,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
276,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
277,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
278,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
279,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
280,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
281,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
282,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
283,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
284,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
285,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
286,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
287,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
288,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
289,NULL,Forest,Wetland,NULL,Wetland,Grassland,Forest,Grassland
290,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
291,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
292,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
293,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
294,NULL,Forest,Water,Water,Water,Grassland,Water,Grassland
295,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
296,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
297,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
298,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
299,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
300,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
301,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
302,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
303,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
304,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
305,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
306,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
307,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
308,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
309,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
310,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
311,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
312,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
313,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
314,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
315,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
316,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
317,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
318,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
319,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
320,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
321,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
322,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
323,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
324,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
325,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
326,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
327,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
