Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KWV_M_R
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
49,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
61,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Wetland
63,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
66,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
67,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
68,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
69,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
70,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
76,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
79,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Wetland
80,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
81,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
82,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
83,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
84,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
85,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
86,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
87,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
88,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
89,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
90,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
91,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
92,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Grassland
93,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Wetland
94,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
95,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Wetland
96,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Wetland
97,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
98,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
99,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
100,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
101,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
102,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
103,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
104,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
105,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Wetland
106,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
107,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Wetland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,NULL
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Wetland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Wetland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Wetland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Wetland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Water,Wetland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Wetland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
184,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
185,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
186,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
187,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
188,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
189,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
190,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
191,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
192,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
193,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
194,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
195,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
196,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
197,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
198,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
199,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
200,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
201,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
202,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Wetland
203,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Wetland
204,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
205,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,NULL
206,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
207,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
208,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Bareland
209,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
210,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
211,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
212,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
213,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
214,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
215,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Wetland
216,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
217,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Wetland
218,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
219,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
220,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
221,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
222,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Wetland
223,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Shrubland,Forest
224,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,Wetland
225,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,Forest
226,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Grassland,Grassland
227,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Grassland,Wetland
228,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
229,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
230,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
231,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
232,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
233,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
234,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Wetland
235,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
236,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
237,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
238,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
239,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
240,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
241,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
242,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
243,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Wetland
244,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Forest
245,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
246,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
247,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Wetland
248,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
249,NULL,NULL,Shrubland,Water,Non_Wetland,Forest,Grassland,Wetland
250,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
251,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
252,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
253,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
254,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
255,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
256,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
257,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
258,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
259,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Wetland
260,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
261,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
262,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
263,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
264,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Wetland
265,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
266,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Wetland
267,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
268,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Shrubland,Wetland
269,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Wetland
270,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
271,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Wetland
272,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
273,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
274,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
275,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
276,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
277,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
278,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
279,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
280,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
281,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Grassland,Wetland
282,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest,Grassland,Wetland
283,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Wetland
284,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
285,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
286,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
287,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
288,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
289,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
290,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
291,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
292,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
293,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Forest
294,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
295,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Wetland
296,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
297,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
298,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
299,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
300,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
301,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
302,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
303,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
304,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
305,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
306,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Water
307,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
308,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
309,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Wetland
310,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
311,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
312,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Wetland
313,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
314,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Wetland
315,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
316,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
317,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
318,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Forest
319,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,NULL
