Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LGP_M_R
5935,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Forest,Grassland
5936,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Forest,Cropland
5937,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
5938,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
5939,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
5940,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
5941,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
5942,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
5943,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
5944,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
5945,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
5946,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Shrubland,NULL
5947,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
5948,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
5949,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
5950,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
5951,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Cropland
5952,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
5953,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
5954,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
5955,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Forest
5956,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
5957,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
5958,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
5959,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
5960,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
5961,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
5962,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
5963,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
5964,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Water,Shrubland,Grassland
5965,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Water,Shrubland,Wetland
5966,Grassland,Cropland,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
5967,Grassland,Cropland,Forest,Water,Non_Wetland,Water,Shrubland,Wetland
5968,Grassland,Cropland,Forest,Water,Non_Wetland,Water,Water,Grassland
5969,Grassland,Wetland,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
5970,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
5971,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
5972,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
5973,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
5974,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
5975,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
5976,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Forest,Forest,Grassland
5977,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
5978,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
5979,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
5980,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
5981,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
5982,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,Grassland
5983,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,Wetland
5984,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Water,NULL
5985,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
5986,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
5987,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
5988,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
5989,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland,Water,Grassland
5990,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland,Water,Grassland
5991,Grassland,Wetland,Wetland,NULL,Wetland,Shrubland,Forest,Grassland
5992,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Shrubland,Wetland
5993,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
5994,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Water,NULL
5995,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
5996,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
5997,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Forest,NULL
5998,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Forest,Grassland
5999,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Forest,Wetland
6000,Grassland,Wetland,Wetland,Non_Water,Wetland,Shrubland,Shrubland,NULL
6001,Grassland,Wetland,Wetland,Non_Water,Wetland,Shrubland,Water,NULL
6002,Grassland,Wetland,Wetland,Non_Water,Wetland,Shrubland,Water,Grassland
6003,Grassland,Wetland,Wetland,Non_Water,Wetland,Shrubland,Water,Wetland
6004,Grassland,Wetland,Wetland,Non_Water,Wetland,Shrubland,Water,Water
6005,Grassland,Wetland,Wetland,Non_Water,Wetland,Shrubland,Water,Forest
6006,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Shrubland,Grassland
6007,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Shrubland,Wetland
6008,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,NULL
6009,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
6010,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
6011,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Water
6012,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Forest
6013,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Forest,Grassland
6014,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
6015,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
6016,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
6017,Grassland,Wetland,Built-up,Non_Water,Non_Wetland,Wetland,Water,Grassland
6018,Grassland,Wetland,Water,Non_Water,Water,Wetland,Water,Wetland
6019,Grassland,Wetland,Water,Water,Water,Wetland,Wetland,Wetland
6020,Grassland,Wetland,Water,Water,Water,Wetland,Water,Wetland
6021,Grassland,Wetland,Water,Water,Water,Wetland,Water,Water
6022,Grassland,Wetland,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
6023,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
6024,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
6025,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Shrubland,Water,Grassland
6026,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Water,NULL
6027,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
6028,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Water,Wetland
6029,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
6030,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Forest,NULL
6031,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Forest,Grassland
6032,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Forest,Water,Forest
6033,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
6034,Grassland,Built-up,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
6035,Grassland,Built-up,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
6036,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
6037,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
6038,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
6039,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
6040,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
6041,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
6042,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
6043,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
6044,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
6045,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
6046,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
6047,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
6048,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
6049,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
6050,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
6051,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
6052,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
6053,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
6054,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
6055,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
6056,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
6057,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
6058,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
6059,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
6060,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Forest,Built-up,Grassland
6061,Grassland,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
6062,Grassland,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Water,Grassland
6063,Grassland,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Water,Water
6064,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
6065,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
6066,Grassland,Built-up,Grassland,NULL,Non_Wetland,Forest,Built-up,Grassland
6067,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
6068,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
6069,Grassland,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
6070,Grassland,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
6071,Grassland,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
6072,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
6073,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
6074,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
6075,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
6076,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
6077,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
6078,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
6079,Grassland,Built-up,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
6080,Grassland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
6081,Grassland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
6082,Grassland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
6083,Grassland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
6084,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
6085,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
6086,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
6087,Grassland,Built-up,Cropland,NULL,Non_Wetland,Water,Water,Grassland
6088,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up,Grassland
6089,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
6090,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
6091,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
6092,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Water,Forest
6093,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
6094,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
6095,Grassland,Built-up,Built-up,NULL,Non_Wetland,Forest,Shrubland,Grassland
6096,Grassland,Built-up,Built-up,NULL,Non_Wetland,Forest,Built-up,Grassland
6097,Grassland,Built-up,Water,NULL,Water,Shrubland,Shrubland,Grassland
6098,Grassland,Built-up,Water,Non_Water,Water,Bareland,Shrubland,Bareland
6099,Grassland,Built-up,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
6100,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
6101,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
6102,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
6103,Grassland,Water,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
6104,Grassland,Water,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
6105,Grassland,Water,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
6106,Grassland,Water,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
6107,Grassland,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
6108,Grassland,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
6109,Grassland,Water,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
6110,Grassland,Water,NULL,NULL,Non_Wetland,Wetland,Water,Forest
6111,Grassland,Water,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
6112,Grassland,Water,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
6113,Grassland,Water,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
6114,Grassland,Water,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
6115,Grassland,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
6116,Grassland,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
6117,Grassland,Water,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
6118,Grassland,Water,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
6119,Grassland,Water,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
6120,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
6121,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
6122,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
6123,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
6124,Grassland,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
6125,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
6126,Grassland,Water,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
6127,Grassland,Water,Shrubland,Water,Non_Wetland,Forest,Shrubland,Water
6128,Grassland,Water,Grassland,Water,Non_Wetland,Wetland,Water,Wetland
6129,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
6130,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
6131,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
6132,Grassland,Water,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Water
6133,Grassland,Water,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
6134,Grassland,Water,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
6135,Grassland,Water,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
6136,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
6137,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
6138,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
6139,Grassland,Water,Cropland,NULL,Non_Wetland,Water,Water,Forest
6140,Grassland,Water,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
6141,Grassland,Water,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
6142,Grassland,Water,Wetland,NULL,Wetland,Wetland,NULL,Wetland
6143,Grassland,Water,Wetland,NULL,Wetland,Wetland,Shrubland,Wetland
6144,Grassland,Water,Wetland,NULL,Wetland,Wetland,Shrubland,Water
6145,Grassland,Water,Wetland,NULL,Wetland,Wetland,Shrubland,Forest
6146,Grassland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
6147,Grassland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
6148,Grassland,Water,Wetland,NULL,Wetland,Wetland,Water,Grassland
6149,Grassland,Water,Wetland,NULL,Wetland,Wetland,Water,Wetland
6150,Grassland,Water,Wetland,NULL,Wetland,Wetland,Forest,Wetland
6151,Grassland,Water,Wetland,NULL,Wetland,Wetland,Forest,Forest
6152,Grassland,Water,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
6153,Grassland,Water,Wetland,NULL,Wetland,Forest,Shrubland,Grassland
6154,Grassland,Water,Wetland,NULL,Wetland,Forest,Shrubland,Forest
6155,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Shrubland,Wetland
6156,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
6157,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
6158,Grassland,Water,Wetland,Water,Wetland,Shrubland,Water,Grassland
6159,Grassland,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
6160,Grassland,Water,Wetland,Water,Wetland,Wetland,Water,Wetland
6161,Grassland,Water,Water,NULL,Water,Bareland,NULL,Grassland
6162,Grassland,Water,Water,NULL,Water,Forest,Forest,Forest
6163,Grassland,Water,Water,Water,Water,Wetland,Water,Wetland
6164,Grassland,Water,Water,Water,Water,Bareland,Water,Grassland
6165,Grassland,Water,Water,Water,Water,Water,Water,Water
6166,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
6167,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
6168,Grassland,Water,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
6169,Grassland,Water,Forest,NULL,Non_Wetland,NULL,Water,Grassland
6170,Grassland,Water,Forest,NULL,Non_Wetland,Shrubland,Water,Grassland
6171,Grassland,Water,Forest,NULL,Non_Wetland,Shrubland,Water,Forest
6172,Grassland,Water,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
6173,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
6174,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
6175,Grassland,Water,Forest,NULL,Non_Wetland,Wetland,Shrubland,Wetland
6176,Grassland,Water,Forest,NULL,Non_Wetland,Wetland,Water,Wetland
6177,Grassland,Water,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
6178,Grassland,Water,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
6179,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Bareland
6180,Grassland,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
6181,Grassland,Water,Forest,Water,Non_Wetland,Water,Water,Water
6182,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
6183,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
6184,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
6185,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
6186,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
6187,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
6188,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
6189,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
6190,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
6191,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
6192,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
6193,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
6194,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
6195,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
6196,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
6197,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
6198,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
6199,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
6200,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
6201,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
6202,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
6203,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
6204,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
6205,Grassland,Forest,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
6206,Grassland,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
6207,Grassland,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
6208,Grassland,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
6209,Grassland,Forest,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
6210,Grassland,Forest,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
6211,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
6212,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
6213,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
6214,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
6215,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
6216,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
6217,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
6218,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
6219,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
6220,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
6221,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
6222,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
6223,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
6224,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
6225,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
6226,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
6227,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
6228,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
6229,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
6230,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
6231,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
6232,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
6233,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
6234,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
6235,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
6236,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
6237,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
6238,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
6239,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
6240,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
6241,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
6242,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
6243,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
6244,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
6245,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
6246,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
6247,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
6248,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
6249,Grassland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
6250,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
6251,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
6252,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
6253,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
