Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MGP_M_R
57,Water,Water,Wetland,NULL,Wetland,NULL,Water,Forest
58,Water,Water,Wetland,NULL,Wetland,Grassland,Wetland,Water
59,Water,Water,Wetland,NULL,Wetland,Grassland,Water,Water
60,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
61,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
62,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
63,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Water
64,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
65,Water,Water,Wetland,NULL,Wetland,Water,Water,Water
66,Water,Water,Wetland,NULL,Wetland,Water,Water,Forest
67,Water,Water,Wetland,NULL,Wetland,Water,Forest,Water
68,Water,Water,Wetland,NULL,Wetland,Water,Forest,Forest
69,Water,Water,Wetland,NULL,Wetland,Forest,Wetland,Water
70,Water,Water,Wetland,NULL,Wetland,Forest,Wetland,Forest
71,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Water
72,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
73,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
74,Water,Water,Wetland,Non_Water,Wetland,Grassland,Water,Water
75,Water,Water,Wetland,Non_Water,Wetland,Grassland,Water,Forest
76,Water,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
77,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
78,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
79,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
80,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Water
81,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
82,Water,Water,Wetland,Water,Wetland,NULL,Wetland,Water
83,Water,Water,Wetland,Water,Wetland,NULL,Water,Water
84,Water,Water,Wetland,Water,Wetland,NULL,Water,Forest
85,Water,Water,Wetland,Water,Wetland,Wetland,Water,Water
86,Water,Water,Wetland,Water,Wetland,Bareland,Water,Water
87,Water,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
88,Water,Water,Wetland,Water,Wetland,Water,Wetland,Water
89,Water,Water,Wetland,Water,Wetland,Water,Wetland,Forest
90,Water,Water,Wetland,Water,Wetland,Water,Water,Grassland
91,Water,Water,Wetland,Water,Wetland,Water,Water,Water
92,Water,Water,Wetland,Water,Wetland,Water,Water,Forest
93,Water,Water,Wetland,Water,Wetland,Water,Forest,Water
94,Water,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Water
95,Water,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
96,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
97,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
98,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
99,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
100,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Water
101,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Forest
102,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
103,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
104,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Forest,Water
105,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
106,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Forest
107,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Water
108,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
109,Water,Water,Bareland,Water,Non_Wetland,Water,Forest,Water
110,Water,Water,Water,NULL,Water,NULL,Wetland,Water
111,Water,Water,Water,NULL,Water,NULL,Wetland,Forest
112,Water,Water,Water,NULL,Water,NULL,Water,Water
113,Water,Water,Water,NULL,Water,Wetland,Wetland,Forest
114,Water,Water,Water,NULL,Water,Water,Wetland,Water
115,Water,Water,Water,NULL,Water,Water,Wetland,Forest
116,Water,Water,Water,NULL,Water,Water,Water,Water
117,Water,Water,Water,NULL,Water,Water,Water,Forest
118,Water,Water,Water,NULL,Water,Water,Forest,Water
119,Water,Water,Water,NULL,Water,Water,Forest,Forest
120,Water,Water,Water,Non_Water,Water,NULL,Water,Forest
121,Water,Water,Water,Non_Water,Water,Grassland,Water,Forest
122,Water,Water,Water,Non_Water,Water,Wetland,Wetland,Forest
123,Water,Water,Water,Non_Water,Water,Wetland,Water,Water
124,Water,Water,Water,Non_Water,Water,Bareland,Wetland,Water
125,Water,Water,Water,Non_Water,Water,Water,Wetland,Water
126,Water,Water,Water,Non_Water,Water,Water,Wetland,Forest
127,Water,Water,Water,Non_Water,Water,Water,Water,Water
128,Water,Water,Water,Non_Water,Water,Water,Water,Forest
129,Water,Water,Water,Water,Water,NULL,Wetland,Forest
130,Water,Water,Water,Water,Water,NULL,Water,Water
131,Water,Water,Water,Water,Water,NULL,Water,Forest
132,Water,Water,Water,Water,Water,Grassland,Water,Water
133,Water,Water,Water,Water,Water,Wetland,Wetland,Forest
134,Water,Water,Water,Water,Water,Bareland,Water,Water
135,Water,Water,Water,Water,Water,Water,Wetland,Wetland
136,Water,Water,Water,Water,Water,Water,Wetland,Water
137,Water,Water,Water,Water,Water,Water,Wetland,Forest
138,Water,Water,Water,Water,Water,Water,Water,Grassland
139,Water,Water,Water,Water,Water,Water,Water,Water
140,Water,Water,Water,Water,Water,Water,Water,Forest
141,Water,Water,Water,Water,Water,Water,Forest,Water
142,Water,Water,Water,Water,Water,Forest,Water,Forest
143,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
144,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
145,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
146,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
147,Water,Water,Forest,NULL,Non_Wetland,Wetland,Water,Water
148,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
149,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
150,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Water
151,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
152,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
153,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
154,Water,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
155,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
156,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
157,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
158,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
159,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
160,Water,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Water
161,Water,Water,Forest,Non_Water,Non_Wetland,Forest,Wetland,Forest
162,Water,Water,Forest,Water,Non_Wetland,NULL,Water,Water
163,Water,Water,Forest,Water,Non_Wetland,NULL,Water,Forest
164,Water,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Water
165,Water,Water,Forest,Water,Non_Wetland,Bareland,Wetland,Water
166,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
167,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Forest
168,Water,Water,Forest,Water,Non_Wetland,Water,Water,Wetland
169,Water,Water,Forest,Water,Non_Wetland,Water,Water,Water
170,Water,Water,Forest,Water,Non_Wetland,Water,Water,Forest
171,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Forest
172,Water,Water,Forest,Water,Non_Wetland,Forest,Water,Forest
173,Water,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
174,Water,Forest,Forest,NULL,Non_Wetland,Water,Water,Water
175,Forest,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
176,Forest,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
177,Forest,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
178,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
179,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
180,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
181,Forest,Wetland,Wetland,Water,Wetland,Water,Water,Forest
182,Forest,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Water
183,Forest,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
184,Forest,Water,NULL,NULL,Non_Wetland,NULL,Water,Forest
185,Forest,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Water
186,Forest,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
187,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
188,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
189,Forest,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
190,Forest,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
191,Forest,Water,NULL,NULL,Non_Wetland,Water,Water,Water
192,Forest,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
193,Forest,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
194,Forest,Water,NULL,NULL,Non_Wetland,Water,Forest,Forest
195,Forest,Water,NULL,NULL,Non_Wetland,Forest,Wetland,Water
196,Forest,Water,NULL,NULL,Non_Wetland,Forest,Forest,Forest
197,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Wetland,Water
198,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
199,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
200,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
201,Forest,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
202,Forest,Water,NULL,Water,Non_Wetland,Water,Wetland,Forest
203,Forest,Water,NULL,Water,Non_Wetland,Water,Water,Water
204,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
205,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
206,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
207,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Water,Forest
208,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Water
209,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
210,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Water,Water
211,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Water,Forest
212,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
213,Forest,Water,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
214,Forest,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
215,Forest,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
216,Forest,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
217,Forest,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
218,Forest,Water,Grassland,NULL,Non_Wetland,Water,Forest,Water
219,Forest,Water,Grassland,NULL,Non_Wetland,Water,Forest,Forest
220,Forest,Water,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
221,Forest,Water,Grassland,NULL,Non_Wetland,Forest,Water,Forest
222,Forest,Water,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
223,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Water
224,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Forest
225,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Water,Water
226,Forest,Water,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
227,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
228,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
229,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
230,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
231,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Forest,Water
232,Forest,Water,Grassland,Water,Non_Wetland,NULL,Wetland,Forest
233,Forest,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
234,Forest,Water,Grassland,Water,Non_Wetland,Water,Wetland,Forest
235,Forest,Water,Grassland,Water,Non_Wetland,Water,Water,Water
236,Forest,Water,Grassland,Water,Non_Wetland,Water,Water,Forest
237,Forest,Water,Cropland,NULL,Non_Wetland,Grassland,Wetland,Water
238,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
239,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
240,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Water
241,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Forest
242,Forest,Water,Wetland,NULL,Wetland,NULL,Forest,Water
243,Forest,Water,Wetland,NULL,Wetland,NULL,Forest,Forest
244,Forest,Water,Wetland,NULL,Wetland,Grassland,Wetland,Water
245,Forest,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
246,Forest,Water,Wetland,NULL,Wetland,Grassland,Water,Water
247,Forest,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
248,Forest,Water,Wetland,NULL,Wetland,Grassland,Forest,Forest
249,Forest,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
250,Forest,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
251,Forest,Water,Wetland,NULL,Wetland,Wetland,Water,Water
252,Forest,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
253,Forest,Water,Wetland,NULL,Wetland,Wetland,Forest,Forest
254,Forest,Water,Wetland,NULL,Wetland,Bareland,Water,Forest
255,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Water
256,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
257,Forest,Water,Wetland,NULL,Wetland,Water,Water,Grassland
258,Forest,Water,Wetland,NULL,Wetland,Water,Water,Water
259,Forest,Water,Wetland,NULL,Wetland,Water,Water,Forest
260,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Grassland
261,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Water
262,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Forest
263,Forest,Water,Wetland,NULL,Wetland,Forest,Wetland,Water
264,Forest,Water,Wetland,NULL,Wetland,Forest,Wetland,Forest
265,Forest,Water,Wetland,NULL,Wetland,Forest,Water,Water
266,Forest,Water,Wetland,NULL,Wetland,Forest,Water,Forest
267,Forest,Water,Wetland,NULL,Wetland,Forest,Forest,Water
268,Forest,Water,Wetland,NULL,Wetland,Forest,Forest,Forest
269,Forest,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Water
270,Forest,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
271,Forest,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
272,Forest,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
273,Forest,Water,Wetland,Non_Water,Wetland,NULL,Forest,Forest
274,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
275,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
276,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
277,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
278,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Water,Water
279,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Water,Forest
280,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
281,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
282,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
283,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
284,Forest,Water,Wetland,Non_Water,Wetland,Bareland,Water,Forest
285,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
286,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
287,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Water
288,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
289,Forest,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
290,Forest,Water,Wetland,Non_Water,Wetland,Water,Forest,Forest
291,Forest,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Water
292,Forest,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Forest
293,Forest,Water,Wetland,Non_Water,Wetland,Forest,Water,Forest
294,Forest,Water,Wetland,Water,Wetland,NULL,Wetland,Water
295,Forest,Water,Wetland,Water,Wetland,NULL,Wetland,Forest
296,Forest,Water,Wetland,Water,Wetland,NULL,Water,Water
297,Forest,Water,Wetland,Water,Wetland,NULL,Water,Forest
298,Forest,Water,Wetland,Water,Wetland,Grassland,Wetland,Grassland
299,Forest,Water,Wetland,Water,Wetland,Grassland,Wetland,Water
300,Forest,Water,Wetland,Water,Wetland,Grassland,Wetland,Forest
301,Forest,Water,Wetland,Water,Wetland,Grassland,Water,Water
302,Forest,Water,Wetland,Water,Wetland,Grassland,Water,Forest
303,Forest,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
304,Forest,Water,Wetland,Water,Wetland,Wetland,Wetland,Forest
305,Forest,Water,Wetland,Water,Wetland,Wetland,Water,Water
306,Forest,Water,Wetland,Water,Wetland,Wetland,Water,Forest
307,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Water
308,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Forest
309,Forest,Water,Wetland,Water,Wetland,Water,Water,Grassland
310,Forest,Water,Wetland,Water,Wetland,Water,Water,Wetland
311,Forest,Water,Wetland,Water,Wetland,Water,Water,Water
312,Forest,Water,Wetland,Water,Wetland,Water,Water,Forest
313,Forest,Water,Wetland,Water,Wetland,Water,Forest,Water
314,Forest,Water,Wetland,Water,Wetland,Water,Forest,Forest
315,Forest,Water,Wetland,Water,Wetland,Forest,Wetland,Water
316,Forest,Water,Wetland,Water,Wetland,Forest,Wetland,Forest
317,Forest,Water,Wetland,Water,Wetland,Forest,Water,Water
318,Forest,Water,Wetland,Water,Wetland,Forest,Water,Forest
319,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Water
320,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
321,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Water,Water
322,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Water,Forest
323,Forest,Water,Bareland,NULL,Non_Wetland,Grassland,Wetland,Water
324,Forest,Water,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
325,Forest,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
326,Forest,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
327,Forest,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
328,Forest,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
329,Forest,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
330,Forest,Water,Bareland,NULL,Non_Wetland,Water,Forest,Water
331,Forest,Water,Bareland,NULL,Non_Wetland,Water,Forest,Forest
332,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Wetland,Water
333,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Water
334,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Forest
335,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Water,Forest
336,Forest,Water,Bareland,Non_Water,Non_Wetland,Grassland,Water,Forest
337,Forest,Water,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Water
338,Forest,Water,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
339,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
340,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
341,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
342,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
343,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Forest,Water
344,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Forest,Forest
345,Forest,Water,Bareland,Non_Water,Non_Wetland,Forest,Wetland,Forest
346,Forest,Water,Bareland,Water,Non_Wetland,NULL,Wetland,Water
347,Forest,Water,Bareland,Water,Non_Wetland,NULL,Wetland,Forest
348,Forest,Water,Bareland,Water,Non_Wetland,NULL,Water,Forest
349,Forest,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
350,Forest,Water,Bareland,Water,Non_Wetland,Water,Wetland,Forest
351,Forest,Water,Bareland,Water,Non_Wetland,Water,Water,Water
352,Forest,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
353,Forest,Water,Bareland,Water,Non_Wetland,Forest,Water,Water
354,Forest,Water,Built-up,NULL,Non_Wetland,NULL,Wetland,Water
355,Forest,Water,Built-up,NULL,Non_Wetland,NULL,Wetland,Forest
356,Forest,Water,Built-up,NULL,Non_Wetland,Water,Water,Water
357,Forest,Water,Water,NULL,Water,NULL,Wetland,Water
358,Forest,Water,Water,NULL,Water,NULL,Wetland,Forest
359,Forest,Water,Water,NULL,Water,NULL,Water,Water
360,Forest,Water,Water,NULL,Water,NULL,Water,Forest
361,Forest,Water,Water,NULL,Water,NULL,Forest,Forest
362,Forest,Water,Water,NULL,Water,Grassland,Wetland,Water
363,Forest,Water,Water,NULL,Water,Grassland,Wetland,Forest
364,Forest,Water,Water,NULL,Water,Grassland,Water,Water
365,Forest,Water,Water,NULL,Water,Grassland,Water,Forest
366,Forest,Water,Water,NULL,Water,Wetland,Wetland,Water
367,Forest,Water,Water,NULL,Water,Wetland,Wetland,Forest
368,Forest,Water,Water,NULL,Water,Wetland,Water,Water
369,Forest,Water,Water,NULL,Water,Wetland,Water,Forest
370,Forest,Water,Water,NULL,Water,Bareland,Wetland,Water
371,Forest,Water,Water,NULL,Water,Water,Wetland,Wetland
372,Forest,Water,Water,NULL,Water,Water,Wetland,Water
373,Forest,Water,Water,NULL,Water,Water,Wetland,Forest
374,Forest,Water,Water,NULL,Water,Water,Water,Water
375,Forest,Water,Water,NULL,Water,Water,Water,Forest
376,Forest,Water,Water,NULL,Water,Water,Forest,Water
377,Forest,Water,Water,NULL,Water,Water,Forest,Forest
378,Forest,Water,Water,NULL,Water,Forest,Wetland,Water
379,Forest,Water,Water,NULL,Water,Forest,Wetland,Forest
380,Forest,Water,Water,NULL,Water,Forest,Water,Forest
381,Forest,Water,Water,NULL,Water,Forest,Forest,Forest
382,Forest,Water,Water,Non_Water,Water,NULL,Wetland,Water
383,Forest,Water,Water,Non_Water,Water,NULL,Wetland,Forest
