Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MVS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MVS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MVS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MVS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MVS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MVS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MVS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MVS_M_R
2893,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,NULL,Grassland
2894,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,NULL,Forest
2895,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,Shrubland,NULL
2896,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
2897,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,Shrubland,Wetland
2898,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,Shrubland,Forest
2899,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,Grassland,NULL
2900,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,Grassland,Grassland
2901,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,Grassland,Wetland
2902,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
2903,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
2904,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
2905,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
2906,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
2907,NULL,NULL,Forest,Water,Non_Wetland,NULL,Shrubland,NULL
2908,NULL,NULL,Forest,Water,Non_Wetland,NULL,Shrubland,Grassland
2909,NULL,NULL,Forest,Water,Non_Wetland,NULL,Shrubland,Wetland
2910,NULL,NULL,Forest,Water,Non_Wetland,NULL,Shrubland,Water
2911,NULL,NULL,Forest,Water,Non_Wetland,NULL,Shrubland,Forest
2912,NULL,NULL,Forest,Water,Non_Wetland,NULL,Grassland,Grassland
2913,NULL,NULL,Forest,Water,Non_Wetland,NULL,Grassland,Cropland
2914,NULL,NULL,Forest,Water,Non_Wetland,NULL,Grassland,Wetland
2915,NULL,NULL,Forest,Water,Non_Wetland,NULL,Grassland,Water
2916,NULL,NULL,Forest,Water,Non_Wetland,NULL,Water,Grassland
2917,NULL,NULL,Forest,Water,Non_Wetland,NULL,Water,Water
2918,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,NULL,NULL
2919,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,NULL,Grassland
2920,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,NULL,Wetland
2921,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,NULL,Water
2922,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,NULL,Forest
2923,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Shrubland,NULL
2924,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Shrubland,Grassland
2925,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Shrubland,Wetland
2926,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Shrubland,Water
2927,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Shrubland,Forest
2928,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Grassland,NULL
2929,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Grassland,Grassland
2930,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Grassland,Wetland
2931,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Grassland,Water
2932,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Grassland,Forest
2933,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Water,NULL
2934,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Water,Grassland
2935,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Water,Water
2936,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Water,Forest
2937,NULL,NULL,Forest,Water,Non_Wetland,Grassland,NULL,NULL
2938,NULL,NULL,Forest,Water,Non_Wetland,Grassland,NULL,Grassland
2939,NULL,NULL,Forest,Water,Non_Wetland,Grassland,NULL,Cropland
2940,NULL,NULL,Forest,Water,Non_Wetland,Grassland,NULL,Wetland
2941,NULL,NULL,Forest,Water,Non_Wetland,Grassland,NULL,Water
2942,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Shrubland,Grassland
2943,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Shrubland,Wetland
2944,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Shrubland,Water
2945,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,NULL
2946,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
2947,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Cropland
2948,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Wetland
2949,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Water
2950,NULL,NULL,Forest,Water,Non_Wetland,Cropland,Shrubland,Wetland
2951,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Shrubland,Grassland
2952,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Shrubland,Wetland
2953,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Water,Wetland
2954,NULL,NULL,Forest,Water,Non_Wetland,Water,NULL,NULL
2955,NULL,NULL,Forest,Water,Non_Wetland,Water,NULL,Grassland
2956,NULL,NULL,Forest,Water,Non_Wetland,Water,NULL,Wetland
2957,NULL,NULL,Forest,Water,Non_Wetland,Water,NULL,Water
2958,NULL,NULL,Forest,Water,Non_Wetland,Water,NULL,Forest
2959,NULL,NULL,Forest,Water,Non_Wetland,Water,Shrubland,NULL
2960,NULL,NULL,Forest,Water,Non_Wetland,Water,Shrubland,Grassland
2961,NULL,NULL,Forest,Water,Non_Wetland,Water,Shrubland,Wetland
2962,NULL,NULL,Forest,Water,Non_Wetland,Water,Shrubland,Water
2963,NULL,NULL,Forest,Water,Non_Wetland,Water,Grassland,Grassland
2964,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Grassland
2965,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Wetland
2966,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Water
2967,NULL,NULL,Forest,Water,Non_Wetland,Forest,NULL,Grassland
2968,NULL,NULL,Forest,Water,Non_Wetland,Forest,Shrubland,Grassland
2969,NULL,NULL,Forest,Water,Non_Wetland,Forest,Shrubland,Water
2970,NULL,NULL,Forest,Water,Non_Wetland,Forest,Shrubland,Forest
2971,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
2972,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2973,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
2974,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
2975,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
2976,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
2977,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
2978,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2979,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
2980,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
2981,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Cropland
2982,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Bareland
2983,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
2984,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
2985,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
2986,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
2987,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Wetland
2988,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Bareland
2989,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Built-up
2990,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Water
2991,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2992,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland,NULL
2993,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
2994,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland,Cropland
2995,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
2996,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
2997,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
2998,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
2999,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
3000,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Water,Grassland
3001,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,NULL
3002,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
3003,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
3004,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
3005,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
3006,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
3007,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
3008,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
3009,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
3010,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
3011,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3012,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3013,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
3014,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
3015,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
3016,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3017,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
3018,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3019,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
3020,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
3021,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
3022,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
3023,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
3024,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
3025,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
3026,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
3027,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
3028,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
3029,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Built-up,Bareland
3030,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
3031,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
3032,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
3033,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
3034,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
3035,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
3036,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
3037,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
3038,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
3039,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
3040,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Water
3041,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
3042,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
3043,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3044,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
3045,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
3046,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
3047,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
3048,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
3049,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
3050,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3051,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
3052,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
3053,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
3054,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
3055,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3056,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
3057,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
3058,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
3059,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
3060,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
3061,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
3062,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
3063,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
3064,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
3065,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
3066,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
3067,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
3068,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
3069,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
3070,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
3071,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
3072,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
3073,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
3074,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
3075,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
3076,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
3077,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
3078,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
3079,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
3080,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
3081,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
3082,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
3083,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
3084,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
3085,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
3086,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
3087,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
3088,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
3089,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
3090,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
3091,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
3092,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
3093,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
3094,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
3095,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
3096,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
3097,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
3098,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
3099,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
3100,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
3101,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
3102,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
3103,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
3104,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
3105,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
3106,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
3107,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
3108,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
3109,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
3110,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
3111,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
3112,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
3113,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
3114,NULL,Cropland,NULL,NULL,Non_Wetland,Water,NULL,NULL
3115,NULL,Cropland,NULL,NULL,Non_Wetland,Water,NULL,Grassland
3116,NULL,Cropland,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
3117,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,NULL
3118,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
3119,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Forest
3120,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
3121,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
3122,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
3123,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
3124,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,Built-up
3125,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
3126,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
3127,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
3128,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
3129,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
3130,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
3131,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,NULL
3132,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Forest
3133,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
3134,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
3135,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
3136,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
3137,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
3138,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
3139,NULL,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
3140,NULL,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
3141,NULL,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
3142,NULL,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
3143,NULL,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
3144,NULL,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
3145,NULL,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
3146,NULL,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
3147,NULL,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
3148,NULL,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
3149,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
3150,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
3151,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
3152,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
3153,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
3154,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
3155,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
3156,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
3157,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
3158,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
3159,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
3160,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
3161,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Built-up,NULL
3162,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
3163,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
3164,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
3165,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland,NULL,Cropland
3166,NULL,Cropland,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
3167,NULL,Cropland,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
3168,NULL,Cropland,NULL,Non_Water,Non_Wetland,Forest,NULL,NULL
3169,NULL,Cropland,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
3170,NULL,Cropland,NULL,Water,Non_Wetland,NULL,Grassland,Bareland
3171,NULL,Cropland,NULL,Water,Non_Wetland,NULL,Grassland,Water
3172,NULL,Cropland,NULL,Water,Non_Wetland,NULL,Built-up,Bareland
3173,NULL,Cropland,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
3174,NULL,Cropland,NULL,Water,Non_Wetland,Shrubland,NULL,Water
3175,NULL,Cropland,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
3176,NULL,Cropland,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
3177,NULL,Cropland,NULL,Water,Non_Wetland,Shrubland,Grassland,Wetland
3178,NULL,Cropland,NULL,Water,Non_Wetland,Grassland,NULL,Cropland
3179,NULL,Cropland,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
3180,NULL,Cropland,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
3181,NULL,Cropland,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
3182,NULL,Cropland,NULL,Water,Non_Wetland,Bareland,NULL,Cropland
3183,NULL,Cropland,NULL,Water,Non_Wetland,Bareland,Built-up,Bareland
3184,NULL,Cropland,NULL,Water,Non_Wetland,Water,NULL,Grassland
3185,NULL,Cropland,NULL,Water,Non_Wetland,Water,NULL,Wetland
3186,NULL,Cropland,NULL,Water,Non_Wetland,Water,Shrubland,Water
3187,NULL,Cropland,NULL,Water,Non_Wetland,Water,Water,Water
3188,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
3189,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3190,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
3191,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
3192,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
3193,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
3194,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
3195,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
3196,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
3197,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
3198,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
3199,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
3200,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
3201,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
3202,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
3203,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
3204,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
3205,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
3206,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
3207,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
3208,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
3209,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
3210,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
3211,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
3212,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
3213,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
3214,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
3215,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
3216,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
3217,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
