Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KLU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KLU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KLU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KLU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KLU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KLU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KLU_M_R
4299,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
4300,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
4301,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
4302,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
4303,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
4304,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
4305,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
4306,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
4307,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
4308,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
4309,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Water,NULL
4310,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Water,Water
4311,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
4312,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
4313,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
4314,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
4315,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
4316,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
4317,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
4318,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
4319,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
4320,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
4321,NULL,Forest,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
4322,NULL,Forest,NULL,NULL,Non_Wetland,Forest,NULL,NULL
4323,NULL,Forest,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
4324,NULL,Forest,NULL,NULL,Non_Wetland,Forest,NULL,Forest
4325,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
4326,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
4327,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
4328,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
4329,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
4330,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
4331,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
4332,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
4333,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,NULL
4334,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
4335,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
4336,NULL,Forest,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
4337,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
4338,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
4339,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
4340,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4341,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
4342,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
4343,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
4344,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
4345,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
4346,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
4347,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
4348,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
4349,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
4350,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
4351,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
4352,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
4353,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
4354,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
4355,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
4356,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
4357,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
4358,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
4359,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
4360,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
4361,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
4362,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
4363,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
4364,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
4365,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
4366,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
4367,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
4368,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
4369,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
4370,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4371,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
4372,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
4373,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
4374,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4375,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
4376,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
4377,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
4378,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
4379,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
4380,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
4381,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
4382,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
4383,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
4384,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
4385,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
4386,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
4387,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
4388,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
4389,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
4390,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
4391,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
4392,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4393,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
4394,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
4395,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4396,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
4397,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
4398,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
4399,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
4400,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
4401,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
4402,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
4403,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
4404,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
4405,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
4406,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
4407,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
4408,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
4409,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
4410,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
4411,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
4412,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
4413,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,Forest,NULL
4414,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
4415,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
4416,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
4417,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
4418,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
4419,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
4420,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
4421,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
4422,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Built-up
4423,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
4424,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
4425,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
4426,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
4427,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
4428,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
4429,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
4430,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
4431,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
4432,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
4433,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
4434,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
4435,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Cropland
4436,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
4437,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
4438,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
4439,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
4440,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
4441,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
4442,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
4443,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
4444,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
4445,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
4446,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
4447,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
4448,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
4449,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
4450,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
4451,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
4452,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
4453,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
4454,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Cropland
4455,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
4456,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
4457,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
4458,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
4459,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
4460,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
4461,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
4462,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Wetland,NULL
4463,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
4464,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
4465,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Bareland,Cropland
4466,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
4467,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
4468,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
4469,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
4470,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,NULL
4471,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
4472,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
4473,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
4474,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
4475,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
4476,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Cropland
4477,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
4478,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
4479,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Cropland,Forest,Grassland
4480,NULL,Forest,Shrubland,Water,Non_Wetland,Shrubland,Shrubland,Grassland
4481,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
4482,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
4483,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
4484,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
4485,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
4486,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
4487,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
4488,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
4489,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
4490,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,Bareland
4491,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
4492,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
4493,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
4494,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
4495,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
4496,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,NULL
4497,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
4498,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,Cropland
4499,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,Bareland
4500,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
4501,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
4502,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Bareland,Built-up
4503,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Water,Forest
4504,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,NULL
4505,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
4506,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Cropland
4507,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
4508,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
4509,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
4510,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
4511,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
4512,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4513,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
4514,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
4515,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
4516,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4517,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
4518,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Forest
4519,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Forest,NULL
4520,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
4521,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
4522,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
4523,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
4524,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
4525,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
4526,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
4527,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
4528,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4529,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
4530,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
4531,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
4532,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4533,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
4534,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
4535,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
4536,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
4537,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Wetland,NULL
4538,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
4539,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
4540,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
4541,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
4542,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
4543,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
4544,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,NULL
4545,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
4546,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
4547,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
4548,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,NULL
4549,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
4550,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
4551,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
4552,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,Grassland,NULL
4553,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
4554,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
4555,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
4556,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
4557,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
4558,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,Forest,Forest
4559,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,NULL,NULL
4560,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
4561,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,NULL,Cropland
4562,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
4563,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Shrubland,NULL
4564,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Forest
4565,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Grassland,NULL
4566,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
4567,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
4568,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Wetland,NULL
4569,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
4570,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Forest,NULL
4571,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
4572,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
4573,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
4574,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Shrubland,NULL
4575,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
4576,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
4577,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
4578,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
4579,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
4580,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Forest,NULL
4581,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,NULL,NULL
4582,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
4583,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
4584,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Shrubland,NULL
4585,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Shrubland,Bareland
4586,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Shrubland,Forest
4587,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Grassland,NULL
4588,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
4589,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
4590,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Bareland,Cropland
4591,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Forest,NULL
4592,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Forest,Grassland
4593,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Forest,Cropland
4594,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
4595,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland,NULL,NULL
4596,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
4597,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,Grassland
4598,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
4599,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
4600,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
4601,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
4602,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
4603,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,NULL
4604,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
4605,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Forest,NULL
4606,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,NULL,NULL
4607,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
4608,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
4609,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
4610,NULL,Forest,Water,NULL,Water,Wetland,Wetland,Wetland
4611,NULL,Forest,Water,NULL,Water,Bareland,Wetland,Forest
4612,NULL,Forest,Water,Non_Water,Water,Wetland,Wetland,NULL
4613,NULL,Forest,Water,Non_Water,Water,Bareland,Water,NULL
4614,NULL,Forest,Water,Water,Water,NULL,Forest,Water
4615,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
4616,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
4617,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
4618,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
4619,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
4620,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
4621,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
4622,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
