Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NGB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NGB_M_R
30,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
31,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Built-up
33,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
34,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Built-up
36,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
37,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
38,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
39,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
40,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
41,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
42,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
43,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
44,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
45,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
46,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
47,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Water
48,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
49,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
50,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
51,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
52,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Wetland
53,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
54,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
55,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
56,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
57,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
58,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
59,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
60,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
61,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
62,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
63,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
64,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
65,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
66,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
67,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
68,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
69,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
70,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
71,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
72,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
73,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
74,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
75,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
76,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
77,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
78,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
79,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
80,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
81,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
82,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
83,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
84,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
85,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
86,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
87,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
88,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
89,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
90,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
91,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
92,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
93,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
94,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
95,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
96,NULL,NULL,Wetland,Water,Wetland,Grassland,NULL,Forest
97,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
98,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
99,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
100,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
101,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
102,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
103,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
104,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
105,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
106,NULL,NULL,Wetland,Water,Wetland,Water,Forest,Forest
107,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
108,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
109,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
110,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
111,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Built-up
112,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Built-up
113,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
114,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
115,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Built-up
116,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
117,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
118,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
119,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
120,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
121,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Grassland
122,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Water
123,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Forest
124,NULL,NULL,Water,NULL,Water,Wetland,Water,Bareland
125,NULL,NULL,Water,NULL,Water,Water,Water,Grassland
126,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
127,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
128,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
129,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Grassland
130,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Wetland
131,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Forest
132,NULL,NULL,Water,Non_Water,Water,Water,Water,Wetland
133,NULL,NULL,Water,Non_Water,Water,Water,Water,Water
134,NULL,NULL,Water,Non_Water,Water,Water,Water,Forest
135,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
136,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
137,NULL,NULL,Water,Water,Water,NULL,NULL,Water
138,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
139,NULL,NULL,Water,Water,Water,Grassland,Water,Grassland
140,NULL,NULL,Water,Water,Water,Wetland,NULL,Grassland
141,NULL,NULL,Water,Water,Water,Wetland,NULL,Wetland
142,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
143,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
144,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
145,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
146,NULL,NULL,Water,Water,Water,Water,Wetland,Forest
147,NULL,NULL,Water,Water,Water,Water,Water,Grassland
148,NULL,NULL,Water,Water,Water,Water,Water,Wetland
149,NULL,NULL,Water,Water,Water,Water,Water,Water
150,NULL,NULL,Water,Water,Water,Water,Water,Forest
151,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
152,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
153,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
154,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
155,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
156,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
157,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
158,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
159,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
160,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
161,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
162,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
163,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
164,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
165,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
166,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
167,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
168,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
169,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
170,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
171,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
172,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
173,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
174,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
175,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
176,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
177,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
178,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
179,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
180,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
181,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
182,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
183,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Wetland
184,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
185,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
186,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
187,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
188,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Water,Wetland
189,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Grassland
190,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
191,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
192,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
193,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
194,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
195,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
196,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
197,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
198,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Forest
199,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
200,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
201,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Forest
202,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
203,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
204,NULL,Wetland,Water,NULL,Water,Water,Water,Forest
205,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
206,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
207,NULL,Wetland,Water,Non_Water,Water,Water,Water,Wetland
208,NULL,Wetland,Water,Non_Water,Water,Water,Water,Water
209,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
210,NULL,Wetland,Water,Water,Water,Water,Wetland,Grassland
211,NULL,Wetland,Water,Water,Water,Water,Water,Grassland
212,NULL,Wetland,Water,Water,Water,Water,Water,Water
213,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
214,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
215,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland,Forest,Built-up
216,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
217,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
218,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland,Wetland,Built-up
219,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
220,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
221,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
222,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
223,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
224,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
225,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
226,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
227,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
228,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
229,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,Built-up
230,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
231,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
232,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
233,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
234,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
235,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
236,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
237,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
238,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
239,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Water,Bareland
240,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
241,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
242,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
243,NULL,Built-up,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
244,NULL,Built-up,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
245,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
246,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
247,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
248,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
249,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
250,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
251,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
252,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
253,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
254,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
255,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
256,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,NULL,Built-up
257,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
258,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
259,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Bareland
260,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Built-up
261,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
262,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
263,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Bareland
264,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Built-up
265,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
266,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Water,Bareland
267,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Water,Water
268,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
269,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
270,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
271,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
272,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
273,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Water
274,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
275,NULL,Built-up,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
276,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
277,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
278,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
279,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Water
280,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
281,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Forest
282,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Water,Forest
283,NULL,Built-up,Wetland,NULL,Wetland,Water,Wetland,Grassland
284,NULL,Built-up,Wetland,NULL,Wetland,Water,Water,Grassland
285,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
286,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
287,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland,Water,Forest
288,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
289,NULL,Built-up,Wetland,Water,Wetland,Wetland,Water,Grassland
290,NULL,Built-up,Wetland,Water,Wetland,Water,Water,Grassland
291,NULL,Built-up,Wetland,Water,Wetland,Water,Water,Water
292,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
293,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Grassland,Bareland
294,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
295,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
296,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Wetland,Bareland
297,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Wetland,Built-up
298,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
299,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Water,Bareland
300,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
301,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
302,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
303,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Wetland,Forest
304,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
305,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,NULL,Grassland
306,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,NULL,Built-up
307,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
308,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Bareland
309,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Built-up
310,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
311,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
312,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Bareland
313,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Built-up
314,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
315,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Water,Grassland
316,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Water,Bareland
317,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Forest,Grassland
318,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Wetland,Forest
319,NULL,Built-up,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
320,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
321,NULL,Built-up,Water,NULL,Water,Wetland,Wetland,Grassland
322,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
323,NULL,Built-up,Water,Water,Water,Wetland,Wetland,Grassland
324,NULL,Built-up,Water,Water,Water,Wetland,Water,Grassland
325,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
326,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
327,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
328,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
329,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
330,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Water,Forest
331,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
332,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
333,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
334,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
335,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
336,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
337,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
338,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Built-up
339,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
340,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
341,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
342,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
