Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NLJ_M_R
50,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
51,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
52,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
53,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
54,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
55,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
56,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
57,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Water
58,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
59,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
60,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
61,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
62,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
63,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
64,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
65,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
66,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
67,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
68,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
69,NULL,Water,Wetland,NULL,Wetland,Bareland,Forest,Bareland
70,NULL,Water,Wetland,NULL,Wetland,Water,Water,Water
71,NULL,Water,Wetland,NULL,Wetland,Water,Forest,Water
72,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
73,NULL,Water,Water,NULL,Water,Water,Water,Water
74,NULL,Water,Water,NULL,Water,Water,Forest,Grassland
75,NULL,Water,Water,NULL,Water,Water,Forest,Water
76,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
77,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
78,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
79,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
80,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
81,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
82,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
83,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
84,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
85,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
86,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
87,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
88,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
89,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
90,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
91,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
92,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
93,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
94,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
95,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
96,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
97,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
98,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
99,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
100,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
101,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
102,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
103,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
104,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
105,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
106,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
107,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
108,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
109,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
110,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
111,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
112,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
113,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
114,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
115,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
116,NULL,Forest,Forest,NULL,Non_Wetland,Water,NULL,Forest
117,NULL,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
118,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
119,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
120,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
121,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
122,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
123,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
124,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
125,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
126,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
127,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
128,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
129,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
130,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
131,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
132,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
133,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
134,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
135,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
136,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
137,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
138,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
139,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
140,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
141,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
142,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
143,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
144,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
145,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
146,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
147,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
148,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
149,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
150,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
151,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
152,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
153,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
154,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
155,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
156,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
157,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
158,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
159,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
160,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
161,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
162,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
163,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
164,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
165,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
166,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
167,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
168,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
169,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
170,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
171,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
172,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
173,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
174,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
175,Grassland,Forest,Wetland,Water,Wetland,Grassland,Wetland,Water
176,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
177,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
178,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
179,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
180,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
181,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
182,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
183,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
184,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
185,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
186,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
187,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
188,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
189,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
190,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
191,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
192,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
193,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
194,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
195,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
196,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
197,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
198,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
199,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
200,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
201,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
202,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
203,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
204,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
205,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
206,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
207,Cropland,Water,Water,NULL,Water,NULL,NULL,Grassland
208,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
209,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
210,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
211,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
212,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
213,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
214,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
215,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
216,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
217,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
218,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
219,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
220,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
221,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
222,Cropland,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
223,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
224,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
225,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
226,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
227,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
228,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
229,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
230,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
231,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
232,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
233,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
234,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
235,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
236,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
237,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
238,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
239,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
240,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
241,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
242,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
243,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
244,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
245,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
246,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
247,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
248,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
249,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
250,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
251,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
252,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
253,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
254,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
255,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
256,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
257,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
258,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Water
259,Bareland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
260,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
261,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
262,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
263,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
264,Bareland,Water,Water,NULL,Water,NULL,NULL,Water
265,Bareland,Water,Water,Water,Water,NULL,NULL,Water
266,Bareland,Water,Water,Water,Water,Bareland,Water,Water
267,Bareland,Water,Water,Water,Water,Water,Wetland,Water
268,Bareland,Water,Water,Water,Water,Water,Water,Water
269,Bareland,Water,Water,Water,Water,Water,Water,Forest
270,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
271,Bareland,Water,Forest,Water,Non_Wetland,Grassland,Wetland,Water
272,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
273,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
274,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
275,Bareland,Forest,Water,Water,Water,Grassland,Wetland,Water
276,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
277,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
278,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
279,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
280,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
281,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
282,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
283,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
284,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
285,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
286,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
287,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
288,Water,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
289,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
290,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
291,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
292,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
293,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
294,Water,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
295,Water,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
296,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
297,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
298,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
299,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
300,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
301,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
302,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
303,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
304,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
305,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
306,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
307,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
308,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
309,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
310,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
311,Water,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
312,Water,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
313,Water,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
314,Water,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
315,Water,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
316,Water,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
317,Water,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
318,Water,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
319,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
320,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
321,Water,NULL,Water,NULL,Water,NULL,NULL,Grassland
322,Water,NULL,Water,NULL,Water,NULL,NULL,Forest
323,Water,NULL,Water,NULL,Water,Bareland,Water,Forest
324,Water,NULL,Water,Water,Water,NULL,NULL,Grassland
325,Water,NULL,Water,Water,Water,NULL,NULL,Wetland
326,Water,NULL,Water,Water,Water,NULL,NULL,Water
327,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
328,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
329,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
330,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
331,Water,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
332,Water,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
333,Water,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
334,Water,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
335,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
336,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
337,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
338,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
339,Water,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
340,Water,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
