Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NPN_M_R
186,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
187,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Water
188,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Forest
189,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL
190,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Grassland
191,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Wetland
192,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Bareland
193,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Water
194,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Forest
195,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL
196,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Grassland
197,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Wetland
198,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Bareland
199,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Water
200,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Forest
201,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Grassland
202,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Bareland
203,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Water
204,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Forest
205,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Grassland
206,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Wetland
207,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Bareland
208,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Water
209,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Forest
210,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL
211,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Grassland
212,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Wetland
213,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Bareland
214,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Water
215,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Forest
216,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Grassland
217,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Bareland
218,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Water
219,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Forest
220,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,Grassland
221,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,Bareland
222,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,Water
223,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,Forest
224,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL
225,NULL,Wetland,Wetland,NULL,Wetland,NULL,Grassland
226,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland
227,NULL,Wetland,Wetland,NULL,Wetland,NULL,Bareland
228,NULL,Wetland,Wetland,NULL,Wetland,NULL,Water
229,NULL,Wetland,Wetland,NULL,Wetland,NULL,Forest
230,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Grassland
231,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Wetland
232,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Bareland
233,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Water
234,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Forest
235,NULL,Wetland,Wetland,Water,Wetland,NULL,Grassland
236,NULL,Wetland,Wetland,Water,Wetland,NULL,Wetland
237,NULL,Wetland,Wetland,Water,Wetland,NULL,Bareland
238,NULL,Wetland,Wetland,Water,Wetland,NULL,Water
239,NULL,Wetland,Wetland,Water,Wetland,NULL,Forest
240,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,Grassland
241,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,Bareland
242,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,Water
243,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,Forest
244,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,Grassland
245,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,Bareland
246,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,Grassland
247,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,Bareland
248,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,Forest
249,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,Grassland
250,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,Bareland
251,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,Forest
252,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,Grassland
253,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,Bareland
254,NULL,Wetland,Built-up,Water,Non_Wetland,NULL,Grassland
255,NULL,Wetland,Built-up,Water,Non_Wetland,NULL,Bareland
256,NULL,Wetland,Built-up,Water,Non_Wetland,NULL,Water
257,NULL,Wetland,Water,NULL,Water,NULL,Grassland
258,NULL,Wetland,Water,NULL,Water,NULL,Wetland
259,NULL,Wetland,Water,NULL,Water,NULL,Bareland
260,NULL,Wetland,Water,NULL,Water,NULL,Water
261,NULL,Wetland,Water,NULL,Water,NULL,Forest
262,NULL,Wetland,Water,Non_Water,Water,NULL,Grassland
263,NULL,Wetland,Water,Non_Water,Water,NULL,Wetland
264,NULL,Wetland,Water,Non_Water,Water,NULL,Bareland
265,NULL,Wetland,Water,Non_Water,Water,NULL,Water
266,NULL,Wetland,Water,Water,Water,NULL,NULL
267,NULL,Wetland,Water,Water,Water,NULL,Grassland
268,NULL,Wetland,Water,Water,Water,NULL,Wetland
269,NULL,Wetland,Water,Water,Water,NULL,Bareland
270,NULL,Wetland,Water,Water,Water,NULL,Water
271,NULL,Wetland,Water,Water,Water,NULL,Forest
272,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL
273,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland
274,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland
275,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Bareland
276,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Water
277,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Forest
278,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Grassland
279,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Bareland
280,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Water
281,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Forest
282,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Grassland
283,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Wetland
284,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Bareland
285,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Water
286,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Forest
287,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,Grassland
288,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,Bareland
289,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,Forest
290,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,Bareland
291,NULL,Bareland,NULL,Water,Non_Wetland,NULL,Grassland
292,NULL,Bareland,NULL,Water,Non_Wetland,NULL,Bareland
293,NULL,Bareland,NULL,Water,Non_Wetland,NULL,Water
294,NULL,Bareland,NULL,Water,Non_Wetland,NULL,Forest
295,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Grassland
296,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Bareland
297,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Water
298,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Forest
299,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
300,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
301,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
302,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Grassland
303,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Bareland
304,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Water
305,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,Grassland
306,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,Bareland
307,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,Water
308,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,Forest
309,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,Grassland
310,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,Bareland
311,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,Water
312,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Grassland
313,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Wetland
314,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Bareland
315,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Water
316,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Forest
317,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,Grassland
318,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,Bareland
319,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,Grassland
320,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,Bareland
321,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,Water
322,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,Forest
323,NULL,Bareland,Wetland,NULL,Wetland,NULL,Grassland
324,NULL,Bareland,Wetland,NULL,Wetland,NULL,Bareland
325,NULL,Bareland,Wetland,NULL,Wetland,NULL,Water
326,NULL,Bareland,Wetland,NULL,Wetland,NULL,Forest
327,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,Grassland
328,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,Forest
329,NULL,Bareland,Wetland,Water,Wetland,NULL,Grassland
330,NULL,Bareland,Wetland,Water,Wetland,NULL,Wetland
331,NULL,Bareland,Wetland,Water,Wetland,NULL,Bareland
332,NULL,Bareland,Wetland,Water,Wetland,NULL,Water
333,NULL,Bareland,Wetland,Water,Wetland,NULL,Forest
334,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,Grassland
335,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,Bareland
336,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,Bareland
337,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,Bareland
338,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,Bareland
339,NULL,Bareland,Water,NULL,Water,NULL,Grassland
340,NULL,Bareland,Water,NULL,Water,NULL,Bareland
341,NULL,Bareland,Water,NULL,Water,NULL,Forest
342,NULL,Bareland,Water,Non_Water,Water,NULL,Bareland
343,NULL,Bareland,Water,Water,Water,NULL,Grassland
344,NULL,Bareland,Water,Water,Water,NULL,Bareland
345,NULL,Bareland,Water,Water,Water,NULL,Water
346,NULL,Bareland,Water,Water,Water,NULL,Forest
347,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,Grassland
348,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,Bareland
349,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,Water
350,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,Forest
351,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,Forest
352,NULL,Bareland,Forest,Water,Non_Wetland,NULL,Grassland
353,NULL,Bareland,Forest,Water,Non_Wetland,NULL,Bareland
354,NULL,Bareland,Forest,Water,Non_Wetland,NULL,Water
355,NULL,Bareland,Forest,Water,Non_Wetland,NULL,Forest
356,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland
357,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Bareland
358,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up
359,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Water
360,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Forest
361,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,Grassland
362,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,Bareland
363,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,Water
364,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,Forest
365,NULL,Built-up,NULL,Water,Non_Wetland,NULL,Grassland
366,NULL,Built-up,NULL,Water,Non_Wetland,NULL,Bareland
367,NULL,Built-up,NULL,Water,Non_Wetland,NULL,Water
368,NULL,Built-up,NULL,Water,Non_Wetland,NULL,Forest
369,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL
370,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland
371,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Wetland
372,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland
373,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up
374,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Water
375,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest
376,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
377,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
378,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Built-up
379,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Forest
380,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Grassland
381,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Bareland
382,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Built-up
383,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Water
